etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	12	0.754688	0.0215523	 0.0222492
-2.1	-1.6	10	12	0.748162	0.0146714	 0.0149898
-1.6	-1.2	10	12	0.736215	0.0176563	 0.0179886
-1.2	-0.8	10	12	0.650297	0.021766	 0.0219047
-0.8	-0.3	10	12	0.644096	0.0245998	 0.0249814
-0.3	0.3	10	12	0.56232	0.0303646	 0.0303418
0.3	0.8	10	12	0.606909	0.0253103	 0.0252987
0.8	1.2	10	12	0.69041	0.0202204	 0.0209143
1.2	1.6	10	12	0.709967	0.0171628	 0.0173694
1.6	2.1	10	12	0.738005	0.0147354	 0.0149729
2.1	2.4	10	12	0.733919	0.0208843	 0.0212752
-2.4	-2.1	12	14	0.797351	0.0162312	 0.0166243
-2.1	-1.6	12	14	0.793085	0.0122979	 0.0125707
-1.6	-1.2	12	14	0.758373	0.0137713	 0.0140911
-1.2	-0.8	12	14	0.709192	0.0158204	 0.0159591
-0.8	-0.3	12	14	0.631255	0.00108919	 0.00108919
-0.3	0.3	12	14	0.658355	0.0218817	 0.0221811
0.3	0.8	12	14	0.714584	0.0176997	 0.0178729
0.8	1.2	12	14	0.709318	0.0159251	 0.0162023
1.2	1.6	12	14	0.756714	0.0144857	 0.0148233
1.6	2.1	12	14	0.786603	0.0120569	 0.0123483
2.1	2.4	12	14	0.778467	0.0164352	 0.0168815
-2.4	-2.1	14	16	0.802702	0.0116374	 0.0119606
-2.1	-1.6	14	16	0.817696	0.00949463	 0.00966801
-1.6	-1.2	14	16	0.80538	0.0114427	 0.0117817
-1.2	-0.8	14	16	0.757275	0.0126606	 0.0128316
-0.8	-0.3	14	16	0.724784	0.0139318	 0.0140983
-0.3	0.3	14	16	0.682955	0.0151507	 0.0153101
0.3	0.8	14	16	0.680946	0.0141754	 0.0143836
0.8	1.2	14	16	0.764965	0.0127402	 0.0128861
1.2	1.6	14	16	0.783334	0.0117443	 0.0119334
1.6	2.1	14	16	0.806508	0.010198	 0.010319
