etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.892132	0.0201027	 0.0235657
-2.1	-1.6	10	13	0.942995	0.01213	 0.0156391
-1.6	-1.2	10	13	0.944613	0.012964	 0.0151578
-1.2	-0.8	10	13	0.802131	0.0287796	 0.030517
-0.8	-0.3	10	13	0.976749	0.012403	 0.0160378
-0.3	-0.2	10	13	0.90421	0.0800247	 0.0944925
-0.2	0.2	10	13	0.879356	0.0343268	 0.0401715
0.2	0.3	10	13	0.866385	0.0738145	 0.113696
0.3	0.8	10	13	0.930472	0.0181628	 0.0219677
0.8	1.2	10	13	0.815132	0.0289447	 0.0307382
1.2	1.6	10	13	0.926049	0.0145391	 0.016523
1.6	2.1	10	13	0.960227	0.0101377	 0.0118285
2.1	2.4	10	13	0.909116	0.019156	 0.0219833
-2.4	-2.1	13	16	0.937793	0.011992	 0.0138403
-2.1	-1.6	13	16	0.956625	0.00940045	 0.00976157
-1.6	-1.2	13	16	0.948988	0.00993399	 0.0110467
-1.2	-0.8	13	16	0.818483	0.019773	 0.0202406
-0.8	-0.3	13	16	0.953243	0.0118352	 0.0137788
-0.3	-0.2	13	16	0.823576	0.0671577	 0.0724708
-0.2	0.2	13	16	0.930786	0.0146273	 0.0168673
0.2	0.3	13	16	0.835591	0.0439328	 0.0514792
0.3	0.8	13	16	0.946465	0.011329	 0.0126504
0.8	1.2	13	16	0.802083	0.0226128	 0.0222354
1.2	1.6	13	16	0.95076	0.010645	 0.0120485
1.6	2.1	13	16	0.932088	0.0103696	 0.0114411
2.1	2.4	13	16	0.928889	0.0128567	 0.0145969
-2.4	-2.1	16	20	0.934173	0.0091346	 0.00995019
-2.1	-1.6	16	20	0.950726	0.00651862	 0.00706251
-1.6	-1.2	16	20	0.942078	0.00734818	 0.00777887
-1.2	-0.8	16	20	0.787857	0.0184063	 0.0137316
-0.8	-0.3	16	20	0.967575	0.00567707	 0.00620112
-0.3	-0.2	16	20	0.811544	0.0342107	 0.0363973
-0.2	0.2	16	20	0.914159	0.0106272	 0.0113308
0.2	0.3	16	20	0.848669	0.0288957	 0.0310672
0.3	0.8	16	20	0.962569	0.00547133	 0.00596643
0.8	1.2	16	20	0.770131	0.0139069	 0.0141885
1.2	1.6	16	20	0.933192	0.00740256	 0.00793874
1.6	2.1	16	20	0.94499	0.00622362	 0.00666293
2.1	2.4	16	20	0.919841	0.00997796	 0.0111665
-2.4	-2.1	20	25	0.95844	0.00496619	 0.00526043
-2.1	-1.6	20	25	0.949334	0.00391498	 0.00412462
-1.6	-1.2	20	25	0.948238	0.00464885	 0.00480323
-1.2	-0.8	20	25	0.797414	0.00901289	 0.00930343
-0.8	-0.3	20	25	0.968474	0.00292311	 0.00310682
-0.3	-0.2	20	25	0.811472	0.0175818	 0.0171794
-0.2	0.2	20	25	0.915609	0.00549346	 0.00566901
