etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.931725	0.00775413	 0.00833941
-2.1	-1.6	10	13	0.959507	0.00509326	 0.00542058
-1.6	-1.2	10	13	0.977445	0.00411039	 0.00447937
-1.2	-0.8	10	13	0.966632	0.0059893	 0.00644891
-0.8	-0.3	10	13	0.974903	0.00563104	 0.00639178
-0.3	-0.2	10	13	0.801578	0.0355396	 0.0398897
-0.2	0.2	10	13	0.958803	0.00882821	 0.0102133
0.2	0.3	10	13	0.905073	0.0389196	 0.0414749
0.3	0.8	10	13	0.964699	0.00572768	 0.00674798
0.8	1.2	10	13	0.947943	0.0063437	 0.00692333
1.2	1.6	10	13	0.979378	0.00377691	 0.00420746
1.6	2.1	10	13	0.953207	0.00460353	 0.00491628
2.1	2.4	10	13	0.94862	0.00708292	 0.00760242
-2.4	-2.1	13	16	0.948685	0.00620352	 0.00648537
-2.1	-1.6	13	16	0.955358	0.0043264	 0.0045529
-1.6	-1.2	13	16	0.984249	0.00272874	 0.00295772
-1.2	-0.8	13	16	0.952898	0.00457228	 0.0048791
-0.8	-0.3	13	16	0.961276	0.00428794	 0.00464379
-0.3	-0.2	13	16	0.849105	0.0222571	 0.0228659
-0.2	0.2	13	16	0.957839	0.00582114	 0.00641298
0.2	0.3	13	16	0.887603	0.0206775	 0.0223395
0.3	0.8	13	16	0.966256	0.00510509	 0.0043728
0.8	1.2	13	16	0.957576	0.00432499	 0.00462149
1.2	1.6	13	16	0.972563	0.00369856	 0.00389001
1.6	2.1	13	16	0.959828	0.00390153	 0.00396222
2.1	2.4	13	16	0.957204	0.00566695	 0.00600522
-2.4	-2.1	16	20	0.946044	0.0038762	 0.00406687
-2.1	-1.6	16	20	0.955004	0.00286707	 0.00293922
-1.6	-1.2	16	20	0.98519	0.0016114	 0.00173593
-1.2	-0.8	16	20	0.954057	0.00337845	 0.00401794
-0.8	-0.3	16	20	0.968378	0.00237506	 0.00240389
-0.3	-0.2	16	20	0.849472	0.0126272	 0.0132945
-0.2	0.2	16	20	0.946647	0.00415986	 0.00427146
0.2	0.3	16	20	0.863843	0.012942	 0.0129515
0.3	0.8	16	20	0.964032	0.00267207	 0.00265361
0.8	1.2	16	20	0.955683	0.00290011	 0.00302571
1.2	1.6	16	20	0.976669	0.00225947	 0.00233199
1.6	2.1	16	20	0.951292	9.28204e-05	 9.28204e-05
2.1	2.4	16	20	0.945461	0.00418178	 0.00434206
-2.4	-2.1	20	25	0.954816	0.00245775	 0.00253042
-2.1	-1.6	20	25	0.955583	0.00169835	 0.00173068
-1.6	-1.2	20	25	0.984251	0.0011435	 0.00116932
-1.2	-0.8	20	25	0.95922	0.00186189	 0.0018764
-0.8	-0.3	20	25	0.971778	0.00143374	 0.00145321
-0.3	-0.2	20	25	0.842436	0.00706626	 0.00716904
-0.2	0.2	20	25	0.9536	0.0019164	 0.00194638
0.2	0.3	20	25	0.883715	0.00640711	 0.00647665
0.3	0.8	20	25	0.967912	0.00153725	 0.00154027
0.8	1.2	20	25	0.956833	0.00218062	 0.00189271
1.2	1.6	20	25	0.978204	0.00161379	 0.00146893
1.6	2.1	20	25	0.959081	0.00174414	 0.00176766
2.1	2.4	20	25	0.950134	0.0028619	 0.00354954
-2.4	-2.1	25	30	0.96096	0.00208585	 0.00211275
-2.1	-1.6	25	30	0.955136	0.00136269	 0.00138382
-1.6	-1.2	25	30	0.985774	0.00091234	 0.000930907
-1.2	-0.8	25	30	0.957372	0.00174131	 0.00181956
-0.8	-0.3	25	30	0.96904	0.00106183	 0.00105208
-0.3	-0.2	25	30	0.851496	0.00470717	 0.00474934
-0.2	0.2	25	30	0.955051	0.00124201	 0.00123424
0.2	0.3	25	30	0.87931	0.00439398	 0.0043548
0.3	0.8	25	30	0.966727	0.0010529	 0.00105436
0.8	1.2	25	30	0.953756	0.00160756	 0.00148856
1.2	1.6	25	30	0.977337	0.00117624	 0.00123964
1.6	2.1	25	30	0.957371	0.00133346	 0.00135102
2.1	2.4	25	30	0.9512	0.00216501	 0.00215332
-2.4	-2.1	30	40	0.962177	0.00105534	 0.00105238
-2.1	-1.6	30	40	0.954611	0.000793423	 0.000797682
-1.6	-1.2	30	40	0.984527	0.00047541	 0.000466805
-1.2	-0.8	30	40	0.95636	0.000718398	 0.000711811
-0.8	-0.3	30	40	0.96812	0.000503946	 0.000503355
-0.3	-0.2	30	40	0.842854	0.00239365	 0.00239724
-0.2	0.2	30	40	0.955015	0.000644661	 0.000648362
0.2	0.3	30	40	0.876425	0.00218417	 0.0022007
0.3	0.8	30	40	0.967883	0.00049786	 0.000498638
0.8	1.2	30	40	0.9538	0.000742133	 0.000735049
1.2	1.6	30	40	0.977145	0.000599731	 0.000599121
1.6	2.1	30	40	0.956953	0.000772739	 0.000768041
2.1	2.4	30	40	0.958205	0.00115329	 0.00114686
-2.4	-2.1	40	60	0.961637	0.000922203	 0.000923924
-2.1	-1.6	40	60	0.954857	0.000630033	 0.000632275
-1.6	-1.2	40	60	0.984974	0.000354572	 0.000357475
-1.2	-0.8	40	60	0.955506	0.000326457	 0.000464141
-0.8	-0.3	40	60	0.967347	0.000415067	 0.000415122
-0.3	-0.2	40	60	0.842833	0.00208856	 0.00210157
-0.2	0.2	40	60	0.955014	0.000549159	 0.000548039
0.2	0.3	40	60	0.873286	0.00191107	 0.00191112
0.3	0.8	40	60	0.966508	0.000428105	 0.000426335
0.8	1.2	40	60	0.951948	0.000587316	 0.000577002
1.2	1.6	40	60	0.97536	0.000458379	 0.000462226
1.6	2.1	40	60	0.956285	0.000604504	 0.00060385
2.1	2.4	40	60	0.956865	0.000993436	 0.00100208
-2.4	-2.1	60	100	0.958657	0.00329532	 0.00337503
-2.1	-1.6	60	100	0.953755	0.00202685	 0.00205943
-1.6	-1.2	60	100	0.982263	0.00129411	 0.00134241
-1.2	-0.8	60	100	0.95584	0.00172271	 0.00174746
-0.8	-0.3	60	100	0.966322	0.00131524	 0.00133345
-0.3	-0.2	60	100	0.83509	0.00646704	 0.00654294
-0.2	0.2	60	100	0.95064	0.00182339	 0.00184776
0.2	0.3	60	100	0.857232	0.00588422	 0.00603364
0.3	0.8	60	100	0.963892	0.00134828	 0.00136068
0.8	1.2	60	100	0.953405	0.00175929	 0.00178857
1.2	1.6	60	100	0.973748	0.00152615	 0.00157112
1.6	2.1	60	100	0.955156	0.00215851	 0.00193374
2.1	2.4	60	100	0.957939	0.00330359	 0.00337116
-2.4	-2.1	100	200	0.959021	0.0136255	 0.014908
-2.1	-1.6	100	200	0.9219	0.00834898	 0.00875606
-1.6	-1.2	100	200	0.946662	0.00537582	 0.00573693
-1.2	-0.8	100	200	0.95309	0.00525762	 0.00549899
-0.8	-0.3	100	200	0.962726	0.00429935	 0.00453249
-0.3	-0.2	100	200	0.872759	0.0154084	 0.0166988
-0.2	0.2	100	200	0.94591	0.00504129	 0.00536658
0.2	0.3	100	200	0.866859	0.0164683	 0.0181873
0.3	0.8	100	200	0.965846	0.00387699	 0.00424125
0.8	1.2	100	200	0.955274	0.0051248	 0.00542096
1.2	1.6	100	200	0.937999	0.00655257	 0.00686233
1.6	2.1	100	200	0.916532	0.00763604	 0.00763604
2.1	2.4	100	200	0.928912	0.0173182	 0.0178307
