etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	15	0	0	 0
-2.1	-1.6	10	15	0	0	 0
-1.6	-1.2	10	15	0	0	 0
-1.2	-0.8	10	15	0	0	 0
-0.8	-0.3	10	15	0	0	 0
-0.3	-0.2	10	15	0	0	 0
-0.2	0.2	10	15	0	0	 0
0.2	0.3	10	15	0	0	 0
0.3	0.8	10	15	0	0	 0
0.8	1.2	10	15	0	0	 0
1.2	1.6	10	15	0	0	 0
1.6	2.1	10	15	0	0	 0
2.1	2.4	10	15	0	0	 0
-2.4	-2.1	15	16	0.0272668	0.00350202	 0.00317203
-2.1	-1.6	15	16	0.0128291	0.00167096	 0.00156889
-1.6	-1.2	15	16	0	0	 0
-1.2	-0.8	15	16	0	0	 0
-0.8	-0.3	15	16	0	0	 0
-0.3	-0.2	15	16	0	0	 0
-0.2	0.2	15	16	0	0	 0
0.2	0.3	15	16	0	0	 0
0.3	0.8	15	16	0	0	 0
0.8	1.2	15	16	0	0	 0
1.2	1.6	15	16	0	0	 0
1.6	2.1	15	16	0.0134806	0.00180948	 0.00164166
2.1	2.4	15	16	0.0208699	0.00284656	 0.00269966
-2.4	-2.1	16	17	0.103192	0.00473139	 0.00459704
-2.1	-1.6	16	17	0.0906004	0.00369032	 0.00368134
-1.6	-1.2	16	17	0.0581935	0.0034885	 0.00341883
-1.2	-0.8	16	17	0.0538037	0.00336826	 0.00328437
-0.8	-0.3	16	17	0.0453043	0.00279809	 0.0027229
-0.3	-0.2	16	17	0.0199541	0.00603761	 0.00529488
-0.2	0.2	16	17	0.0402734	0.00356807	 0.00346184
0.2	0.3	16	17	0.0438588	0.00710853	 0.00639817
0.3	0.8	16	17	0.0418519	0.00270596	 0.00264476
0.8	1.2	16	17	0.0456461	0.00291813	 0.00280922
1.2	1.6	16	17	0.0524913	0.00340201	 0.00331451
1.6	2.1	16	17	0.0807073	0.00334538	 0.00326
2.1	2.4	16	17	0.103501	0.00480987	 0.00468606
-2.4	-2.1	17	18	0.62844	0.00930101	 0.0111303
-2.1	-1.6	17	18	0.760315	0.00520813	 0.00516095
-1.6	-1.2	17	18	0.843078	0.00499503	 0.00519122
-1.2	-0.8	17	18	0.853241	0.00506064	 0.00512993
-0.8	-0.3	17	18	0.875068	0.00397739	 0.00396961
-0.3	-0.2	17	18	0.736065	0.0127042	 0.013147
-0.2	0.2	17	18	0.850888	0.00556723	 0.00563537
0.2	0.3	17	18	0.743346	0.0138599	 0.0140695
0.3	0.8	17	18	0.875668	0.00376337	 0.00382714
0.8	1.2	17	18	0.845846	0.00483845	 0.00485182
1.2	1.6	17	18	0.833934	0.00492916	 0.00484027
1.6	2.1	17	18	0.75915	0.00514883	 0.0052562
2.1	2.4	17	18	0.60538	0.00798523	 0.00829469
-2.4	-2.1	18	19	0.753291	0.00672923	 0.00670757
-2.1	-1.6	18	19	0.865985	0.00407689	 0.00733954
-1.6	-1.2	18	19	0.92944	0.00308888	 0.00311822
-1.2	-0.8	18	19	0.922707	0.00340714	 0.00344329
-0.8	-0.3	18	19	0.931508	0.00300271	 0.00303646
-0.3	-0.2	18	19	0.791372	0.0121164	 0.0122816
-0.2	0.2	18	19	0.90802	0.00430462	 0.00422749
0.2	0.3	18	19	0.81699	0.0159346	 0.0106636
0.3	0.8	18	19	0.933147	0.00289925	 0.00283787
0.8	1.2	18	19	0.911017	0.00389999	 0.00410361
1.2	1.6	18	19	0.926059	0.00345157	 0.00353217
1.6	2.1	18	19	0.868883	0.00400527	 0.00386158
2.1	2.4	18	19	0.758004	0.00686132	 0.00706516
-2.4	-2.1	19	20	0.774177	0.00718147	 0.00692254
-2.1	-1.6	19	20	0.886997	0.00326533	 0.00329275
-1.6	-1.2	19	20	0.934888	0.00291595	 0.00298116
-1.2	-0.8	19	20	0.921744	0.0032066	 0.00328475
-0.8	-0.3	19	20	0.932171	0.00236011	 0.00241066
-0.3	-0.2	19	20	0.785134	0.00972297	 0.0099406
-0.2	0.2	19	20	0.913529	0.00357651	 0.00360383
0.2	0.3	19	20	0.819707	0.0102658	 0.00939096
0.3	0.8	19	20	0.934762	0.00266799	 0.00268943
0.8	1.2	19	20	0.917212	0.00340751	 0.00342804
1.2	1.6	19	20	0.931176	0.00298894	 0.00303594
1.6	2.1	19	20	0.885042	0.00352189	 0.00355843
2.1	2.4	19	20	0.760759	0.00625636	 0.00632395
-2.4	-2.1	20	25	0.812534	0.00214216	 0.00212648
-2.1	-1.6	20	25	0.89796	0.00117716	 0.00114235
-1.6	-1.2	20	25	0.945664	0.000954637	 0.000956174
-1.2	-0.8	20	25	0.926952	0.00109572	 0.00109197
-0.8	-0.3	20	25	0.937338	0.000848869	 0.000848693
-0.3	-0.2	20	25	0.79141	0.00329906	 0.00333098
-0.2	0.2	20	25	0.915296	0.00104938	 0.00105344
0.2	0.3	20	25	0.824653	0.00312457	 0.00311572
0.3	0.8	20	25	0.940585	0.000852343	 0.000832384
0.8	1.2	20	25	0.925144	0.00110529	 0.00109148
1.2	1.6	20	25	0.942491	0.000976824	 0.000953962
1.6	2.1	20	25	0.90518	0.00116433	 0.0011312
2.1	2.4	20	25	0.813242	0.00220681	 0.00218035
-2.4	-2.1	25	30	0.846834	0.00150769	 0.00152209
-2.1	-1.6	25	30	0.908064	0.000881094	 0.00085715
-1.6	-1.2	25	30	0.94938	0.000675739	 0.000675693
-1.2	-0.8	25	30	0.929922	0.000782791	 0.000782457
-0.8	-0.3	25	30	0.938474	0.000590616	 0.000592096
-0.3	-0.2	25	30	0.797256	0.00213565	 0.00213584
-0.2	0.2	25	30	0.919516	0.00067885	 0.000680477
0.2	0.3	25	30	0.834465	0.00203078	 0.00202086
0.3	0.8	25	30	0.941286	0.00057226	 0.000573812
0.8	1.2	25	30	0.927115	0.000789741	 0.000790715
1.2	1.6	25	30	0.945875	0.000700748	 0.00070192
1.6	2.1	25	30	0.913452	0.000817831	 0.000819195
2.1	2.4	25	30	0.845857	0.00151442	 0.00151525
-2.4	-2.1	30	40	0.870938	0.000747407	 0.000747018
-2.1	-1.6	30	40	0.913345	0.000433109	 0.000433335
-1.6	-1.2	30	40	0.947929	0.000349199	 0.000347247
-1.2	-0.8	30	40	0.928947	0.000367749	 0.000368047
-0.8	-0.3	30	40	0.936172	0.000281612	 0.000280981
-0.3	-0.2	30	40	0.799588	0.00106577	 0.0010669
-0.2	0.2	30	40	0.91653	0.00034675	 0.000345526
0.2	0.3	30	40	0.834213	0.00100187	 0.000984288
0.3	0.8	30	40	0.941405	0.000270323	 0.000270741
0.8	1.2	30	40	0.926768	0.000372295	 0.00037219
1.2	1.6	30	40	0.945428	0.000357129	 0.000356698
1.6	2.1	30	40	0.917425	0.000422804	 0.000423043
2.1	2.4	30	40	0.869998	0.00075695	 0.000759681
-2.4	-2.1	40	60	0.888111	0.000619683	 0.000612952
-2.1	-1.6	40	60	0.916316	0.000327742	 0.000327742
-1.6	-1.2	40	60	0.94014	0.000274932	 0.000275272
-1.2	-0.8	40	60	0.929642	0.000275516	 0.000274954
-0.8	-0.3	40	60	0.938106	0.000227346	 0.000224537
-0.3	-0.2	40	60	0.799488	0.00088829	 0.000887611
-0.2	0.2	40	60	0.919127	0.000285946	 0.000285363
0.2	0.3	40	60	0.836541	0.000836172	 0.000834923
0.3	0.8	40	60	0.942258	0.000219334	 0.000218365
0.8	1.2	40	60	0.927461	0.000280848	 0.000281683
1.2	1.6	40	60	0.942427	0.000275686	 0.000276646
1.6	2.1	40	60	0.920317	0.000320394	 0.000319125
