etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	15	0	0	 0
-2.1	-1.6	10	15	0	0	 0
-1.6	-1.2	10	15	0	0	 0
-1.2	-0.8	10	15	0	0	 0
-0.8	-0.3	10	15	0	0	 0
-0.3	-0.2	10	15	0	0	 0
-0.2	0.2	10	15	0	0	 0
0.2	0.3	10	15	0	0	 0
0.3	0.8	10	15	0	0	 0
0.8	1.2	10	15	0	0	 0
1.2	1.6	10	15	0	0	 0
1.6	2.1	10	15	0	0	 0
2.1	2.4	10	15	0	0	 0
-2.4	-2.1	15	16	0	0	 0
-2.1	-1.6	15	16	0	0	 0
-1.6	-1.2	15	16	0	0	 0
-1.2	-0.8	15	16	0	0	 0
-0.8	-0.3	15	16	0	0	 0
-0.3	-0.2	15	16	0	0	 0
-0.2	0.2	15	16	0	0	 0
0.2	0.3	15	16	0	0	 0
0.3	0.8	15	16	0	0	 0
0.8	1.2	15	16	0	0	 0
1.2	1.6	15	16	0	0	 0
1.6	2.1	15	16	0	0	 0
2.1	2.4	15	16	0	0	 0
-2.4	-2.1	16	17	0.0798474	0.00442305	 0.00430438
-2.1	-1.6	16	17	0.0599442	0.0029117	 0.00282038
-1.6	-1.2	16	17	0.0363166	0.00324784	 0.00310941
-1.2	-0.8	16	17	0.0414665	0.000145545	 0.000145545
-0.8	-0.3	16	17	0.0292678	3.85457e-05	 3.85457e-05
-0.3	-0.2	16	17	0.0198017	0.00497923	 0.00427425
-0.2	0.2	16	17	0.028731	0.00290605	 0.00272451
0.2	0.3	16	17	0.0337302	0.0065343	 0.00578473
0.3	0.8	16	17	0.0309895	0.00224579	 0.00214624
0.8	1.2	16	17	0.0372147	0.00287609	 0.00278219
1.2	1.6	16	17	0.0400241	0.00336316	 0.0032746
1.6	2.1	16	17	0.0494696	0.002907	 0.00284377
2.1	2.4	16	17	0.0745091	0.00507926	 0.0049499
-2.4	-2.1	17	18	0.691187	0.00765859	 0.00767154
-2.1	-1.6	17	18	0.805471	0.00534693	 0.00523425
-1.6	-1.2	17	18	0.884255	0.00444556	 0.00453495
-1.2	-0.8	17	18	0.907889	0.00431574	 0.00433807
-0.8	-0.3	17	18	0.92636	0.00327549	 0.00330839
-0.3	-0.2	17	18	0.842256	0.0123617	 0.012574
-0.2	0.2	17	18	0.91358	0.00419958	 0.00433592
0.2	0.3	17	18	0.815367	0.0122059	 0.0127147
0.3	0.8	17	18	0.916329	0.00331531	 0.00339679
0.8	1.2	17	18	0.880773	0.00478603	 0.00485218
1.2	1.6	17	18	0.869603	0.00437142	 0.00446834
1.6	2.1	17	18	0.816952	0.00507769	 0.00515177
2.1	2.4	17	18	0.70677	0.00794351	 0.00767971
-2.4	-2.1	18	19	0.811622	0.00672051	 0.0068185
-2.1	-1.6	18	19	0.895848	0.00341532	 0.003459
-1.6	-1.2	18	19	0.96291	0.00219412	 0.00229043
-1.2	-0.8	18	19	0.943861	0.00382591	 0.00306809
-0.8	-0.3	18	19	0.959154	0.00222525	 0.00226871
-0.3	-0.2	18	19	0.863713	0.00935073	 0.0097663
-0.2	0.2	18	19	0.957664	0.00312135	 0.00604591
0.2	0.3	18	19	0.887553	0.0101343	 0.0106142
0.3	0.8	18	19	0.95735	0.0026076	 0.00237005
0.8	1.2	18	19	0.942806	0.00280401	 0.00288753
1.2	1.6	18	19	0.957039	0.00275837	 0.00356334
1.6	2.1	18	19	0.905785	0.00350076	 0.00357355
2.1	2.4	18	19	0.837506	0.00569442	 0.00568763
-2.4	-2.1	19	20	0.834088	0.0056063	 0.00554548
-2.1	-1.6	19	20	0.905513	0.00320366	 0.00323033
-1.6	-1.2	19	20	0.965295	0.0022232	 0.00232213
-1.2	-0.8	19	20	0.953026	0.0028051	 0.00243386
-0.8	-0.3	19	20	0.960757	0.00197081	 0.00197081
-0.3	-0.2	19	20	0.870791	0.00810941	 0.00840959
-0.2	0.2	19	20	0.955398	0.00274097	 0.00281555
0.2	0.3	19	20	0.87462	0.00913527	 0.00940963
0.3	0.8	19	20	0.959441	0.00193924	 0.0019969
0.8	1.2	19	20	0.944511	0.00324011	 0.00269237
1.2	1.6	19	20	0.961775	0.00209569	 0.00216985
1.6	2.1	19	20	0.910951	0.00285787	 0.00290729
2.1	2.4	19	20	0.854782	0.00543858	 0.00541033
-2.4	-2.1	20	25	0.86639	0.00177156	 0.00179396
-2.1	-1.6	20	25	0.914583	0.00106081	 0.00106386
-1.6	-1.2	20	25	0.97289	0.000917198	 0.000909282
-1.2	-0.8	20	25	0.954033	0.000917198	 0.000909282
-0.8	-0.3	20	25	0.966077	0.000678768	 0.00067773
-0.3	-0.2	20	25	0.871885	0.00284093	 0.00284578
-0.2	0.2	20	25	0.95916	0.000790688	 0.000794362
0.2	0.3	20	25	0.876567	0.00284014	 0.00289673
0.3	0.8	20	25	0.961395	0.000729067	 0.000721937
0.8	1.2	20	25	0.949503	0.000929132	 0.000926751
1.2	1.6	20	25	0.966888	0.000717743	 0.000727458
1.6	2.1	20	25	0.924057	0.00116533	 0.00113552
2.1	2.4	20	25	0.887332	0.00188844	 0.00191943
-2.4	-2.1	25	30	0.892095	0.00130054	 0.00128921
-2.1	-1.6	25	30	0.921156	0.000820149	 0.000803863
-1.6	-1.2	25	30	0.975438	0.000498608	 0.000493841
-1.2	-0.8	25	30	0.955217	0.000669883	 0.000668074
-0.8	-0.3	25	30	0.967411	0.000462429	 0.000460631
-0.3	-0.2	25	30	0.878431	0.00186625	 0.00186124
-0.2	0.2	25	30	0.961272	0.000505323	 0.000507648
0.2	0.3	25	30	0.880153	0.00182829	 0.00182935
0.3	0.8	25	30	0.963209	0.000482735	 0.00048397
0.8	1.2	25	30	0.951687	0.000687903	 0.000687968
1.2	1.6	25	30	0.970034	0.000582934	 0.000572189
1.6	2.1	25	30	0.92961	0.000780481	 0.000780578
2.1	2.4	25	30	0.907371	0.00126309	 0.00127392
-2.4	-2.1	30	40	0.911892	0.000649089	 0.000647918
-2.1	-1.6	30	40	0.925845	0.000417122	 0.000415372
-1.6	-1.2	30	40	0.977161	0.000245805	 0.00024307
-1.2	-0.8	30	40	0.954423	0.000313396	 0.000309628
-0.8	-0.3	30	40	0.96738	0.000215933	 0.000214193
-0.3	-0.2	30	40	0.87734	0.000913318	 0.000914992
-0.2	0.2	30	40	0.960831	0.000258139	 0.000257965
0.2	0.3	30	40	0.882039	0.000902062	 0.000897849
0.3	0.8	30	40	0.963327	0.000228479	 0.00022642
0.8	1.2	30	40	0.950681	0.000323919	 0.000324569
1.2	1.6	30	40	0.971101	0.000274899	 0.000274478
1.6	2.1	30	40	0.93237	0.000399511	 0.000399504
2.1	2.4	30	40	0.923947	0.000611773	 0.000616327
-2.4	-2.1	40	60	0.923422	0.000552549	 0.000535254
-2.1	-1.6	40	60	0.928631	0.00031647	 0.000317834
-1.6	-1.2	40	60	0.973917	0.000195933	 0.000195824
-1.2	-0.8	40	60	0.95458	0.00023744	 0.000236112
-0.8	-0.3	40	60	0.966904	0.000171687	 0.000174437
-0.3	-0.2	40	60	0.875109	0.000775485	 0.000774653
-0.2	0.2	40	60	0.960305	0.00021812	 0.000216697
0.2	0.3	40	60	0.879072	0.00075823	 0.00076297
0.3	0.8	40	60	0.962377	0.000173771	 0.000173771
0.8	1.2	40	60	0.950785	0.000246632	 0.000246472
1.2	1.6	40	60	0.970905	0.000204622	 0.000204336
1.6	2.1	40	60	0.9328	0.000310719	 0.000310432
2.1	2.4	40	60	0.933877	0.000485764	 0.000483878
-2.4	-2.1	60	100	0.934186	0.00174122	 0.00175678
