etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	15	0	0	 0
-2.1	-1.6	10	15	0	0	 0
-1.6	-1.2	10	15	0	0	 0
-1.2	-0.8	10	15	0	0	 0
-0.8	-0.3	10	15	0	0	 0
-0.3	-0.2	10	15	0	0	 0
-0.2	0.2	10	15	0	0	 0
0.2	0.3	10	15	0	0	 0
0.3	0.8	10	15	0	0	 0
0.8	1.2	10	15	0	0	 0
1.2	1.6	10	15	0	0	 0
1.6	2.1	10	15	0	0	 0
2.1	2.4	10	15	0	0	 0
-2.4	-2.1	15	16	0	0	 0
-2.1	-1.6	15	16	0	0	 0
-1.6	-1.2	15	16	0	0	 0
-1.2	-0.8	15	16	0	0	 0
-0.8	-0.3	15	16	0	0	 0
-0.3	-0.2	15	16	0	0	 0
-0.2	0.2	15	16	0	0	 0
0.2	0.3	15	16	0	0	 0
0.3	0.8	15	16	0	0	 0
0.8	1.2	15	16	0	0	 0
1.2	1.6	15	16	0	0	 0
1.6	2.1	15	16	0	0	 0
2.1	2.4	15	16	0	0	 0
-2.4	-2.1	16	17	0.0877868	0.00713266	 0.00682657
-2.1	-1.6	16	17	0.0609074	0.0050881	 0.00492382
-1.6	-1.2	16	17	0.0453587	0.00512136	 0.0048727
-1.2	-0.8	16	17	0.0502712	0.0048003	 0.00453207
-0.8	-0.3	16	17	0.0353969	0.0038583	 0.00495853
-0.3	-0.2	16	17	0.0181867	0.00780873	 0.00604651
-0.2	0.2	16	17	0.0337673	0.00482142	 0.00434223
0.2	0.3	16	17	0.0318439	0.00949011	 0.00792461
0.3	0.8	16	17	0.0332518	0.00431605	 0.0035689
0.8	1.2	16	17	0.0423786	0.00465528	 0.00419863
1.2	1.6	16	17	0.0484304	0.00439065	 0.00415101
1.6	2.1	16	17	0.0565752	0.00418153	 0.00400963
2.1	2.4	16	17	0.088431	0.00700374	 0.0148053
-2.4	-2.1	17	18	0.686164	0.0107994	 0.0108487
-2.1	-1.6	17	18	0.807034	0.00791107	 0.00815806
-1.6	-1.2	17	18	0.885495	0.00650488	 0.00672829
-1.2	-0.8	17	18	0.901269	0.00643097	 0.00620343
-0.8	-0.3	17	18	0.914939	0.00488097	 0.00508314
-0.3	-0.2	17	18	0.83066	0.0163995	 0.0173983
-0.2	0.2	17	18	0.903071	0.0174816	 0.0221605
0.2	0.3	17	18	0.819513	0.0174816	 0.0221605
0.3	0.8	17	18	0.910678	0.00499189	 0.00517133
0.8	1.2	17	18	0.875911	0.00751906	 0.00747503
1.2	1.6	17	18	0.869343	0.00661569	 0.00679146
1.6	2.1	17	18	0.818594	0.00774474	 0.00775214
2.1	2.4	17	18	0.70034	0.011175	 0.0112321
-2.4	-2.1	18	19	0.811613	0.00936203	 0.0094688
-2.1	-1.6	18	19	0.900703	0.00493537	 0.00507634
-1.6	-1.2	18	19	0.958858	0.00391391	 0.00406144
-1.2	-0.8	18	19	0.942172	0.00411462	 0.00431175
-0.8	-0.3	18	19	0.95617	0.00328419	 0.00344761
-0.3	-0.2	18	19	0.823065	0.000593642	 0.000593642
-0.2	0.2	18	19	0.94576	0.00521194	 0.00620284
0.2	0.3	18	19	0.879689	0.0157383	 0.0168197
0.3	0.8	18	19	0.957079	0.00398996	 0.00360266
0.8	1.2	18	19	0.936913	0.00432398	 0.0045092
1.2	1.6	18	19	0.957704	0.00406886	 0.00439465
1.6	2.1	18	19	0.901793	0.00522829	 0.0053784
2.1	2.4	18	19	0.842401	0.00881808	 0.00879327
-2.4	-2.1	19	20	0.831358	0.00824926	 0.00841394
-2.1	-1.6	19	20	0.906419	0.00473233	 0.00481621
-1.6	-1.2	19	20	0.959358	0.00332934	 0.00346053
-1.2	-0.8	19	20	0.954493	0.00362238	 0.0037584
-0.8	-0.3	19	20	0.959584	0.00284407	 0.00298637
-0.3	-0.2	19	20	0.855634	0.0124238	 0.0130851
-0.2	0.2	19	20	0.939107	0.00438386	 0.00440679
0.2	0.3	19	20	0.8613	0.0138508	 0.0146553
0.3	0.8	19	20	0.953572	0.00307507	 0.00321288
0.8	1.2	19	20	0.942392	0.00422374	 0.00536752
1.2	1.6	19	20	0.959936	0.00328018	 0.00342371
1.6	2.1	19	20	0.910833	0.00417343	 0.00429607
2.1	2.4	19	20	0.848896	0.0075399	 0.00783255
-2.4	-2.1	20	25	0.867581	0.00257268	 0.00260858
-2.1	-1.6	20	25	0.915297	0.00159734	 0.00159337
-1.6	-1.2	20	25	0.969536	0.00118833	 0.00204098
-1.2	-0.8	20	25	0.952435	0.00137982	 0.00138256
-0.8	-0.3	20	25	0.96382	0.00104541	 0.00103362
-0.3	-0.2	20	25	0.861071	0.00432067	 0.00436705
-0.2	0.2	20	25	0.954887	0.00122223	 0.00123345
0.2	0.3	20	25	0.861878	0.00455296	 0.0045023
0.3	0.8	20	25	0.957197	0.00113691	 0.00112132
0.8	1.2	20	25	0.949962	0.00137894	 0.00138525
1.2	1.6	20	25	0.963044	0.00113599	 0.00114677
1.6	2.1	20	25	0.923764	0.00164342	 0.00162054
2.1	2.4	20	25	0.884422	0.00269423	 0.00278542
-2.4	-2.1	25	30	0.891671	0.00184456	 0.00187342
-2.1	-1.6	25	30	0.921499	0.00119248	 0.00118596
-1.6	-1.2	25	30	0.971123	0.000771165	 0.000777105
-1.2	-0.8	25	30	0.954509	0.00106218	 0.00105989
-0.8	-0.3	25	30	0.964275	0.000708268	 0.000705243
-0.3	-0.2	25	30	0.868826	0.00286364	 0.00289074
-0.2	0.2	25	30	0.958197	0.000793145	 0.000798122
0.2	0.3	25	30	0.870487	0.00271781	 0.00276858
0.3	0.8	25	30	0.960482	0.00073016	 0.000733275
0.8	1.2	25	30	0.950851	0.0010536	 0.00103048
1.2	1.6	25	30	0.96816	0.00097605	 0.00104143
1.6	2.1	25	30	0.929196	0.00116504	 0.00114836
2.1	2.4	25	30	0.906756	0.00184792	 0.0018613
-2.4	-2.1	30	40	0.914363	0.000934864	 0.000931492
-2.1	-1.6	30	40	0.925172	0.00061805	 0.000616881
-1.6	-1.2	30	40	0.972201	0.000396164	 0.000396536
-1.2	-0.8	30	40	0.953546	0.000464964	 0.000466493
-0.8	-0.3	30	40	0.965204	0.000329389	 0.000329424
-0.3	-0.2	30	40	0.870117	0.00138175	 0.00138708
-0.2	0.2	30	40	0.958339	0.000389751	 0.000389252
0.2	0.3	30	40	0.87259	0.00137856	 0.0013729
0.3	0.8	30	40	0.961527	0.000346659	 0.000346718
0.8	1.2	30	40	0.950982	0.000479636	 0.000478102
1.2	1.6	30	40	0.967998	0.000430703	 0.000429269
1.6	2.1	30	40	0.932774	0.000594413	 0.0005964
2.1	2.4	30	40	0.923521	0.000880636	 0.00088203
-2.4	-2.1	40	60	0.925762	0.000716015	 0.000719354
-2.1	-1.6	40	60	0.928955	0.000471947	 0.000471947
-1.6	-1.2	40	60	0.963246	0.00034862	 0.000345712
-1.2	-0.8	40	60	0.953601	0.000354053	 0.000353021
-0.8	-0.3	40	60	0.965229	0.000269183	 0.00026786
-0.3	-0.2	40	60	0.867993	0.00104089	 0.00104089
-0.2	0.2	40	60	0.958645	0.000332251	 0.000332248
0.2	0.3	40	60	0.87123	0.00116859	 0.00116834
0.3	0.8	40	60	0.960878	0.000286785	 0.000288376
0.8	1.2	40	60	0.951242	0.000370067	 0.000370371
1.2	1.6	40	60	0.965694	0.00032535	 0.000322237
1.6	2.1	40	60	0.933598	0.000718319	 0.000719132
2.1	2.4	40	60	0.934422	0.000718319	 0.000719132
-2.4	-2.1	60	100	0.940678	0.00245823	 0.00248382
