etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	15	0	0	 0
-2.1	-1.6	10	15	0	0	 0
-1.6	-1.2	10	15	0	0	 0
-1.2	-0.8	10	15	0	0	 0
-0.8	-0.3	10	15	0	0	 0
-0.3	-0.2	10	15	0	0	 0
-0.2	0.2	10	15	0	0	 0
0.2	0.3	10	15	0	0	 0
0.3	0.8	10	15	0	0	 0
0.8	1.2	10	15	0	0	 0
1.2	1.6	10	15	0	0	 0
1.6	2.1	10	15	0	0	 0
2.1	2.4	10	15	0	0	 0
-2.4	-2.1	15	16	0	0	 0
-2.1	-1.6	15	16	0	0	 0
-1.6	-1.2	15	16	0	0	 0
-1.2	-0.8	15	16	0	0	 0
-0.8	-0.3	15	16	0	0	 0
-0.3	-0.2	15	16	0	0	 0
-0.2	0.2	15	16	0	0	 0
0.2	0.3	15	16	0	0	 0
0.3	0.8	15	16	0	0	 0
0.8	1.2	15	16	0	0	 0
1.2	1.6	15	16	0	0	 0
1.6	2.1	15	16	0	0	 0
2.1	2.4	15	16	0	0	 0
-2.4	-2.1	16	17	0.0836598	0.00775305	 0.00754762
-2.1	-1.6	16	17	0.0596188	0.00500651	 0.00486156
-1.6	-1.2	16	17	0.0459957	0.00482198	 0.00482198
-1.2	-0.8	16	17	0.0480299	0.00469024	 0.00439976
-0.8	-0.3	16	17	0.0341133	0.00465909	 0.00395924
-0.3	-0.2	16	17	0.0185032	0.00793249	 0.00616167
-0.2	0.2	16	17	0.0324793	0.00480628	 0.00437373
0.2	0.3	16	17	0.0323693	0.00957874	 0.00809175
0.3	0.8	16	17	0.0337706	0.00434513	 0.00366931
0.8	1.2	16	17	0.0406717	0.00447058	 0.00416796
1.2	1.6	16	17	0.040728	0.00485517	 0.00464029
1.6	2.1	16	17	0.0561223	0.00453336	 0.00438449
2.1	2.4	16	17	0.0840936	0.00814534	 0.00774624
-2.4	-2.1	17	18	0.68944	0.0118754	 0.0114494
-2.1	-1.6	17	18	0.808964	0.00775643	 0.00808159
-1.6	-1.2	17	18	0.887481	0.0065397	 0.00675085
-1.2	-0.8	17	18	0.903117	0.00609343	 0.00617598
-0.8	-0.3	17	18	0.915357	0.00492096	 0.00511577
-0.3	-0.2	17	18	0.832491	0.0165029	 0.0175534
-0.2	0.2	17	18	0.904327	0.00677481	 0.007009
0.2	0.3	17	18	0.817482	0.0176555	 0.0184246
0.3	0.8	17	18	0.910248	0.00504516	 0.00521244
0.8	1.2	17	18	0.876884	0.00749278	 0.0073531
1.2	1.6	17	18	0.870525	0.00662559	 0.0067634
1.6	2.1	17	18	0.819873	0.00784881	 0.00832511
2.1	2.4	17	18	0.710003	0.011333	 0.0114308
-2.4	-2.1	18	19	0.812061	0.00968053	 0.00982764
-2.1	-1.6	18	19	0.901778	0.00502102	 0.00511618
-1.6	-1.2	18	19	0.958219	0.00345437	 0.00367065
-1.2	-0.8	18	19	0.942508	0.00414178	 0.00432799
-0.8	-0.3	18	19	0.955822	0.00334878	 0.00349979
-0.3	-0.2	18	19	0.828893	0.0148015	 0.0155568
-0.2	0.2	18	19	0.945569	0.00521806	 0.00624767
0.2	0.3	18	19	0.88203	0.015866	 0.0168591
0.3	0.8	18	19	0.957162	0.00390155	 0.00393113
0.8	1.2	18	19	0.937079	0.00436335	 0.00454372
1.2	1.6	18	19	0.956018	0.00426908	 0.00460214
1.6	2.1	18	19	0.903808	0.00524131	 0.00538579
2.1	2.4	18	19	0.844381	0.00951563	 0.00905312
-2.4	-2.1	19	20	0.833462	0.00836868	 0.00849304
-2.1	-1.6	19	20	0.90692	0.00470693	 0.00478211
-1.6	-1.2	19	20	0.959817	0.00332906	 0.00346156
-1.2	-0.8	19	20	0.95477	0.00362739	 0.00377649
-0.8	-0.3	19	20	0.959507	0.00286557	 0.00300311
-0.3	-0.2	19	20	0.8572	0.0123837	 0.0130616
-0.2	0.2	19	20	0.939572	0.00463325	 0.00448528
0.2	0.3	19	20	0.864451	0.0138329	 0.0161296
0.3	0.8	19	20	0.953199	0.00311509	 0.00325029
0.8	1.2	19	20	0.942374	0.00425546	 0.00542442
1.2	1.6	19	20	0.960951	0.00323199	 0.00341017
1.6	2.1	19	20	0.912205	0.00418777	 0.00431693
2.1	2.4	19	20	0.851962	0.00775836	 0.00805641
-2.4	-2.1	20	25	0.868323	0.00264249	 0.00267297
-2.1	-1.6	20	25	0.91559	0.00160354	 0.00159115
-1.6	-1.2	20	25	0.968564	0.00106469	 0.0010701
-1.2	-0.8	20	25	0.952537	0.0013934	 0.00138312
-0.8	-0.3	20	25	0.963747	0.00103604	 0.00105368
-0.3	-0.2	20	25	0.860865	0.00434963	 0.00439363
-0.2	0.2	20	25	0.954767	0.00123624	 0.00123961
0.2	0.3	20	25	0.861653	0.00453208	 0.0044535
0.3	0.8	20	25	0.957425	0.00113887	 0.0011212
0.8	1.2	20	25	0.949979	0.00138665	 0.00138457
1.2	1.6	20	25	0.963344	0.00113859	 0.00115405
1.6	2.1	20	25	0.924406	0.00163992	 0.00161437
2.1	2.4	20	25	0.88566	0.0027698	 0.00284229
-2.4	-2.1	25	30	0.891556	0.00189889	 0.00191262
-2.1	-1.6	25	30	0.921383	0.00120694	 0.00120017
-1.6	-1.2	25	30	0.971209	0.000778085	 0.00077524
-1.2	-0.8	25	30	0.95465	0.0010496	 0.00103528
-0.8	-0.3	25	30	0.964278	0.000710415	 0.000708517
-0.3	-0.2	25	30	0.868619	0.00288182	 0.0029053
-0.2	0.2	25	30	0.958338	0.000797544	 0.000802536
0.2	0.3	25	30	0.870144	0.00275468	 0.0027652
0.3	0.8	25	30	0.960539	0.000734177	 0.0007369
0.8	1.2	25	30	0.950923	0.00105913	 0.00103615
1.2	1.6	25	30	0.968271	0.00104146	 0.00101862
1.6	2.1	25	30	0.929148	0.00117749	 0.00116273
2.1	2.4	25	30	0.9077	0.00194741	 0.00187701
-2.4	-2.1	30	40	0.914679	0.000950023	 0.000949863
-2.1	-1.6	30	40	0.925112	0.000622312	 0.000620737
-1.6	-1.2	30	40	0.9722	0.000397289	 0.000397105
-1.2	-0.8	30	40	0.953568	0.000466533	 0.000468114
-0.8	-0.3	30	40	0.965205	0.000330217	 0.000330563
-0.3	-0.2	30	40	0.870164	0.00138636	 0.00139155
-0.2	0.2	30	40	0.958355	0.000390684	 0.000390263
0.2	0.3	30	40	0.872634	0.00138582	 0.00137216
0.3	0.8	30	40	0.96162	0.000347092	 0.000346916
0.8	1.2	30	40	0.951038	0.000480965	 0.000480329
1.2	1.6	30	40	0.96798	0.000432633	 0.000431378
1.6	2.1	30	40	0.932733	0.00059921	 0.000599456
2.1	2.4	30	40	0.924267	0.000895344	 0.000895012
-2.4	-2.1	40	60	0.925961	0.000725993	 0.000733548
-2.1	-1.6	40	60	0.928971	0.000477686	 0.000477735
-1.6	-1.2	40	60	0.963271	0.000349725	 0.000346638
-1.2	-0.8	40	60	0.953693	0.000356718	 0.000355614
-0.8	-0.3	40	60	0.965283	0.000269504	 0.000268716
-0.3	-0.2	40	60	0.868475	0.00122115	 0.0012256
-0.2	0.2	40	60	0.958653	0.000333066	 0.000333826
0.2	0.3	40	60	0.871138	0.00117069	 0.00117383
0.3	0.8	40	60	0.960811	0.000271377	 0.000272603
0.8	1.2	40	60	0.951289	0.000371865	 0.000372099
1.2	1.6	40	60	0.965776	0.000328424	 0.000325081
1.6	2.1	40	60	0.933522	0.00046923	 0.000468036
2.1	2.4	40	60	0.934571	0.000735998	 0.000729051
-2.4	-2.1	60	100	0.940632	0.00246721	 0.002506
