etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	15	0	0	 0
-2.1	-1.6	10	15	0	0	 0
-1.6	-1.2	10	15	0	0	 0
-1.2	-0.8	10	15	0	0	 0
-0.8	-0.3	10	15	0	0	 0
-0.3	-0.2	10	15	0	0	 0
-0.2	0.2	10	15	0	0	 0
0.2	0.3	10	15	0	0	 0
0.3	0.8	10	15	0	0	 0
0.8	1.2	10	15	0	0	 0
1.2	1.6	10	15	0	0	 0
1.6	2.1	10	15	0	0	 0
2.1	2.4	10	15	0	0	 0
-2.4	-2.1	15	16	0.0149817	0.00520511	 0.00423373
-2.1	-1.6	15	16	0.0139485	0.00393333	 0.00331281
-1.6	-1.2	15	16	0.0113043	0.00458459	 0.00389494
-1.2	-0.8	15	16	0	0	 0
-0.8	-0.3	15	16	0	0	 0
-0.3	-0.2	15	16	0	0	 0
-0.2	0.2	15	16	0	0	 0
0.2	0.3	15	16	0	0	 0
0.3	0.8	15	16	0	0	 0
0.8	1.2	15	16	0	0	 0
1.2	1.6	15	16	0	0	 0
1.6	2.1	15	16	0.0125158	0.00387404	 0.0035019
2.1	2.4	15	16	0	0	 0
-2.4	-2.1	16	17	0.0581925	0.0112977	 0.0104221
-2.1	-1.6	16	17	0.076733	0.00798582	 0.00768102
-1.6	-1.2	16	17	0.0425475	0.00823227	 0.00758781
-1.2	-0.8	16	17	0.0297672	0.00705497	 0.0063589
-0.8	-0.3	16	17	0.038354	0.00638443	 0.00575708
-0.3	-0.2	16	17	0	0	 0
-0.2	0.2	16	17	0.0307911	0.00747191	 0.00640857
0.2	0.3	16	17	0.055199	0.0219004	 0.0187019
0.3	0.8	16	17	0.0384458	0.00628736	 0.00565786
0.8	1.2	16	17	0.0410065	0.00780645	 0.0071184
1.2	1.6	16	17	0.0610097	0.00859365	 0.00816168
1.6	2.1	16	17	0.0662493	0.00915213	 0.0071323
2.1	2.4	16	17	0.0693157	0.0101668	 0.0092941
-2.4	-2.1	17	18	0.631775	0.0181185	 0.0182541
-2.1	-1.6	17	18	0.764755	0.0111952	 0.0114971
-1.6	-1.2	17	18	0.839046	0.0107564	 0.0111185
-1.2	-0.8	17	18	0.883482	0.0104956	 0.0109318
-0.8	-0.3	17	18	0.918638	0.00752941	 0.00800605
-0.3	-0.2	17	18	0.757468	0.0305216	 0.0331189
-0.2	0.2	17	18	0.868098	0.012584	 0.0135105
0.2	0.3	17	18	0.804936	0.0377848	 0.0319602
0.3	0.8	17	18	0.896536	0.00812109	 0.008533
0.8	1.2	17	18	0.885064	0.0107887	 0.0112997
1.2	1.6	17	18	0.837386	0.0109396	 0.0110469
1.6	2.1	17	18	0.788959	0.0115528	 0.0139876
2.1	2.4	17	18	0.587113	0.0246543	 0.0196007
-2.4	-2.1	18	19	0.730738	0.0146968	 0.0151855
-2.1	-1.6	18	19	0.876853	0.00891387	 0.00923319
-1.6	-1.2	18	19	0.94408	0.00615742	 0.00657937
-1.2	-0.8	18	19	0.917214	0.00868323	 0.0090086
-0.8	-0.3	18	19	0.953365	0.00614111	 0.00653085
-0.3	-0.2	18	19	0.832935	0.0307677	 0.0302882
-0.2	0.2	18	19	0.928431	0.00986771	 0.010042
0.2	0.3	18	19	0.872228	0.0246375	 0.0262143
0.3	0.8	18	19	0.953126	0.00565571	 0.00574104
0.8	1.2	18	19	0.91826	0.00814114	 0.00789985
1.2	1.6	18	19	0.929598	0.00668411	 0.00770418
1.6	2.1	18	19	0.858605	0.00881374	 0.00906233
2.1	2.4	18	19	0.717593	0.0162566	 0.0160863
-2.4	-2.1	19	20	0.753523	0.014556	 0.0148694
-2.1	-1.6	19	20	0.889464	0.0077585	 0.00786969
-1.6	-1.2	19	20	0.943676	0.0055051	 0.00588553
-1.2	-0.8	19	20	0.935805	0.00698094	 0.00737717
-0.8	-0.3	19	20	0.955451	0.00457053	 0.00491157
-0.3	-0.2	19	20	0.818613	0.0247869	 0.0264403
-0.2	0.2	19	20	0.936977	0.0068768	 0.00742182
0.2	0.3	19	20	0.851587	0.0205064	 0.0226557
0.3	0.8	19	20	0.94734	0.00543884	 0.00554375
0.8	1.2	19	20	0.930028	0.00643825	 0.006712
1.2	1.6	19	20	0.931606	0.00611152	 0.00649589
1.6	2.1	19	20	0.888386	0.00707039	 0.0072948
2.1	2.4	19	20	0.740153	0.0150823	 0.015423
-2.4	-2.1	20	25	0.792885	0.00510031	 0.00508243
-2.1	-1.6	20	25	0.904761	0.00246566	 0.00245473
-1.6	-1.2	20	25	0.951156	0.00201069	 0.00200789
-1.2	-0.8	20	25	0.933337	0.00230643	 0.00233989
-0.8	-0.3	20	25	0.957879	0.00175749	 0.00177608
-0.3	-0.2	20	25	0.816375	0.00770594	 0.00776885
-0.2	0.2	20	25	0.932479	0.00234369	 0.00234847
0.2	0.3	20	25	0.854247	0.00711121	 0.00721384
0.3	0.8	20	25	0.953921	0.00179121	 0.00184998
0.8	1.2	20	25	0.933249	0.00300013	 0.0023404
1.2	1.6	20	25	0.944552	0.00232137	 0.0024128
1.6	2.1	20	25	0.907825	0.00254707	 0.00255667
2.1	2.4	20	25	0.784897	0.00489148	 0.00490553
-2.4	-2.1	25	30	0.831133	0.00386281	 0.00389516
-2.1	-1.6	25	30	0.915364	0.00183226	 0.00186403
-1.6	-1.2	25	30	0.954639	0.00156849	 0.00156598
-1.2	-0.8	25	30	0.936536	0.00186546	 0.00184852
-0.8	-0.3	25	30	0.956357	0.00125952	 0.00124635
-0.3	-0.2	25	30	0.832385	0.00494793	 0.00488382
-0.2	0.2	25	30	0.937699	0.00153806	 0.00155372
0.2	0.3	25	30	0.853888	0.00475339	 0.0047328
0.3	0.8	25	30	0.953274	0.00128067	 0.00127927
0.8	1.2	25	30	0.93236	0.0019273	 0.0018279
1.2	1.6	25	30	0.948788	0.00168692	 0.00167806
1.6	2.1	25	30	0.917636	0.00188545	 0.00188609
2.1	2.4	25	30	0.816391	0.00362902	 0.00363664
-2.4	-2.1	30	40	0.860287	0.00188016	 0.00188745
-2.1	-1.6	30	40	0.92265	0.00102037	 0.00102489
-1.6	-1.2	30	40	0.953767	0.000809736	 0.000800083
-1.2	-0.8	30	40	0.936223	0.00086287	 0.000849201
-0.8	-0.3	30	40	0.95285	0.000598054	 0.000599799
-0.3	-0.2	30	40	0.820343	0.002532	 0.00253516
-0.2	0.2	30	40	0.936267	0.000766336	 0.000768319
0.2	0.3	30	40	0.851301	0.00238752	 0.00237014
0.3	0.8	30	40	0.95411	0.000594695	 0.000593091
0.8	1.2	30	40	0.933674	0.000880441	 0.000875322
1.2	1.6	30	40	0.949526	0.000849835	 0.000848948
1.6	2.1	30	40	0.926805	0.00099611	 0.000982979
2.1	2.4	30	40	0.856498	0.00193372	 0.00193526
-2.4	-2.1	40	60	0.887693	0.0015434	 0.00155775
-2.1	-1.6	40	60	0.927086	0.000781717	 0.000782724
-1.6	-1.2	40	60	0.945489	0.000659134	 0.000666148
-1.2	-0.8	40	60	0.935748	0.0006626	 0.000660133
-0.8	-0.3	40	60	0.953704	0.000498645	 0.000497729
-0.3	-0.2	40	60	0.820529	0.00217872	 0.00219302
-0.2	0.2	40	60	0.93853	0.000641023	 0.00064204
0.2	0.3	40	60	0.848243	0.00192506	 0.00192506
0.3	0.8	40	60	0.954364	0.000499026	 0.000498743
0.8	1.2	40	60	0.931232	0.0006558	 0.000662349
1.2	1.6	40	60	0.945071	0.000673542	 0.000672228
1.6	2.1	40	60	0.930196	0.000754511	 0.000756539
2.1	2.4	40	60	0.880811	0.00155185	 0.0015546
