etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.892132	0.0201027	 0.0235657
-2.1	-1.6	10	13	0.945233	0.0118761	 0.0154681
-1.6	-1.2	10	13	0.947882	0.0124842	 0.0147821
-1.2	-0.8	10	13	0.802131	0.0287796	 0.030517
-0.8	-0.3	10	13	0.976749	0.012403	 0.0160378
-0.3	-0.2	10	13	0.90421	0.0800247	 0.0944925
-0.2	0.2	10	13	0.879356	0.0343268	 0.0401715
0.2	0.3	10	13	0.866385	0.0738145	 0.113696
0.3	0.8	10	13	0.930472	0.0181628	 0.0219677
0.8	1.2	10	13	0.815132	0.0289447	 0.0307382
1.2	1.6	10	13	0.925535	0.0146284	 0.0166451
1.6	2.1	10	13	0.960095	0.0101726	 0.011867
2.1	2.4	10	13	0.909116	0.019156	 0.0219833
-2.4	-2.1	13	16	0.937793	0.011992	 0.0138403
-2.1	-1.6	13	16	0.956441	0.00941441	 0.0097716
-1.6	-1.2	13	16	0.948988	0.00993399	 0.0110467
-1.2	-0.8	13	16	0.818003	0.0197945	 0.0202647
-0.8	-0.3	13	16	0.953243	0.0118352	 0.0137788
-0.3	-0.2	13	16	0.823576	0.0671577	 0.0724708
-0.2	0.2	13	16	0.930505	0.0146966	 0.0169146
0.2	0.3	13	16	0.835591	0.0439328	 0.0514792
0.3	0.8	13	16	0.946321	0.0113571	 0.01268
0.8	1.2	13	16	0.802083	0.0226128	 0.0222354
1.2	1.6	13	16	0.950681	0.0106577	 0.012062
1.6	2.1	13	16	0.931837	0.010304	 0.0114723
2.1	2.4	13	16	0.928889	0.0128567	 0.0145969
-2.4	-2.1	16	20	0.934173	0.0091346	 0.00995019
-2.1	-1.6	16	20	0.950614	0.00654254	 0.00706823
-1.6	-1.2	16	20	0.942012	0.00732344	 0.00779174
-1.2	-0.8	16	20	0.787355	0.0184935	 0.0137224
-0.8	-0.3	16	20	0.967501	0.00568803	 0.00622195
-0.3	-0.2	16	20	0.811544	0.0342107	 0.0363973
-0.2	0.2	16	20	0.913797	0.010665	 0.0113935
0.2	0.3	16	20	0.848669	0.0288957	 0.0310672
0.3	0.8	16	20	0.962534	0.00547429	 0.00597096
0.8	1.2	16	20	0.770948	0.0139218	 0.01417
1.2	1.6	16	20	0.933152	0.00739033	 0.00796377
1.6	2.1	16	20	0.944895	0.00624173	 0.00667477
2.1	2.4	16	20	0.919841	0.00997796	 0.0111665
-2.4	-2.1	20	25	0.958668	0.00502423	 0.00528434
-2.1	-1.6	20	25	0.949567	0.00392706	 0.00412964
-1.6	-1.2	20	25	0.948272	0.00465682	 0.00480615
-1.2	-0.8	20	25	0.797547	0.0089973	 0.00935515
-0.8	-0.3	20	25	0.968337	0.00293457	 0.00311942
-0.3	-0.2	20	25	0.811747	0.0176249	 0.0172916
-0.2	0.2	20	25	0.915236	0.00552074	 0.0056982
0.2	0.3	20	25	0.844754	0.0149494	 0.0157925
0.3	0.8	20	25	0.962922	0.00319203	 0.00338477
0.8	1.2	20	25	0.783779	0.00830149	 0.00850141
1.2	1.6	20	25	0.942959	0.00491164	 0.00504688
1.6	2.1	20	25	0.951062	0.00395883	 0.00409636
2.1	2.4	20	25	0.945786	0.00564488	 0.00596937
-2.4	-2.1	25	30	0.959936	0.00381465	 0.00406464
-2.1	-1.6	25	30	0.962676	0.00309035	 0.00323072
-1.6	-1.2	25	30	0.946931	0.00337127	 0.00352001
-1.2	-0.8	25	30	0.793987	0.00673127	 0.0067479
-0.8	-0.3	25	30	0.967872	0.00244403	 0.00251139
-0.3	-0.2	25	30	0.798832	0.0114359	 0.0116855
-0.2	0.2	25	30	0.918183	0.00359632	 0.00367297
0.2	0.3	25	30	0.862325	0.0105495	 0.0108046
0.3	0.8	25	30	0.962222	0.00247971	 0.00258595
0.8	1.2	25	30	0.796234	0.00633437	 0.00645241
1.2	1.6	25	30	0.942869	0.00366847	 0.00366847
1.6	2.1	25	30	0.952123	0.00307098	 0.00317235
2.1	2.4	25	30	0.94794	0.00489215	 0.00517069
-2.4	-2.1	30	40	0.959934	0.00241555	 0.00244104
-2.1	-1.6	30	40	0.950255	0.00188421	 0.0018733
-1.6	-1.2	30	40	0.944978	0.00205418	 0.0020483
-1.2	-0.8	30	40	0.806534	0.00317352	 0.00312331
-0.8	-0.3	30	40	0.966299	0.00115585	 0.00116533
-0.3	-0.2	30	40	0.792256	0.00599473	 0.00612683
-0.2	0.2	30	40	0.918744	0.00194446	 0.00195695
0.2	0.3	30	40	0.850969	0.005257	 0.00532249
0.3	0.8	30	40	0.964112	0.0011989	 0.00120827
0.8	1.2	30	40	0.794304	0.00317429	 0.00318768
1.2	1.6	30	40	0.938435	0.00206364	 0.00207702
1.6	2.1	30	40	0.953895	0.0016426	 0.00167914
2.1	2.4	30	40	0.949419	0.00270893	 0.00274626
-2.4	-2.1	40	60	0.958189	0.00274476	 0.00196277
-2.1	-1.6	40	60	0.950431	0.00133242	 0.00135639
