etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.947453	0.00342444	 0.00352738
-2.1	-1.6	10	13	0.931405	0.00246004	 0.0024993
-1.6	-1.2	10	13	0.983431	0.00168488	 0.00177442
-1.2	-0.8	10	13	0.961951	0.0028022	 0.00310281
-0.8	-0.3	10	13	0.953115	0.00332678	 0.00337624
-0.3	-0.2	10	13	0.889464	0.0138287	 0.0145062
-0.2	0.2	10	13	0.944792	0.00462316	 0.00466434
0.2	0.3	10	13	0.841836	0.0144304	 0.0155754
0.3	0.8	10	13	0.953748	0.00339087	 0.00350225
0.8	1.2	10	13	0.950698	0.00322949	 0.00302675
1.2	1.6	10	13	0.973293	0.00267715	 0.002274
1.6	2.1	10	13	0.937653	0.00268166	 0.00273403
2.1	2.4	10	13	0.953135	0.00335941	 0.00327549
-2.4	-2.1	13	16	0.941822	0.00253237	 0.00262843
-2.1	-1.6	13	16	0.937187	0.00215722	 0.00217288
-1.6	-1.2	13	16	0.985292	0.00111315	 0.00114202
-1.2	-0.8	13	16	0.967953	0.00183487	 0.0018843
-0.8	-0.3	13	16	0.953619	0.00196699	 0.00200503
-0.3	-0.2	13	16	0.853131	0.00936772	 0.00955257
-0.2	0.2	13	16	0.95158	0.00269909	 0.00277043
0.2	0.3	13	16	0.867261	0.00942906	 0.00968249
0.3	0.8	13	16	0.950745	0.00254536	 0.00362525
0.8	1.2	13	16	0.962283	0.00204257	 0.00211386
1.2	1.6	13	16	0.978277	0.00150353	 0.00154875
1.6	2.1	13	16	0.944318	0.00207507	 0.00204058
2.1	2.4	13	16	0.957045	0.00246738	 0.00255016
-2.4	-2.1	16	20	0.949648	0.00164869	 0.00165729
-2.1	-1.6	16	20	0.941724	0.00149941	 0.00157412
-1.6	-1.2	16	20	0.98952	0.000690828	 0.000711941
-1.2	-0.8	16	20	0.970635	0.0011242	 0.0010999
-0.8	-0.3	16	20	0.968155	0.00102006	 0.00103361
-0.3	-0.2	16	20	0.884858	0.00464267	 0.00474467
-0.2	0.2	16	20	0.962664	0.00149606	 0.00149015
0.2	0.3	16	20	0.88568	0.00530981	 0.00558028
0.3	0.8	16	20	0.965313	0.00103142	 0.00104762
0.8	1.2	16	20	0.964969	0.00126759	 0.00124344
1.2	1.6	16	20	0.982735	0.000782068	 0.00080316
1.6	2.1	16	20	0.946837	0.00126604	 0.00127237
2.1	2.4	16	20	0.957731	0.00161994	 0.00161904
-2.4	-2.1	20	25	0.953827	0.00104363	 0.00106167
-2.1	-1.6	20	25	0.941636	0.000905031	 0.000891007
-1.6	-1.2	20	25	0.99083	0.000426423	 0.000405976
-1.2	-0.8	20	25	0.971291	0.000739444	 0.000726975
-0.8	-0.3	20	25	0.973075	0.000603558	 0.000603982
-0.3	-0.2	20	25	0.888103	0.00265313	 0.0026819
-0.2	0.2	20	25	0.965502	0.000717887	 0.000724863
0.2	0.3	20	25	0.893882	0.00269317	 0.00266549
0.3	0.8	20	25	0.969286	0.000645144	 0.000646689
0.8	1.2	20	25	0.967584	0.000737071	 0.000739271
1.2	1.6	20	25	0.984128	0.000495928	 0.000505794
1.6	2.1	20	25	0.949113	0.000889668	 0.000879571
2.1	2.4	20	25	0.963616	0.00105057	 0.00106386
-2.4	-2.1	25	30	0.956393	0.00083253	 0.000819859
-2.1	-1.6	25	30	0.943007	0.000697159	 0.000698153
-1.6	-1.2	25	30	0.991036	0.000322549	 0.000329879
-1.2	-0.8	25	30	0.970585	0.000566374	 0.000554771
-0.8	-0.3	25	30	0.97376	0.000411602	 0.000409361
-0.3	-0.2	25	30	0.892694	0.00174886	 0.00175761
-0.2	0.2	25	30	0.967257	0.000461811	 0.000464676
0.2	0.3	25	30	0.894201	0.00171894	 0.00172912
0.3	0.8	25	30	0.970377	0.000436526	 0.000437522
0.8	1.2	25	30	0.968133	0.000558913	 0.000560609
1.2	1.6	25	30	0.984235	0.000676997	 0.000676724
1.6	2.1	25	30	0.948004	0.000676997	 0.000676724
2.1	2.4	25	30	0.965276	0.000778276	 0.000785463
-2.4	-2.1	30	40	0.95918	0.000451981	 0.000448059
-2.1	-1.6	30	40	0.943193	0.000367201	 0.000367299
-1.6	-1.2	30	40	0.991285	0.00015228	 0.000149353
