etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.928498	0.00767838	 0.0082665
-2.1	-1.6	10	13	0.957274	0.00518573	 0.00552957
-1.6	-1.2	10	13	0.975922	0.00422433	 0.00458299
-1.2	-0.8	10	13	0.964768	0.00586661	 0.00626985
-0.8	-0.3	10	13	0.976077	0.00572844	 0.00649851
-0.3	-0.2	10	13	0.80397	0.0349899	 0.0387451
-0.2	0.2	10	13	0.9573	0.000119457	 0.000119457
0.2	0.3	10	13	0.905528	0.0070335	 0.0070335
0.3	0.8	10	13	0.964251	0.00621573	 0.00667679
0.8	1.2	10	13	0.944381	0.00652312	 0.00701896
1.2	1.6	10	13	0.978005	0.000162879	 0.000162879
1.6	2.1	10	13	0.952185	0.0100264	 0.00482515
2.1	2.4	10	13	0.944752	0.0112561	 0.00838386
-2.4	-2.1	13	16	0.944245	0.00608044	 0.00635792
-2.1	-1.6	13	16	0.956351	0.00428629	 0.00450285
-1.6	-1.2	13	16	0.982583	0.00283431	 0.00307379
-1.2	-0.8	13	16	0.953385	0.00450059	 0.00480676
-0.8	-0.3	13	16	0.959479	0.00432627	 0.00462596
-0.3	-0.2	13	16	0.852586	0.0228384	 0.0237113
-0.2	0.2	13	16	0.957602	0.0058205	 0.00638509
0.2	0.3	13	16	0.889413	0.0204222	 0.0221509
0.3	0.8	13	16	0.966361	0.00469568	 0.00430658
0.8	1.2	13	16	0.9584	0.00482025	 0.00775203
1.2	1.6	13	16	0.972575	0.00377104	 0.00399017
1.6	2.1	13	16	0.959726	0.00383643	 0.00393182
2.1	2.4	13	16	0.956078	0.00566155	 0.0059552
-2.4	-2.1	16	20	0.945219	0.0037917	 0.00396942
-2.1	-1.6	16	20	0.954964	0.00282695	 0.00288905
-1.6	-1.2	16	20	0.984857	0.00161911	 0.0017398
-1.2	-0.8	16	20	0.954311	0.00333288	 0.00345355
-0.8	-0.3	16	20	0.968643	0.00233935	 0.00238854
-0.3	-0.2	16	20	0.848133	0.0126833	 0.0133742
-0.2	0.2	16	20	0.945852	0.00439492	 0.00445937
0.2	0.3	16	20	0.863506	0.0133295	 0.0130767
0.3	0.8	16	20	0.962758	0.00275684	 0.00255716
0.8	1.2	16	20	0.954993	0.00291012	 0.00302513
1.2	1.6	16	20	0.975684	0.00227748	 0.00236882
1.6	2.1	16	20	0.950922	0.00273947	 0.0027699
2.1	2.4	16	20	0.941459	0.00431794	 0.00442822
-2.4	-2.1	20	25	0.95398	0.00241948	 0.00249557
-2.1	-1.6	20	25	0.955314	0.00169585	 0.00172896
-1.6	-1.2	20	25	0.984043	0.00115295	 0.00116666
-1.2	-0.8	20	25	0.95941	0.00184857	 0.00186665
-0.8	-0.3	20	25	0.972021	0.00144641	 0.00146532
-0.3	-0.2	20	25	0.842881	0.00702669	 0.00712498
-0.2	0.2	20	25	0.953659	0.00191037	 0.00192449
0.2	0.3	20	25	0.883353	0.00642491	 0.00645429
0.3	0.8	20	25	0.967968	0.00150904	 0.001547
0.8	1.2	20	25	0.956609	0.00217067	 0.00189067
1.2	1.6	20	25	0.977964	0.001626	 0.00147875
1.6	2.1	20	25	0.95935	0.00175283	 0.00175317
2.1	2.4	20	25	0.950013	0.00285507	 0.00382817
-2.4	-2.1	25	30	0.959127	0.00208942	 0.00213864
-2.1	-1.6	25	30	0.955277	0.00136077	 0.00137764
-1.6	-1.2	25	30	0.985779	0.000920186	 0.000935435
-1.2	-0.8	25	30	0.95751	0.00162617	 0.00193491
-0.8	-0.3	25	30	0.96897	0.00106039	 0.00105002
-0.3	-0.2	25	30	0.851616	0.00468713	 0.00471112
-0.2	0.2	25	30	0.954802	0.00126801	 0.0012354
0.2	0.3	25	30	0.878235	0.00441532	 0.0043736
0.3	0.8	25	30	0.96662	0.00105181	 0.0010563
0.8	1.2	25	30	0.95381	0.00159675	 0.00150963
1.2	1.6	25	30	0.977124	0.00117042	 0.00123228
1.6	2.1	25	30	0.95709	0.00133201	 0.00135144
2.1	2.4	25	30	0.950213	0.00217859	 0.00219544
-2.4	-2.1	30	40	0.961921	0.00105152	 0.00105192
-2.1	-1.6	30	40	0.95452	0.0007923	 0.000796625
-1.6	-1.2	30	40	0.984504	0.000475398	 0.000466817
-1.2	-0.8	30	40	0.956194	0.000713545	 0.000716613
-0.8	-0.3	30	40	0.968083	0.0005042	 0.000502998
-0.3	-0.2	30	40	0.842778	0.00238453	 0.00239968
-0.2	0.2	30	40	0.954868	0.000644797	 0.000647267
0.2	0.3	30	40	0.876309	0.00217871	 0.00220729
0.3	0.8	30	40	0.96779	0.000498321	 0.000499253
0.8	1.2	30	40	0.953744	0.000735312	 0.000739978
1.2	1.6	30	40	0.977026	0.000598958	 0.000598262
1.6	2.1	30	40	0.956963	0.000769266	 0.000769639
2.1	2.4	30	40	0.957708	0.00114992	 0.00115304
-2.4	-2.1	40	60	0.961313	0.00091935	 0.000920534
-2.1	-1.6	40	60	0.954907	0.000627249	 0.000628708
-1.6	-1.2	40	60	0.984931	0.000357783	 0.000360655
-1.2	-0.8	40	60	0.955402	0.000554807	 0.000553381
-0.8	-0.3	40	60	0.967259	0.00041633	 0.000415183
-0.3	-0.2	40	60	0.84286	0.00207842	 0.00208228
-0.2	0.2	40	60	0.954908	0.000549181	 0.000550992
0.2	0.3	40	60	0.873271	0.00191171	 0.00190718
0.3	0.8	40	60	0.96645	0.00120775	 0.00120775
0.8	1.2	40	60	0.951854	0.000581457	 0.000581457
1.2	1.6	40	60	0.975301	0.000458709	 0.000459899
1.6	2.1	40	60	0.956225	0.000605887	 0.00060601
2.1	2.4	40	60	0.956397	0.000985317	 0.000994271
-2.4	-2.1	60	100	0.960209	0.00326456	 0.00337075
-2.1	-1.6	60	100	0.953707	0.00203422	 0.00204408
-1.6	-1.2	60	100	0.982272	0.00128973	 0.00134779
-1.2	-0.8	60	100	0.955717	0.00171914	 0.00174935
-0.8	-0.3	60	100	0.966122	0.00131432	 0.00133693
-0.3	-0.2	60	100	0.835494	0.00652301	 0.00661929
-0.2	0.2	60	100	0.950643	0.00183032	 0.0018423
0.2	0.3	60	100	0.860174	0.0106951	 0.0176629
0.3	0.8	60	100	0.963797	0.00134974	 0.00136055
0.8	1.2	60	100	0.953414	0.00175253	 0.00179026
1.2	1.6	60	100	0.97377	0.00152849	 0.00156654
1.6	2.1	60	100	0.955237	0.00208874	 0.00191438
2.1	2.4	60	100	0.957956	0.00325835	 0.00331974
-2.4	-2.1	100	200	0.958403	0.0135441	 0.0147808
-2.1	-1.6	100	200	0.92225	0.00834216	 0.00880046
-1.6	-1.2	100	200	0.946757	0.00572391	 0.00574171
-1.2	-0.8	100	200	0.952726	0.00552052	 0.00557466
-0.8	-0.3	100	200	0.962714	0.00430235	 0.00452902
-0.3	-0.2	100	200	0.870764	0.0155206	 0.0168182
-0.2	0.2	100	200	0.946011	0.00503335	 0.00536072
0.2	0.3	100	200	0.866859	0.0164683	 0.0181873
0.3	0.8	100	200	0.965856	0.00387671	 0.00424155
0.8	1.2	100	200	0.955315	0.00513307	 0.00540355
1.2	1.6	100	200	0.937379	0.00656843	 0.00687559
1.6	2.1	100	200	0.917331	0.00767326	 0.00796758
2.1	2.4	100	200	0.929974	0.0132187	 0.0141221
