etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.94724	0.00930915	 0.0105077
-2.1	-1.6	10	13	0.958081	0.00740896	 0.00806532
-1.6	-1.2	10	13	0.981698	0.00558959	 0.00687423
-1.2	-0.8	10	13	0.966329	0.00827572	 0.00884396
-0.8	-0.3	10	13	0.972642	0.00725484	 0.00880933
-0.3	-0.2	10	13	0.851608	0.0507143	 0.0554391
-0.2	0.2	10	13	0.947969	0.0176499	 0.0203356
0.2	0.3	10	13	0.84373	0.0489829	 0.0591178
0.3	0.8	10	13	0.965834	0.00780841	 0.00926433
0.8	1.2	10	13	0.948407	0.00858122	 0.00963495
1.2	1.6	10	13	0.982089	0.00449265	 0.00536736
1.6	2.1	10	13	0.952555	0.00652181	 0.00713661
2.1	2.4	10	13	0.937442	0.0108157	 0.0118185
-2.4	-2.1	13	16	0.941732	0.00831824	 0.00830338
-2.1	-1.6	13	16	0.954	0.00586954	 0.00617566
-1.6	-1.2	13	16	0.988581	0.00293072	 0.00340415
-1.2	-0.8	13	16	0.952019	0.006683	 0.00701468
-0.8	-0.3	13	16	0.961078	0.00604701	 0.00658221
-0.3	-0.2	13	16	0.850751	0.0302501	 0.0309227
-0.2	0.2	13	16	0.950736	0.00953321	 0.010364
0.2	0.3	13	16	0.876507	0.0292342	 0.039942
0.3	0.8	13	16	0.969805	0.00522132	 0.00588849
0.8	1.2	13	16	0.959572	0.00577954	 0.00638808
1.2	1.6	13	16	0.97804	0.00454886	 0.00504581
1.6	2.1	13	16	0.961411	0.00581894	 0.00555588
2.1	2.4	13	16	0.946648	0.00848368	 0.00921851
-2.4	-2.1	16	20	0.946224	0.0052606	 0.00564123
-2.1	-1.6	16	20	0.951916	0.00365026	 0.00385486
-1.6	-1.2	16	20	0.985221	0.00219157	 0.00242185
-1.2	-0.8	16	20	0.956997	0.00459431	 0.00489909
-0.8	-0.3	16	20	0.967604	0.00322228	 0.00344039
-0.3	-0.2	16	20	0.845418	0.0178378	 0.0191884
-0.2	0.2	16	20	0.943998	0.00608389	 0.00612948
0.2	0.3	16	20	0.842327	0.0181852	 0.0191817
0.3	0.8	16	20	0.96411	0.00333696	 0.0035381
0.8	1.2	16	20	0.951836	0.00415783	 0.00441278
1.2	1.6	16	20	0.979467	0.00333595	 0.00451668
1.6	2.1	16	20	0.95137	0.00381937	 0.00383578
2.1	2.4	16	20	0.940465	0.00593042	 0.00633527
-2.4	-2.1	20	25	0.954051	0.00343509	 0.00357877
-2.1	-1.6	20	25	0.957671	0.00258459	 0.00298678
-1.6	-1.2	20	25	0.984162	0.00156764	 0.00164345
