etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.931725	0.00775413	 0.00833941
-2.1	-1.6	10	13	0.959507	0.00509326	 0.00542058
-1.6	-1.2	10	13	0.977445	0.00411039	 0.00447937
-1.2	-0.8	10	13	0.966632	0.0059893	 0.00644891
-0.8	-0.3	10	13	0.974903	0.00563104	 0.00639178
-0.3	-0.2	10	13	0.801578	0.0355396	 0.0398897
-0.2	0.2	10	13	0.958803	0.00882821	 0.0102133
0.2	0.3	10	13	0.905073	0.0389196	 0.0414749
0.3	0.8	10	13	0.964699	0.00572768	 0.00674798
0.8	1.2	10	13	0.947943	0.0063437	 0.00692333
1.2	1.6	10	13	0.979378	0.00377691	 0.00420746
1.6	2.1	10	13	0.953207	0.00460353	 0.00491628
2.1	2.4	10	13	0.94862	0.00708292	 0.00760242
-2.4	-2.1	13	16	0.948685	0.00620352	 0.00648537
-2.1	-1.6	13	16	0.955358	0.0043264	 0.0045529
-1.6	-1.2	13	16	0.984249	0.00272874	 0.00295772
-1.2	-0.8	13	16	0.952898	0.00457228	 0.0048791
-0.8	-0.3	13	16	0.961276	0.00428794	 0.00464379
-0.3	-0.2	13	16	0.849105	0.0222571	 0.0228659
-0.2	0.2	13	16	0.957839	0.00582114	 0.00641298
0.2	0.3	13	16	0.887603	0.0206775	 0.0223395
0.3	0.8	13	16	0.966256	0.00510509	 0.0043728
0.8	1.2	13	16	0.957576	0.00432499	 0.00462149
1.2	1.6	13	16	0.972563	0.00369856	 0.00389001
1.6	2.1	13	16	0.959828	0.00390153	 0.00396222
2.1	2.4	13	16	0.957204	0.00566695	 0.00600522
-2.4	-2.1	16	20	0.946044	0.0038762	 0.00406687
-2.1	-1.6	16	20	0.955004	0.00286707	 0.00293922
-1.6	-1.2	16	20	0.98519	0.0016114	 0.00173593
-1.2	-0.8	16	20	0.954057	0.00337845	 0.00401794
-0.8	-0.3	16	20	0.968378	0.00237506	 0.00240389
-0.3	-0.2	16	20	0.849472	0.0126272	 0.0132945
-0.2	0.2	16	20	0.946647	0.00415986	 0.00427146
0.2	0.3	16	20	0.863843	0.012942	 0.0129515
0.3	0.8	16	20	0.964032	0.00267207	 0.00265361
0.8	1.2	16	20	0.955683	0.00290011	 0.00302571
1.2	1.6	16	20	0.976669	0.00225947	 0.00233199
1.6	2.1	16	20	0.951292	9.28204e-05	 9.28204e-05
2.1	2.4	16	20	0.945461	0.00418178	 0.00434206
-2.4	-2.1	20	25	0.955642	0.00243797	 0.00251667
-2.1	-1.6	20	25	0.955565	0.00170587	 0.00173547
-1.6	-1.2	20	25	0.984471	0.00112147	 0.0011469
-1.2	-0.8	20	25	0.959389	0.00186594	 0.0018786
-0.8	-0.3	20	25	0.9718	0.00143925	 0.00145284
-0.3	-0.2	20	25	0.842349	0.00705526	 0.00718264
-0.2	0.2	20	25	0.95374	0.00192158	 0.00193987
0.2	0.3	20	25	0.883516	0.00641319	 0.00647366
0.3	0.8	20	25	0.968058	0.00150468	 0.00154149
0.8	1.2	20	25	0.956819	0.00218528	 0.00189725
1.2	1.6	20	25	0.978241	0.00162711	 0.00148227
1.6	2.1	20	25	0.959246	0.00175519	 0.00175748
2.1	2.4	20	25	0.950005	0.00254459	 0.00261815
-2.4	-2.1	25	30	0.960884	0.00204675	 0.00209018
-2.1	-1.6	25	30	0.955096	0.00137156	 0.00139042
-1.6	-1.2	25	30	0.985832	0.000914369	 0.000927433
-1.2	-0.8	25	30	0.957315	0.00170437	 0.00184717
-0.8	-0.3	25	30	0.969057	0.0010618	 0.00105555
-0.3	-0.2	25	30	0.851882	0.00469771	 0.00475854
-0.2	0.2	25	30	0.955203	0.00124459	 0.00123103
0.2	0.3	25	30	0.879577	0.00439201	 0.00436699
0.3	0.8	25	30	0.966772	0.00105148	 0.00105289
0.8	1.2	25	30	0.953817	0.00159842	 0.00148928
1.2	1.6	25	30	0.977496	0.00117651	 0.00123559
1.6	2.1	25	30	0.957551	0.00133267	 0.00135439
2.1	2.4	25	30	0.951709	0.002159	 0.00212781
-2.4	-2.1	30	40	0.962334	0.00105137	 0.00104561
-2.1	-1.6	30	40	0.954647	0.000793934	 0.000797026
-1.6	-1.2	30	40	0.984525	0.000471181	 0.000467345
-1.2	-0.8	30	40	0.956348	0.000714362	 0.000717606
-0.8	-0.3	30	40	0.968144	0.000503114	 0.000503279
-0.3	-0.2	30	40	0.842919	0.00239643	 0.00239748
-0.2	0.2	30	40	0.955052	0.000647885	 0.00064531
0.2	0.3	30	40	0.876486	0.00218105	 0.00220523
0.3	0.8	30	40	0.967924	0.000498088	 0.000498607
0.8	1.2	30	40	0.953864	0.00074198	 0.000735417
1.2	1.6	30	40	0.977197	0.000599005	 0.00059856
1.6	2.1	30	40	0.956975	0.000774946	 0.000766784
2.1	2.4	30	40	0.958424	0.00114447	 0.00113547
-2.4	-2.1	40	60	0.961713	0.00092207	 0.000913352
-2.1	-1.6	40	60	0.954865	0.000633455	 0.000628547
-1.6	-1.2	40	60	0.985008	0.000353933	 0.000349894
-1.2	-0.8	40	60	0.955448	0.000537155	 0.000541899
-0.8	-0.3	40	60	0.967358	0.000414701	 0.00041578
-0.3	-0.2	40	60	0.842778	0.00209451	 0.00209437
-0.2	0.2	40	60	0.955037	0.000549551	 0.000548816
0.2	0.3	40	60	0.873295	0.00190521	 0.00191377
0.3	0.8	40	60	0.966552	0.000426636	 0.000424018
0.8	1.2	40	60	0.952011	0.000586358	 0.000577457
1.2	1.6	40	60	0.975394	0.00103808	 0.00103808
1.6	2.1	40	60	0.956303	0.000605225	 0.000602931
2.1	2.4	40	60	0.956306	0.000898034	 0.00205416
-2.4	-2.1	60	100	0.958814	0.00334919	 0.00346994
-2.1	-1.6	60	100	0.953755	0.00203855	 0.00204995
-1.6	-1.2	60	100	0.982219	0.00129166	 0.00133604
-1.2	-0.8	60	100	0.955792	0.00172824	 0.00174937
-0.8	-0.3	60	100	0.966426	0.00131247	 0.00133384
-0.3	-0.2	60	100	0.835303	0.0064585	 0.00655626
-0.2	0.2	60	100	0.950676	0.00182864	 0.00184373
0.2	0.3	60	100	0.85742	0.00588569	 0.0060317
0.3	0.8	60	100	0.963835	0.00134995	 0.00136079
0.8	1.2	60	100	0.953359	0.0017542	 0.00179099
1.2	1.6	60	100	0.97381	0.00152504	 0.00157194
1.6	2.1	60	100	0.955273	0.00210027	 0.00192819
2.1	2.4	60	100	0.959167	0.0032668	 0.00333969
-2.4	-2.1	100	200	0.957673	0.0134459	 0.0146115
-2.1	-1.6	100	200	0.921782	0.00837007	 0.00875992
-1.6	-1.2	100	200	0.946565	0.0053847	 0.00574767
-1.2	-0.8	100	200	0.953067	0.0052764	 0.00548946
-0.8	-0.3	100	200	0.962726	0.00429935	 0.00453249
-0.3	-0.2	100	200	0.872759	0.0154084	 0.0166988
-0.2	0.2	100	200	0.94591	0.00504129	 0.00536658
0.2	0.3	100	200	0.868192	0.0165372	 0.0181224
0.3	0.8	100	200	0.96499	0.00499235	 0.00388558
0.8	1.2	100	200	0.955446	0.00515045	 0.00537009
1.2	1.6	100	200	0.937958	0.00655667	 0.00687078
1.6	2.1	100	200	0.91729	0.00881284	 0.00759676
2.1	2.4	100	200	0.928578	0.0134392	 0.0143658
