etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.79352	0.0126459	 0.0128556
-2.1	-1.6	10	13	0.784957	0.0109598	 0.0090314
-1.6	-1.2	10	13	0.754891	0.0110734	 0.0113549
-1.2	-0.8	10	13	0.674498	0.0119305	 0.0119709
-0.8	-0.3	10	13	0.658571	0.0131008	 0.0129904
-0.3	-0.2	10	13	0.547171	0.0343145	 0.0344422
-0.2	0.2	10	13	0.582105	0.0181674	 0.0180594
0.2	0.3	10	13	0.592562	0.034142	 0.0343805
0.3	0.8	10	13	0.660087	0.013476	 0.0133435
0.8	1.2	10	13	0.68331	0.0128492	 0.0129353
1.2	1.6	10	13	0.749537	0.00990212	 0.0100654
1.6	2.1	10	13	0.802646	0.00930469	 0.009528
2.1	2.4	10	13	0.787561	0.0121236	 0.0120398
-2.4	-2.1	13	16	0.82716	0.00908843	 0.00933876
-2.1	-1.6	13	16	0.830358	0.00717683	 0.00718881
-1.6	-1.2	13	16	0.793124	0.00854133	 0.00899056
-1.2	-0.8	13	16	0.735784	0.00849834	 0.00849834
-0.8	-0.3	13	16	0.733307	0.00852948	 0.00859101
-0.3	-0.2	13	16	0.6593	0.0249994	 0.0252566
-0.2	0.2	13	16	0.694557	0.0116036	 0.0116779
0.2	0.3	13	16	0.629362	0.0227722	 0.023347
0.3	0.8	13	16	0.716603	0.00911	 0.00917797
0.8	1.2	13	16	0.740293	0.00862804	 0.00870183
1.2	1.6	13	16	0.795221	0.0083849	 0.00864093
1.6	2.1	13	16	0.822957	0.00726545	 0.00734657
2.1	2.4	13	16	0.833654	0.00961428	 0.00981634
-2.4	-2.1	16	20	0.883162	0.00582574	 0.00596899
-2.1	-1.6	16	20	0.867909	0.00453715	 0.00457627
-1.6	-1.2	16	20	0.827499	0.00542421	 0.00532648
-1.2	-0.8	16	20	0.805329	0.00581738	 0.00585408
-0.8	-0.3	16	20	0.786098	0.00495725	 0.0049955
-0.3	-0.2	16	20	0.747285	0.0132149	 0.0132864
-0.2	0.2	16	20	0.744847	0.00635881	 0.00636055
0.2	0.3	16	20	0.759592	0.0122116	 0.0123414
0.3	0.8	16	20	0.769142	0.00512017	 0.00507185
0.8	1.2	16	20	0.788685	0.00585964	 0.00592547
1.2	1.6	16	20	0.8267	0.00554461	 0.00559676
1.6	2.1	16	20	0.859051	0.00461829	 0.00466421
2.1	2.4	16	20	0.859986	0.00596547	 0.00601126
-2.4	-2.1	20	25	0.915469	0.00371891	 0.0037843
-2.1	-1.6	20	25	0.899115	0.00287049	 0.00288275
-1.6	-1.2	20	25	0.886794	0.00329505	 0.00334333
-1.2	-0.8	20	25	0.853307	0.00348265	 0.00350715
-0.8	-0.3	20	25	0.839507	0.00298441	 0.00298327
-0.3	-0.2	20	25	0.836696	0.0063005	 0.00640195
-0.2	0.2	20	25	0.829702	0.00307738	 0.00308692
0.2	0.3	20	25	0.824731	0.00656947	 0.00663701
0.3	0.8	20	25	0.838062	0.00293301	 0.00296306
0.8	1.2	20	25	0.857764	0.00325073	 0.003245
1.2	1.6	20	25	0.875778	0.00341748	 0.00341635
1.6	2.1	20	25	0.903382	0.00270026	 0.00269991
2.1	2.4	20	25	0.905166	0.00360665	 0.00363615
