etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.788102	0.0124039	 0.0126117
-2.1	-1.6	10	13	0.78274	0.021699	 0.00875911
-1.6	-1.2	10	13	0.753364	0.0119289	 0.0119621
-1.2	-0.8	10	13	0.67332	0.0119289	 0.0119621
-0.8	-0.3	10	13	0.658673	0.013286	 0.0131775
-0.3	-0.2	10	13	0.545307	0.0342156	 0.0345301
-0.2	0.2	10	13	0.579217	0.0180542	 0.0178247
0.2	0.3	10	13	0.585978	0.0337139	 0.0340773
0.3	0.8	10	13	0.658865	0.0132984	 0.0132552
0.8	1.2	10	13	0.677302	0.0129245	 0.0129558
1.2	1.6	10	13	0.747939	0.0100789	 0.0101055
1.6	2.1	10	13	0.80146	0.00922619	 0.00940725
2.1	2.4	10	13	0.785728	0.0123263	 0.0139978
-2.4	-2.1	13	16	0.827624	0.0089309	 0.0090813
-2.1	-1.6	13	16	0.829707	0.00727972	 0.00716524
-1.6	-1.2	13	16	0.791013	0.00857903	 0.00908691
-1.2	-0.8	13	16	0.73316	0.000310845	 0.000310845
-0.8	-0.3	13	16	0.731111	0.00853547	 0.00866924
-0.3	-0.2	13	16	0.662558	0.0247984	 0.0253562
-0.2	0.2	13	16	0.691957	0.0115528	 0.0116263
0.2	0.3	13	16	0.625201	0.0235815	 0.0239289
0.3	0.8	13	16	0.718011	0.00902121	 0.00907514
0.8	1.2	13	16	0.741385	0.00878848	 0.00887418
1.2	1.6	13	16	0.794038	0.00850922	 0.00935117
1.6	2.1	13	16	0.822623	0.00735027	 0.00747353
2.1	2.4	13	16	0.834722	0.00932065	 0.00954633
-2.4	-2.1	16	20	0.88246	0.00582181	 0.0059655
-2.1	-1.6	16	20	0.867347	0.00464176	 0.00469168
-1.6	-1.2	16	20	0.826481	0.00538751	 0.00540388
-1.2	-0.8	16	20	0.804583	0.00582993	 0.00589357
-0.8	-0.3	16	20	0.785303	0.00492909	 0.00494228
-0.3	-0.2	16	20	0.743664	0.0131152	 0.0130909
-0.2	0.2	16	20	0.743508	0.00644042	 0.00640815
0.2	0.3	16	20	0.759555	0.0121464	 0.0123049
0.3	0.8	16	20	0.769064	0.00509976	 0.00509457
0.8	1.2	16	20	0.78891	0.00582885	 0.00589897
1.2	1.6	16	20	0.82784	0.00555314	 0.00557565
1.6	2.1	16	20	0.860176	0.00468118	 0.00468733
2.1	2.4	16	20	0.859892	0.00589242	 0.00597772
-2.4	-2.1	20	25	0.915192	0.00365275	 0.00371878
-2.1	-1.6	20	25	0.899476	0.00291819	 0.00289455
-1.6	-1.2	20	25	0.8862	0.00329244	 0.00333178
-1.2	-0.8	20	25	0.851813	0.0034776	 0.00349643
-0.8	-0.3	20	25	0.838676	0.0029683	 0.00298379
-0.3	-0.2	20	25	0.835369	0.0062888	 0.00643065
-0.2	0.2	20	25	0.829556	0.00307495	 0.00308024
0.2	0.3	20	25	0.825021	0.00655821	 0.00661239
