etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.771748	0.0060677	 0.00617754
-2.1	-1.6	10	13	0.780231	0.00440025	 0.00446361
-1.6	-1.2	10	13	0.735518	0.00519317	 0.00522021
-1.2	-0.8	10	13	0.681591	0.0060688	 0.00612145
-0.8	-0.3	10	13	0.639071	0.00664363	 0.00664375
-0.3	-0.2	10	13	0.603098	0.0181439	 0.0181279
-0.2	0.2	10	13	0.573857	0.00911064	 0.00912745
0.2	0.3	10	13	0.608219	0.0192147	 0.0192579
0.3	0.8	10	13	0.641144	0.00674636	 0.00678365
0.8	1.2	10	13	0.682123	0.0058264	 0.00585804
1.2	1.6	10	13	0.73078	0.00550718	 0.00559852
1.6	2.1	10	13	0.766572	0.00446284	 0.00449964
2.1	2.4	10	13	0.763445	0.00625142	 0.00623505
-2.4	-2.1	13	16	0.822644	0.00440918	 0.00448167
-2.1	-1.6	13	16	0.823084	0.00328602	 0.00330707
-1.6	-1.2	13	16	0.775185	0.00400777	 0.00404867
-1.2	-0.8	13	16	0.748268	0.00425005	 0.00425997
-0.8	-0.3	13	16	0.704126	0.00428445	 0.00429547
-0.3	-0.2	13	16	0.671504	0.0116812	 0.0117598
-0.2	0.2	13	16	0.659964	0.00574121	 0.0057771
0.2	0.3	13	16	0.645979	0.012452	 0.0127202
0.3	0.8	13	16	0.701545	0.00434255	 0.00436563
0.8	1.2	13	16	0.729491	0.00427776	 0.00429717
1.2	1.6	13	16	0.779555	0.00394641	 0.00398828
1.6	2.1	13	16	0.813438	0.00334597	 0.00336667
2.1	2.4	13	16	0.807934	0.00457717	 0.00461555
-2.4	-2.1	16	20	0.865279	0.00280782	 0.00282201
-2.1	-1.6	16	20	0.860575	0.00206495	 0.00207562
-1.6	-1.2	16	20	0.831202	0.00245211	 0.00246772
-1.2	-0.8	16	20	0.792046	0.00266384	 0.00267998
-0.8	-0.3	16	20	0.761195	0.00249087	 0.00249771
-0.3	-0.2	16	20	0.732828	0.00644138	 0.00648864
-0.2	0.2	16	20	0.723671	0.00319414	 0.00320932
0.2	0.3	16	20	0.72756	0.00668402	 0.00682276
0.3	0.8	16	20	0.766931	0.0024848	 0.00248215
0.8	1.2	16	20	0.793505	0.00266101	 0.00267334
1.2	1.6	16	20	0.822061	0.0024856	 0.00250019
1.6	2.1	16	20	0.853094	0.00211248	 0.00212204
2.1	2.4	16	20	0.861967	0.00285395	 0.00286639
-2.4	-2.1	20	25	0.906136	0.0017041	 0.00172279
-2.1	-1.6	20	25	0.903059	0.00122695	 0.00123603
-1.6	-1.2	20	25	0.877582	0.00147292	 0.00148906
-1.2	-0.8	20	25	0.848385	0.00158049	 0.00158436
-0.8	-0.3	20	25	0.823495	0.00144901	 0.00144673
-0.3	-0.2	20	25	0.8057	0.00373884	 0.00372595
-0.2	0.2	20	25	0.800946	0.00167464	 0.0016725
0.2	0.3	20	25	0.805689	0.00352477	 0.00354334
0.3	0.8	20	25	0.822804	0.00144661	 0.00145683
0.8	1.2	20	25	0.846705	0.00160151	 0.00160681
1.2	1.6	20	25	0.875356	0.00148116	 0.00147981
1.6	2.1	20	25	0.898852	0.00125996	 0.00126421
2.1	2.4	20	25	0.897997	0.00176175	 0.00177965
-2.4	-2.1	25	30	0.937654	0.00118803	 0.00118595
-2.1	-1.6	25	30	0.935816	0.000830149	 0.000830636
-1.6	-1.2	25	30	0.916263	0.000991688	 0.000990561
-1.2	-0.8	25	30	0.895102	0.00106253	 0.00107267
-0.8	-0.3	25	30	0.876356	0.000926145	 0.000924032
-0.3	-0.2	25	30	0.866032	0.00209656	 0.00210027
-0.2	0.2	25	30	0.867318	0.000945858	 0.000932043
0.2	0.3	25	30	0.868884	0.00203621	 0.00205071
0.3	0.8	25	30	0.877423	0.000935683	 0.000930729
0.8	1.2	25	30	0.892762	0.00107678	 0.0010762
1.2	1.6	25	30	0.916522	0.00100116	 0.0010049
1.6	2.1	25	30	0.933457	0.000834751	 0.000837416
2.1	2.4	25	30	0.932818	0.00117422	 0.00118316
