etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	22	0	0	 0
-2.1	-1.6	10	22	0	0	 0
-1.6	-1.2	10	22	0	0	 0
-1.2	-0.8	10	22	0	0	 0
-0.8	-0.3	10	22	0	0	 0
-0.3	-0.2	10	22	0	0	 0
-0.2	0.2	10	22	0	0	 0
0.2	0.3	10	22	0	0	 0
0.3	0.8	10	22	0	0	 0
0.8	1.2	10	22	0	0	 0
1.2	1.6	10	22	0	0	 0
1.6	2.1	10	22	0	0	 0
2.1	2.4	10	22	0	0	 0
-2.4	-2.1	22	23	0.04553	0.00277038	 0.0027452
-2.1	-1.6	22	23	0.0227519	0.00136386	 0.0013163
-1.6	-1.2	22	23	0.0103917	0.00114376	 0.00109657
-1.2	-0.8	22	23	0	0	 0
-0.8	-0.3	22	23	0	0	 0
-0.3	-0.2	22	23	0	0	 0
-0.2	0.2	22	23	0	0	 0
0.2	0.3	22	23	0	0	 0
0.3	0.8	22	23	0	0	 0
0.8	1.2	22	23	0.0101404	0.00089322	 0.000843309
1.2	1.6	22	23	0.0100578	0.00108652	 0.00103958
1.6	2.1	22	23	0.0254117	0.00141292	 0.00138669
2.1	2.4	22	23	0.0451618	0.00232755	 0.00225481
-2.4	-2.1	23	24	0.162741	0.00454825	 0.00452265
-2.1	-1.6	23	24	0.135175	0.00271662	 0.00272699
-1.6	-1.2	23	24	0.0912323	0.00255995	 0.00255771
-1.2	-0.8	23	24	0.0868124	0.00250497	 0.00249921
-0.8	-0.3	23	24	0.0868754	0.00204582	 0.00203865
-0.3	-0.2	23	24	0.0738383	0.00423919	 0.00408856
-0.2	0.2	23	24	0.0833807	0.0021226	 0.00208904
0.2	0.3	23	24	0.0564268	0.00374766	 0.0036109
0.3	0.8	23	24	0.0816619	0.0020484	 0.00204397
0.8	1.2	23	24	0.086429	0.00243296	 0.00240851
1.2	1.6	23	24	0.0909516	0.00266026	 0.00264044
1.6	2.1	23	24	0.135214	0.00274681	 0.00279497
2.1	2.4	23	24	0.167594	0.0045422	 0.00450515
-2.4	-2.1	24	25	0.602177	0.00531353	 0.00530801
-2.1	-1.6	24	25	0.685423	0.00351808	 0.00349798
-1.6	-1.2	24	25	0.766144	0.00347626	 0.00349148
-1.2	-0.8	24	25	0.78122	0.00341796	 0.00342713
-0.8	-0.3	24	25	0.845817	0.00255384	 0.00256903
-0.3	-0.2	24	25	0.696407	0.00708059	 0.00713518
-0.2	0.2	24	25	0.807185	0.00279064	 0.00279575
0.2	0.3	24	25	0.728444	0.0066524	 0.00673229
0.3	0.8	24	25	0.848578	0.00254666	 0.00256054
0.8	1.2	24	25	0.777607	0.00342998	 0.0034488
1.2	1.6	24	25	0.769241	0.00345287	 0.00348337
1.6	2.1	24	25	0.717048	0.00343666	 0.00347745
2.1	2.4	24	25	0.590565	0.00537546	 0.00530686
-2.4	-2.1	25	26	0.690516	0.00482542	 0.00486607
-2.1	-1.6	25	26	0.763407	0.00313593	 0.00314305
-1.6	-1.2	25	26	0.829994	0.00289224	 0.00289974
-1.2	-0.8	25	26	0.84383	0.00294013	 0.00294685
-0.8	-0.3	25	26	0.89788	0.00202468	 0.00202043
-0.3	-0.2	25	26	0.749034	0.00623116	 0.00630506
-0.2	0.2	25	26	0.869256	0.00225301	 0.00226271
0.2	0.3	25	26	0.778037	0.00612792	 0.00617227
0.3	0.8	25	26	0.900231	0.0019719	 0.0019898
0.8	1.2	25	26	0.839026	0.00293435	 0.00288832
1.2	1.6	25	26	0.827223	0.00301569	 0.00301686
1.6	2.1	25	26	0.783558	0.00308434	 0.00307466
2.1	2.4	25	26	0.672991	0.00485748	 0.00484918
-2.4	-2.1	26	30	0.738434	0.0020636	 0.0020531
-2.1	-1.6	26	30	0.799068	0.00134861	 0.00134332
-1.6	-1.2	26	30	0.862293	0.00118484	 0.00117983
-1.2	-0.8	26	30	0.883641	0.00111482	 0.00110982
-0.8	-0.3	26	30	0.922877	0.000747515	 0.000744769
-0.3	-0.2	26	30	0.779417	0.00247554	 0.0024676
-0.2	0.2	26	30	0.901868	0.000829057	 0.000830964
0.2	0.3	26	30	0.813767	0.00234427	 0.0023258
0.3	0.8	26	30	0.922084	0.000749262	 0.000749006
0.8	1.2	26	30	0.883578	0.00109939	 0.00109767
1.2	1.6	26	30	0.859307	0.00123291	 0.00122477
1.6	2.1	26	30	0.817751	0.00127799	 0.00126732
2.1	2.4	26	30	0.721951	0.00209971	 0.00208462
-2.4	-2.1	30	40	0.797002	0.00090794	 0.000908338
-2.1	-1.6	30	40	0.834188	0.000586906	 0.000588554
-1.6	-1.2	30	40	0.90078	0.00048581	 0.000487314
-1.2	-0.8	30	40	0.91294	0.000416821	 0.000418112
-0.8	-0.3	30	40	0.937759	0.000288946	 0.000291539
-0.3	-0.2	30	40	0.804062	0.00107817	 0.0010699
-0.2	0.2	30	40	0.922318	0.000347202	 0.000348051
0.2	0.3	30	40	0.837901	0.00100222	 0.00100403
0.3	0.8	30	40	0.941083	0.000283978	 0.000284978
0.8	1.2	30	40	0.912126	0.000420966	 0.000416776
1.2	1.6	30	40	0.893885	0.000498638	 0.000499772
1.6	2.1	30	40	0.845012	0.000568176	 0.000570909
2.1	2.4	30	40	0.775366	0.000950083	 0.000946782
-2.4	-2.1	40	60	0.82388	0.000756914	 0.000759759
-2.1	-1.6	40	60	0.847767	0.000439822	 0.000439423
-1.6	-1.2	40	60	0.920391	0.000326066	 0.000325589
-1.2	-0.8	40	60	0.92433	0.000303056	 0.000303581
-0.8	-0.3	40	60	0.94613	0.000222451	 0.000222775
-0.3	-0.2	40	60	0.811255	0.000907396	 0.000903708
-0.2	0.2	40	60	0.933203	0.000276558	 0.000274821
0.2	0.3	40	60	0.848442	0.000840618	 0.000842787
0.3	0.8	40	60	0.947861	0.000221084	 0.000223434
0.8	1.2	40	60	0.923351	0.000305248	 0.000305994
1.2	1.6	40	60	0.910009	0.000343028	 0.000343805
1.6	2.1	40	60	0.858112	0.000429145	 0.000424394
2.1	2.4	40	60	0.80128	0.00078749	 0.000789353
-2.4	-2.1	60	100	0.835291	0.00271214	 0.00271922
-2.1	-1.6	60	100	0.852015	0.00144898	 0.00145078
-1.6	-1.2	60	100	0.922867	0.00106059	 0.00106003
-1.2	-0.8	60	100	0.926367	0.000979173	 0.000985877
-0.8	-0.3	60	100	0.9473	0.00075976	 0.000769013
-0.3	-0.2	60	100	0.807432	0.00288742	 0.00288376
-0.2	0.2	60	100	0.938541	0.000862314	 0.00086779
0.2	0.3	60	100	0.840768	0.00267363	 0.00268
0.3	0.8	60	100	0.950456	0.000718228	 0.000722914
0.8	1.2	60	100	0.924916	0.000972636	 0.000969329
1.2	1.6	60	100	0.917255	0.00108244	 0.00108606
1.6	2.1	60	100	0.860478	0.00144763	 0.00145215
2.1	2.4	60	100	0.810003	0.0027104	 0.00270651
-2.4	-2.1	100	200	0.843813	0.0146292	 0.0148677
-2.1	-1.6	100	200	0.853358	0.00625528	 0.0063273
-1.6	-1.2	100	200	0.906938	0.0041979	 0.00424467
-1.2	-0.8	100	200	0.916519	0.00346346	 0.00348009
-0.8	-0.3	100	200	0.940767	0.00865546	 0.00870573
-0.3	-0.2	100	200	0.808052	0.00865546	 0.00870573
-0.2	0.2	100	200	0.936799	0.00248533	 0.00248314
0.2	0.3	100	200	0.841321	0.00791558	 0.00807078
0.3	0.8	100	200	0.948967	0.0020635	 0.00210606
0.8	1.2	100	200	0.907221	0.0037113	 0.00375061
1.2	1.6	100	200	0.906827	0.00434701	 0.00429916
1.6	2.1	100	200	0.851507	0.00611127	 0.0062288
2.1	2.4	100	200	0.81739	0.0148584	 0.015143
