etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.983414	0.00582552	 0.00626521
-2.1	-1.6	10	13	0.992002	0.00347009	 0.00376129
-1.6	-1.2	10	13	0.988349	0.00539433	 0.0057536
-1.2	-0.8	10	13	0.971239	0.00539433	 0.0057536
-0.8	-0.3	10	13	0.979506	0.00545108	 0.00589091
-0.3	-0.2	10	13	0.837632	0.0284742	 0.0310849
-0.2	0.2	10	13	0.972285	0.00806689	 0.00880421
0.2	0.3	10	13	0.901557	0.0238278	 0.0263143
0.3	0.8	10	13	0.992656	0.00461712	 0.00515464
0.8	1.2	10	13	0.967214	0.00570487	 0.00608184
1.2	1.6	10	13	0.985341	0.00414646	 0.00449029
1.6	2.1	10	13	0.989079	0.0041844	 0.00448588
2.1	2.4	10	13	0.988047	0.00571193	 0.00615506
-2.4	-2.1	13	16	0.982092	0.00425866	 0.00457975
-2.1	-1.6	13	16	0.993797	0.00221056	 0.00242773
-1.6	-1.2	13	16	0.987459	0.00290512	 0.00312657
-1.2	-0.8	13	16	0.960042	0.00415568	 0.0044928
-0.8	-0.3	13	16	0.990696	0.00229341	 0.00252949
-0.3	-0.2	13	16	0.892907	0.014342	 0.0152791
-0.2	0.2	13	16	0.96766	0.00503401	 0.00537441
0.2	0.3	13	16	0.874459	0.0161449	 0.0170414
0.3	0.8	13	16	0.983339	0.00296254	 0.00317023
0.8	1.2	13	16	0.969365	0.00370079	 0.00389554
1.2	1.6	13	16	0.991362	0.00253085	 0.00278505
1.6	2.1	13	16	0.994086	0.00234641	 0.00255569
2.1	2.4	13	16	0.992831	0.00383878	 0.00420673
-2.4	-2.1	16	20	0.981443	0.0028556	 0.00303197
-2.1	-1.6	16	20	0.99267	0.00134218	 0.0014479
-1.6	-1.2	16	20	0.9951	0.00125728	 0.00139096
-1.2	-0.8	16	20	0.968933	0.00260541	 0.00268542
-0.8	-0.3	16	20	0.987799	0.00140961	 0.00151063
-0.3	-0.2	16	20	0.908104	0.00841639	 0.00895917
-0.2	0.2	16	20	0.972457	0.00260743	 0.00271348
0.2	0.3	16	20	0.873678	0.00832456	 0.00859441
0.3	0.8	16	20	0.986426	0.00149497	 0.0015805
0.8	1.2	16	20	0.969361	0.00245286	 0.00254382
1.2	1.6	16	20	0.993889	0.00152974	 0.00165037
1.6	2.1	16	20	0.991194	0.00149186	 0.00158928
2.1	2.4	16	20	0.984497	0.00269014	 0.00285986
-2.4	-2.1	20	25	0.979646	0.00203407	 0.00211536
-2.1	-1.6	20	25	0.991618	0.000932638	 0.000980541
-1.6	-1.2	20	25	0.994828	0.000821417	 0.000872246
-1.2	-0.8	20	25	0.969465	0.00148601	 0.00151552
-0.8	-0.3	20	25	0.989697	0.000834946	 0.000864058
-0.3	-0.2	20	25	0.901941	0.0047474	 0.0048266
-0.2	0.2	20	25	0.979734	0.00118645	 0.00120927
