etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.923294	0.00989359	 0.0101014
-2.1	-1.6	10	13	0.955043	0.00578327	 0.00602023
-1.6	-1.2	10	13	0.964041	0.00545703	 0.00579088
-1.2	-0.8	10	13	0.954833	0.00662262	 0.00697932
-0.8	-0.3	10	13	0.963446	0.00659726	 0.0069983
-0.3	-0.2	10	13	0.812207	0.0454597	 0.027899
-0.2	0.2	10	13	0.957783	0.000319861	 0.000319861
0.2	0.3	10	13	0.89736	0.0249047	 0.0271743
0.3	0.8	10	13	0.977893	0.00596092	 0.00645734
0.8	1.2	10	13	0.956838	0.00648566	 0.00683725
1.2	1.6	10	13	0.967502	0.00553401	 0.00585043
1.6	2.1	10	13	0.958023	0.00585056	 0.00609146
2.1	2.4	10	13	0.918655	0.00911361	 0.00949695
-2.4	-2.1	13	16	0.92535	0.007038	 0.00730119
-2.1	-1.6	13	16	0.972516	0.00363385	 0.00384425
-1.6	-1.2	13	16	0.97572	0.00372848	 0.00395034
-1.2	-0.8	13	16	0.948954	0.00460808	 0.00482985
-0.8	-0.3	13	16	0.983799	0.00292947	 0.0031392
-0.3	-0.2	13	16	0.879259	0.0158073	 0.0165688
-0.2	0.2	13	16	0.961754	0.00535116	 0.0056806
0.2	0.3	13	16	0.858005	0.017677	 0.0184331
0.3	0.8	13	16	0.971937	0.00371116	 0.00391567
0.8	1.2	13	16	0.956982	0.00434324	 0.00452591
1.2	1.6	13	16	0.982493	0.0033797	 0.00361919
1.6	2.1	13	16	0.973653	0.00368804	 0.00387382
2.1	2.4	13	16	0.936407	0.00701991	 0.00729814
-2.4	-2.1	16	20	0.945293	0.00457092	 0.00471457
-2.1	-1.6	16	20	0.977996	0.00188718	 0.00202909
-1.6	-1.2	16	20	0.986724	0.00188718	 0.00202909
-1.2	-0.8	16	20	0.962605	0.00282268	 0.00289937
-0.8	-0.3	16	20	0.975262	0.00169151	 0.0017527
-0.3	-0.2	16	20	0.902239	0.00849489	 0.00875239
-0.2	0.2	16	20	0.96575	0.00294631	 0.0030741
0.2	0.3	16	20	0.862995	0.00861676	 0.00885166
0.3	0.8	16	20	0.980664	0.0018056	 0.00188542
0.8	1.2	16	20	0.96255	0.00272198	 0.00281137
1.2	1.6	16	20	0.987209	0.0020368	 0.00215264
1.6	2.1	16	20	0.974043	0.00230275	 0.00236893
2.1	2.4	16	20	0.946041	0.00444598	 0.00459579
-2.4	-2.1	20	25	0.938844	0.00316905	 0.00324116
-2.1	-1.6	20	25	0.981845	0.0012936	 0.00134246
-1.6	-1.2	20	25	0.989014	0.00114911	 0.00120158
-1.2	-0.8	20	25	0.96364	0.00172371	 0.00172371
-0.8	-0.3	20	25	0.985213	0.00100455	 0.00103389
-0.3	-0.2	20	25	0.89446	0.00502401	 0.00508907
-0.2	0.2	20	25	0.971988	0.00139715	 0.00143785
0.2	0.3	20	25	0.893296	0.00531049	 0.00532777
0.3	0.8	20	25	0.982469	0.00106491	 0.0010905
0.8	1.2	20	25	0.970957	0.00166796	 0.00170271
1.2	1.6	20	25	0.988351	0.00120063	 0.00125019
1.6	2.1	20	25	0.982651	0.0012888	 0.00134121
2.1	2.4	20	25	0.945034	0.00277474	 0.00283776
-2.4	-2.1	25	30	0.944569	0.00234545	 0.00238782
