etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.915954	0.0137949	 0.0139057
-2.1	-1.6	10	13	0.973567	0.00823368	 0.00846178
-1.6	-1.2	10	13	0.963144	0.00788661	 0.00811882
-1.2	-0.8	10	13	0.937931	0.0102663	 0.0104692
-0.8	-0.3	10	13	0.971583	0.0127868	 0.012988
-0.3	-0.2	10	13	0.686255	0.0294582	 0.0336211
-0.2	0.2	10	13	0.947065	0.02042	 0.0206528
0.2	0.3	10	13	0.867871	0.0575486	 0.0425837
0.3	0.8	10	13	0.939571	0.0127918	 0.0129851
0.8	1.2	10	13	0.953188	0.00964065	 0.00987
1.2	1.6	10	13	0.977614	0.00813541	 0.00835694
1.6	2.1	10	13	0.986002	0.0087653	 0.00887101
2.1	2.4	10	13	0.91252	0.013728	 0.0138972
-2.4	-2.1	13	16	0.923024	0.00885855	 0.00897855
-2.1	-1.6	13	16	0.96807	0.00507535	 0.00521212
-1.6	-1.2	13	16	0.978811	0.00449426	 0.0046711
-1.2	-0.8	13	16	0.935252	0.00610964	 0.00622964
-0.8	-0.3	13	16	0.971899	0.00624862	 0.00640795
-0.3	-0.2	13	16	0.873729	0.020453	 0.0212327
-0.2	0.2	13	16	0.948417	0.00940455	 0.00969072
0.2	0.3	13	16	0.858415	0.0193519	 0.0199373
0.3	0.8	13	16	0.967836	0.00615047	 0.00630843
0.8	1.2	13	16	0.927174	0.00621084	 0.00638447
1.2	1.6	13	16	0.980618	0.00498225	 0.00516293
1.6	2.1	13	16	0.969768	0.00548267	 0.0056519
2.1	2.4	13	16	0.907405	0.00914629	 0.00925741
-2.4	-2.1	16	20	0.921609	0.00561578	 0.00572485
-2.1	-1.6	16	20	0.971358	0.00267968	 0.0027517
-1.6	-1.2	16	20	0.982709	0.00248819	 0.00257668
-1.2	-0.8	16	20	0.940136	0.00353949	 0.00362278
-0.8	-0.3	16	20	0.962744	0.00300257	 0.00307591
-0.3	-0.2	16	20	0.844778	0.0118699	 0.0121794
-0.2	0.2	16	20	0.952393	0.00429566	 0.00437423
0.2	0.3	16	20	0.825437	0.0120643	 0.0122189
0.3	0.8	16	20	0.970388	0.00290334	 0.00297535
0.8	1.2	16	20	0.947661	0.00344554	 0.00351725
1.2	1.6	16	20	0.978396	0.00272951	 0.00282078
1.6	2.1	16	20	0.976314	0.00272091	 0.00279844
2.1	2.4	16	20	0.931111	0.00524944	 0.00535432
-2.4	-2.1	20	25	0.918179	0.00341346	 0.00348622
-2.1	-1.6	20	25	0.969734	0.00164452	 0.00167414
-1.6	-1.2	20	25	0.984331	0.00133768	 0.00137799
-1.2	-0.8	20	25	0.941336	0.00213107	 0.00215593
-0.8	-0.3	20	25	0.966443	0.00157549	 0.00160842
-0.3	-0.2	20	25	0.862258	0.00577656	 0.005873
-0.2	0.2	20	25	0.954074	0.00200661	 0.00203635
0.2	0.3	20	25	0.857217	0.00591386	 0.00602196
0.3	0.8	20	25	0.967639	0.00153401	 0.00156273
0.8	1.2	20	25	0.945468	0.00207309	 0.00210354
1.2	1.6	20	25	0.979088	0.0015441	 0.0015894
1.6	2.1	20	25	0.975161	0.00155122	 0.00158071
2.1	2.4	20	25	0.929298	0.00326253	 0.00330945
-2.4	-2.1	25	30	0.924069	0.00265601	 0.00268679
-2.1	-1.6	25	30	0.972341	0.00119518	 0.00121599
-1.6	-1.2	25	30	0.986126	0.000926549	 0.000955697
-1.2	-0.8	25	30	0.942555	0.00156854	 0.00158557
-0.8	-0.3	25	30	0.968888	0.00105317	 0.00105737
-0.3	-0.2	25	30	0.860498	0.00391025	 0.00396193
-0.2	0.2	25	30	0.954796	0.00120688	 0.001224
0.2	0.3	25	30	0.854333	0.00403851	 0.00413277
0.3	0.8	25	30	0.971226	0.000997013	 0.00100966
0.8	1.2	25	30	0.9456	0.00152707	 0.00155392
1.2	1.6	25	30	0.981364	0.00105396	 0.00108153
1.6	2.1	25	30	0.974945	0.00117993	 0.00119761
2.1	2.4	25	30	0.927562	0.00260885	 0.00264629
-2.4	-2.1	30	40	0.928466	0.00140294	 0.00141113
-2.1	-1.6	30	40	0.973165	0.00063001	 0.000638787
-1.6	-1.2	30	40	0.985518	0.000486392	 0.000489954
-1.2	-0.8	30	40	0.942143	0.000782088	 0.000781866
-0.8	-0.3	30	40	0.969578	0.00047823	 0.000482353
-0.3	-0.2	30	40	0.863651	0.00201063	 0.00202403
-0.2	0.2	30	40	0.957167	0.000596472	 0.000601181
0.2	0.3	30	40	0.853541	0.00211556	 0.00218631
0.3	0.8	30	40	0.972304	0.000458341	 0.000460028
0.8	1.2	30	40	0.946942	0.000742382	 0.000742112
1.2	1.6	30	40	0.982896	0.000528715	 0.000535735
1.6	2.1	30	40	0.975608	0.000606219	 0.000611839
2.1	2.4	30	40	0.929937	0.00139204	 0.00140257
-2.4	-2.1	40	60	0.930024	0.00116996	 0.00117878
-2.1	-1.6	40	60	0.971299	0.000486764	 0.000489593
-1.6	-1.2	40	60	0.98567	0.000343343	 0.000347302
-1.2	-0.8	40	60	0.943287	0.000582938	 0.000587115
-0.8	-0.3	40	60	0.971004	0.000382722	 0.000384605
-0.3	-0.2	40	60	0.861572	0.00165446	 0.00166915
-0.2	0.2	40	60	0.957951	0.000501706	 0.000504378
0.2	0.3	40	60	0.851328	0.00171997	 0.00173023
0.3	0.8	40	60	0.973579	0.000364995	 0.00036719
0.8	1.2	40	60	0.948721	0.000559738	 0.000561843
1.2	1.6	40	60	0.984447	0.000365537	 0.000369418
1.6	2.1	40	60	0.976438	0.000448132	 0.000453892
2.1	2.4	40	60	0.931406	0.00115639	 0.00116445
-2.4	-2.1	60	100	0.942091	0.00430219	 0.00436857
-2.1	-1.6	60	100	0.975906	0.00161029	 0.00165793
-1.6	-1.2	60	100	0.986813	0.00111654	 0.00115561
-1.2	-0.8	60	100	0.942435	0.00194074	 0.00198053
-0.8	-0.3	60	100	0.9713	0.0012662	 0.00129833
-0.3	-0.2	60	100	0.857526	0.0054738	 0.00619917
-0.2	0.2	60	100	0.960573	0.00161947	 0.00164979
0.2	0.3	60	100	0.853279	0.00537831	 0.00545767
0.3	0.8	60	100	0.973893	0.00120855	 0.00123425
0.8	1.2	60	100	0.947406	0.00185331	 0.00187883
1.2	1.6	60	100	0.986678	0.00119549	 0.00123661
1.6	2.1	60	100	0.976914	0.00160406	 0.00164262
2.1	2.4	60	100	0.943375	0.00420969	 0.0042776
-2.4	-2.1	100	200	0.884427	0.0168993	 0.0173151
-2.1	-1.6	100	200	0.974031	0.0058813	 0.0062407
-1.6	-1.2	100	200	0.986814	0.00365083	 0.0039503
-1.2	-0.8	100	200	0.946628	0.00574516	 0.00603376
-0.8	-0.3	100	200	0.972485	0.00375246	 0.00397911
-0.3	-0.2	100	200	0.865916	0.0158483	 0.0167037
-0.2	0.2	100	200	0.961436	0.00492443	 0.00517453
0.2	0.3	100	200	0.846991	0.0137528	 0.0144967
0.3	0.8	100	200	0.970204	0.00389878	 0.00411051
0.8	1.2	100	200	0.934157	0.0064387	 0.00675592
1.2	1.6	100	200	0.986569	0.00383351	 0.00418941
1.6	2.1	100	200	0.973049	0.006393	 0.00674152
2.1	2.4	100	200	0.937265	0.0172637	 0.0177136
