etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0	0	 0
-2.1	-1.6	10	13	0	0	 0
-1.6	-1.2	10	13	0	0	 0
-1.2	-0.8	10	13	0.0146355	0.0197195	 0.0123092
-0.8	-0.3	10	13	0	0	 0
-0.3	-0.2	10	13	0	0	 0
-0.2	0.2	10	13	0	0	 0
0.2	0.3	10	13	0	0	 0
0.3	0.8	10	13	0	0	 0
0.8	1.2	10	13	0	0	 0
1.2	1.6	10	13	0	0	 0
1.6	2.1	10	13	0	0	 0
2.1	2.4	10	13	0	0	 0
-2.4	-2.1	13	16	0.0101639	0.0135981	 0.00709295
-2.1	-1.6	13	16	0	0	 0
-1.6	-1.2	13	16	0	0	 0
-1.2	-0.8	13	16	0	0	 0
-0.8	-0.3	13	16	0	0	 0
-0.3	-0.2	13	16	0	0	 0
-0.2	0.2	13	16	0	0	 0
0.2	0.3	13	16	0	0	 0
0.3	0.8	13	16	0	0	 0
0.8	1.2	13	16	0	0	 0
1.2	1.6	13	16	0	0	 0
1.6	2.1	13	16	0	0	 0
2.1	2.4	13	16	0.0538457	0.0302986	 0.040222
-2.4	-2.1	16	20	0.609058	0.0343138	 0.0341942
-2.1	-1.6	16	20	0.71376	0.0218918	 0.0226435
-1.6	-1.2	16	20	0.768239	0.0232197	 0.0240694
-1.2	-0.8	16	20	0.765005	0.0222185	 0.0234041
-0.8	-0.3	16	20	0.829415	0.0254313	 0.0270108
-0.3	-0.2	16	20	0.777504	0.0663163	 0.0689776
-0.2	0.2	16	20	0.791253	0.0388975	 0.0401431
0.2	0.3	16	20	0.684381	0.0747031	 0.0870212
0.3	0.8	16	20	0.822135	0.0212532	 0.0227869
0.8	1.2	16	20	0.759562	0.0275906	 0.0286111
1.2	1.6	16	20	0.785226	0.0262831	 0.0269456
1.6	2.1	16	20	0.72362	0.0232537	 0.024168
2.1	2.4	16	20	0.638457	0.0340082	 0.0351375
-2.4	-2.1	20	25	0.80282	0.0214755	 0.0215624
-2.1	-1.6	20	25	0.904443	0.0113457	 0.0120877
-1.6	-1.2	20	25	0.992292	0.00431307	 0.00549467
-1.2	-0.8	20	25	0.945852	0.00920095	 0.0100083
-0.8	-0.3	20	25	0.982651	0.0045351	 0.00521924
-0.3	-0.2	20	25	0.881612	0.0245455	 0.0279103
-0.2	0.2	20	25	0.960548	0.0088264	 0.00965421
0.2	0.3	20	25	0.809483	0.0309486	 0.0340275
0.3	0.8	20	25	0.967808	0.00557364	 0.00633295
0.8	1.2	20	25	0.938543	0.00989673	 0.0107063
1.2	1.6	20	25	0.963325	0.00651394	 0.00735515
1.6	2.1	20	25	0.921148	0.010212	 0.0108417
2.1	2.4	20	25	0.83505	0.0185818	 0.0196182
-2.4	-2.1	25	30	0.840432	0.0161281	 0.0248232
-2.1	-1.6	25	30	0.921399	0.00733676	 0.00782495
-1.6	-1.2	25	30	0.973318	0.00491881	 0.00551471
-1.2	-0.8	25	30	0.944426	0.00664017	 0.0072484
-0.8	-0.3	25	30	0.977788	0.00352025	 0.00394191
-0.3	-0.2	25	30	0.853273	0.018828	 0.02025
-0.2	0.2	25	30	0.976819	0.00424967	 0.0048039
0.2	0.3	25	30	0.813183	0.0203591	 0.0216581
0.3	0.8	25	30	0.982022	0.00320169	 0.00359782
0.8	1.2	25	30	0.928652	0.00743749	 0.00804062
1.2	1.6	25	30	0.975711	0.00551501	 0.006189
1.6	2.1	25	30	0.924909	0.00841356	 0.00886054
2.1	2.4	25	30	0.876021	0.0146213	 0.015949
-2.4	-2.1	30	50	0.886607	0.00584583	 0.00594655
-2.1	-1.6	30	50	0.913083	0.00330227	 0.00324506
-1.6	-1.2	30	50	0.982189	0.00137622	 0.00144789
-1.2	-0.8	30	50	0.939961	0.00237873	 0.0024482
-0.8	-0.3	30	50	0.978198	0.00122571	 0.00126782
-0.3	-0.2	30	50	0.840545	0.00692808	 0.00692808
-0.2	0.2	30	50	0.968707	2.39163e-05	 2.39163e-05
0.2	0.3	30	50	0.831097	0.007081	 0.00726705
0.3	0.8	30	50	0.976641	0.00130691	 0.00133233
0.8	1.2	30	50	0.938101	0.0023805	 0.00242803
1.2	1.6	30	50	0.974451	0.00163347	 0.00171241
1.6	2.1	30	50	0.926528	0.00294336	 0.00293567
2.1	2.4	30	50	0.884463	0.00540722	 0.00548341
-2.4	-2.1	50	200	0.916575	0.0108127	 0.0129007
-2.1	-1.6	50	200	0.926039	0.00669594	 0.00697197
-1.6	-1.2	50	200	0.983102	0.00298456	 0.00312561
-1.2	-0.8	50	200	0.935876	-0	 -0
-0.8	-0.3	50	200	0.976238	0.00262219	 0.00283257
-0.3	-0.2	50	200	0.821416	0.0204697	 0.017402
-0.2	0.2	50	200	0.970851	0.00326371	 0.00353134
0.2	0.3	50	200	0.829524	0.0157377	 0.0163585
0.3	0.8	50	200	0.98117	0.00234626	 0.00255227
0.8	1.2	50	200	0.932193	0.0052029	 0.00545819
1.2	1.6	50	200	0.979251	0.00334769	 0.00329755
1.6	2.1	50	200	0.934014	0.00565821	 0.00577077
2.1	2.4	50	200	0.904233	0.0109941	 0.0111857
