etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	15	0	0	 0
-2.1	-1.6	10	15	0	0	 0
-1.6	-1.2	10	15	0	0	 0
-1.2	-0.8	10	15	0	0	 0
-0.8	-0.3	10	15	0	0	 0
-0.3	-0.2	10	15	0	0	 0
-0.2	0.2	10	15	0	0	 0
0.2	0.3	10	15	0	0	 0
0.3	0.8	10	15	0	0	 0
0.8	1.2	10	15	0	0	 0
1.2	1.6	10	15	0	0	 0
1.6	2.1	10	15	0	0	 0
2.1	2.4	10	15	0	0	 0
-2.4	-2.1	15	16	0.0130619	0.0089736	 0.00614798
-2.1	-1.6	15	16	0	0	 0
-1.6	-1.2	15	16	0	0	 0
-1.2	-0.8	15	16	0	0	 0
-0.8	-0.3	15	16	0	0	 0
-0.3	-0.2	15	16	0	0	 0
-0.2	0.2	15	16	0	0	 0
0.2	0.3	15	16	0	0	 0
0.3	0.8	15	16	0	0	 0
0.8	1.2	15	16	0	0	 0
1.2	1.6	15	16	0.011072	0.00766721	 0.00555985
1.6	2.1	15	16	0	0	 0
2.1	2.4	15	16	0	0	 0
-2.4	-2.1	16	17	0.103344	0.0202127	 0.0180715
-2.1	-1.6	16	17	0.086782	0.0148242	 0.0138032
-1.6	-1.2	16	17	0.0625287	0.0131557	 0.0117778
-1.2	-0.8	16	17	0.0561802	0.0126517	 0.0110481
-0.8	-0.3	16	17	0.024564	0.0097111	 0.00769469
-0.3	-0.2	16	17	0.0177354	0.0237104	 0.0123413
-0.2	0.2	16	17	0.0420035	0.0181688	 0.0155354
0.2	0.3	16	17	0.0555525	0.0367118	 0.0258261
0.3	0.8	16	17	0.0349038	0.0113648	 0.0100759
0.8	1.2	16	17	0.0569537	0.0152985	 0.0137194
1.2	1.6	16	17	0.0647159	0.016351	 0.0147791
1.6	2.1	16	17	0.0824787	0.0138627	 0.0125882
2.1	2.4	16	17	0.136362	0.0220303	 0.0201914
-2.4	-2.1	17	18	0.575127	0.0325131	 0.0316084
-2.1	-1.6	17	18	0.750726	0.0204205	 0.0202063
-1.6	-1.2	17	18	0.857902	0.0155767	 0.0165892
-1.2	-0.8	17	18	0.851479	0.0193791	 0.0199424
-0.8	-0.3	17	18	0.91925	0.0127231	 0.0141075
-0.3	-0.2	17	18	0.802355	0.0543635	 0.0631068
-0.2	0.2	17	18	0.886067	0.0196613	 0.0225885
0.2	0.3	17	18	0.775003	0.0484725	 0.0547583
0.3	0.8	17	18	0.912983	0.013913	 0.0149873
0.8	1.2	17	18	0.849136	0.0183274	 0.018954
1.2	1.6	17	18	0.873433	0.015474	 0.0166248
1.6	2.1	17	18	0.783467	0.0196715	 0.0194907
2.1	2.4	17	18	0.62114	0.030121	 0.0307679
-2.4	-2.1	18	19	0.74722	0.0281555	 0.0294067
-2.1	-1.6	18	19	0.867581	0.0138754	 0.0148193
-1.6	-1.2	18	19	0.962357	0.00778665	 0.00894278
-1.2	-0.8	18	19	0.920779	0.0113373	 0.0125174
-0.8	-0.3	18	19	0.973778	0.00657539	 0.0077271
-0.3	-0.2	18	19	0.863103	0.0352865	 0.0413291
-0.2	0.2	18	19	0.952285	0.0145374	 0.0165345
0.2	0.3	18	19	0.847626	0.0465739	 0.0513335
0.3	0.8	18	19	0.962659	0.00783124	 0.00906941
0.8	1.2	18	19	0.923536	0.0140956	 0.0153957
1.2	1.6	18	19	0.945853	0.0109401	 0.0120204
1.6	2.1	18	19	0.853882	0.0155935	 0.0164743
2.1	2.4	18	19	0.696454	0.0273626	 0.0276532
-2.4	-2.1	19	20	0.738612	0.0228983	 0.0240207
-2.1	-1.6	19	20	0.894089	0.0127174	 0.0135232
-1.6	-1.2	19	20	0.964341	0.0073511	 0.00829595
-1.2	-0.8	19	20	0.932555	0.00961475	 0.0104835
-0.8	-0.3	19	20	0.975311	0.00562855	 0.00661267
-0.3	-0.2	19	20	0.859392	0.0436534	 0.0490963
-0.2	0.2	19	20	0.952508	0.0101168	 0.0117878
0.2	0.3	19	20	0.888452	0.0314793	 0.0364329
0.3	0.8	19	20	0.964686	0.00666849	 0.00760865
0.8	1.2	19	20	0.930732	0.0140403	 0.0120065
1.2	1.6	19	20	0.975048	0.00730546	 0.0078453
1.6	2.1	19	20	0.882098	0.0118415	 0.0125677
2.1	2.4	19	20	0.771288	0.0234003	 0.0236469
-2.4	-2.1	20	21	0.759111	0.0204857	 0.0214203
-2.1	-1.6	20	21	0.894124	0.0106541	 0.0117365
-1.6	-1.2	20	21	0.966928	0.00639781	 0.00729865
-1.2	-0.8	20	21	0.924336	0.00966264	 0.0104921
-0.8	-0.3	20	21	0.975731	0.00501283	 0.00576244
-0.3	-0.2	20	21	0.812412	0.0329192	 0.0359899
-0.2	0.2	20	21	0.957116	0.00905942	 0.0105096
0.2	0.3	20	21	0.816389	0.0346241	 0.0349746
0.3	0.8	20	21	0.970676	0.00583445	 0.00654435
0.8	1.2	20	21	0.937673	0.00890551	 0.00977108
1.2	1.6	20	21	0.959302	0.00729823	 0.00805955
1.6	2.1	20	21	0.890136	0.0105155	 0.011932
2.1	2.4	20	21	0.808124	0.0192142	 0.0203599
-2.4	-2.1	21	22	0.825902	0.0179537	 0.0170747
-2.1	-1.6	21	22	0.900406	0.00993711	 0.0106659
-1.6	-1.2	21	22	0.962303	0.00649716	 0.00730026
-1.2	-0.8	21	22	0.9331	0.00832234	 0.00904014
-0.8	-0.3	21	22	0.973217	0.00568684	 0.00643219
-0.3	-0.2	21	22	0.833854	0.0306145	 0.0333534
-0.2	0.2	21	22	0.966181	0.00695162	 0.00799479
0.2	0.3	21	22	0.856649	0.0255952	 0.0286098
0.3	0.8	21	22	0.98548	0.00445779	 0.00530374
0.8	1.2	21	22	0.920076	0.0108423	 0.0115417
1.2	1.6	21	22	0.969484	0.00575816	 0.00667913
1.6	2.1	21	22	0.889739	0.0101531	 0.0108105
2.1	2.4	21	22	0.818776	0.0193413	 0.0209387
-2.4	-2.1	22	24	0.806227	0.0118924	 0.0117686
-2.1	-1.6	22	24	0.892945	0.00744522	 0.00762192
-1.6	-1.2	22	24	0.965515	0.00407158	 0.00440135
-1.2	-0.8	22	24	0.936142	0.00571522	 0.00600758
-0.8	-0.3	22	24	0.971645	0.00386958	 0.00459216
-0.3	-0.2	22	24	0.857784	0.0186298	 0.0197319
-0.2	0.2	22	24	0.966253	0.0044813	 0.00540435
0.2	0.3	22	24	0.874641	0.0170263	 0.0174655
0.3	0.8	22	24	0.982773	0.00287415	 0.00296001
0.8	1.2	22	24	0.935785	0.00568306	 0.00606568
1.2	1.6	22	24	0.966215	0.00438798	 0.00465291
1.6	2.1	22	24	0.887903	0.0073837	 0.00760753
2.1	2.4	22	24	0.822113	0.014365	 0.0121448
-2.4	-2.1	24	26	0.825951	0.0105525	 0.0109449
-2.1	-1.6	24	26	0.894435	0.00606988	 0.00629345
-1.6	-1.2	24	26	0.981009	0.00329572	 0.00379014
-1.2	-0.8	24	26	0.935611	0.00570112	 0.00591165
-0.8	-0.3	24	26	0.973064	0.00299611	 0.00316174
-0.3	-0.2	24	26	0.848818	0.0141134	 0.014661
-0.2	0.2	24	26	0.965932	0.00359593	 0.00383232
0.2	0.3	24	26	0.842524	0.0154798	 0.0159673
0.3	0.8	24	26	0.98148	0.00260396	 0.00278424
0.8	1.2	24	26	0.939767	0.00490346	 0.00513521
1.2	1.6	24	26	0.97746	0.00346063	 0.00373545
1.6	2.1	24	26	0.911612	0.00597346	 0.00608264
2.1	2.4	24	26	0.815236	0.0101982	 0.0106369
