etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	20	0.318198	0.0286411	 0.0274052
-2.1	-1.6	10	20	0.387706	0.0228002	 0.022701
-1.6	-1.2	10	20	0.452363	0.0267019	 0.0287774
-1.2	-0.8	10	20	0.413842	0.0271987	 0.0270959
-0.8	-0.3	10	20	0.558576	0.0274895	 0.0271389
-0.3	0.3	10	20	0.503707	0.0313519	 0.0310687
0.3	0.8	10	20	0.528919	0.0279452	 0.02721
0.8	1.2	10	20	0.360129	0.0264592	 0.0275538
1.2	1.6	10	20	0.428676	0.0247844	 0.0278612
1.6	2.1	10	20	0.449666	0.0252657	 0.0247863
2.1	2.4	10	20	0.279929	0.0286507	 0.0263253
-2.4	-2.1	20	30	0.845284	0.0124037	 0.0125992
-2.1	-1.6	20	30	0.940661	0.00573838	 0.00580155
-1.6	-1.2	20	30	0.960176	0.00498175	 0.00546821
-1.2	-0.8	20	30	0.799525	0.0105891	 0.0109274
-0.8	-0.3	20	30	0.967986	0.00366284	 0.00396574
-0.3	0.3	20	30	0.88282	-0	 -0
0.3	0.8	20	30	0.951766	0.00480006	 0.00499176
0.8	1.2	20	30	0.781379	0.0108698	 0.0111818
1.2	1.6	20	30	0.947469	0.00565552	 0.00606399
1.6	2.1	20	30	0.918617	0.00743617	 0.00774188
2.1	2.4	20	30	0.802082	0.0147247	 0.0152071
-2.4	-2.1	30	50	0.889307	-0	 -0
-2.1	-1.6	30	50	0.942289	0.00263414	 0.00272504
-1.6	-1.2	30	50	0.959292	0.0024716	 0.00254939
-1.2	-0.8	30	50	0.795442	0.00456237	 0.00455974
-0.8	-0.3	30	50	0.963926	0.00167714	 0.00173117
-0.3	0.3	30	50	0.888044	0.00274408	 0.00266061
0.3	0.8	30	50	0.961929	0.00189266	 0.00193169
0.8	1.2	30	50	0.77916	0.00463846	 0.00464754
1.2	1.6	30	50	0.946518	0.00276106	 0.00280968
1.6	2.1	30	50	0.939955	0.00269659	 0.00277301
2.1	2.4	30	50	0.86994	0.00572884	 0.00587281
-2.4	-2.1	50	200	0.919802	0.011005	 0.0115699
-2.1	-1.6	50	200	0.941922	0.00565997	 0.00603643
-1.6	-1.2	50	200	0.961678	0.00524543	 0.00559623
-1.2	-0.8	50	200	0.764806	0.0102023	 0.0101236
-0.8	-0.3	50	200	0.955762	0.00392839	 0.00418525
-0.3	0.3	50	200	0.886731	0.00598895	 0.00615594
0.3	0.8	50	200	0.956477	0.00403566	 0.00406101
0.8	1.2	50	200	0.765547	0.0104324	 0.0105356
1.2	1.6	50	200	0.946855	0.00583466	 0.00769956
1.6	2.1	50	200	0.927734	0.00639821	 0.00671838
2.1	2.4	50	200	0.900288	0.0126418	 0.0131265
