etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	11	0.947824	0.0197651	 0.0231146
-2.1	-1.6	10	11	0.90104	0.0169432	 0.0189293
-1.6	-1.2	10	11	0.990016	0.00846844	 0.00918755
-1.2	-0.8	10	11	0.951951	0.0151904	 0.0188796
-0.8	-0.3	10	11	0.982299	0.00973282	 0.0153974
-0.3	-0.2	10	11	0.857148	0.0760457	 0.109241
-0.2	0	10	11	0.971502	0.0284983	 0.0375661
0	0.2	10	11	1	1.19777e-07	 0.040559
0.2	0.3	10	11	0.730574	0.144941	 0.328691
0.3	0.8	10	11	1	0	 0.015405
0.8	1.2	10	11	0.96777	0.018548	 0.0226121
1.2	1.6	10	11	1	0	 0.00868862
1.6	2.1	10	11	0.959194	0.0130838	 0.0151635
2.1	2.4	10	11	0.944516	0.0170039	 0.0212274
-2.4	-2.1	11	12	0.943083	0.015986	 0.0194334
-2.1	-1.6	11	12	0.933082	0.0127888	 0.0144674
-1.6	-1.2	11	12	0.992393	0.00743505	 0.0104948
-1.2	-0.8	11	12	0.947957	0.0146983	 0.017578
-0.8	-0.3	11	12	1	0	 0.0133007
-0.3	-0.2	11	12	0.715021	0.0913954	 0.111138
-0.2	0	11	12	0.968706	0.0312941	 0.0421738
0	0.2	11	12	1	0	 0.0441472
0.2	0.3	11	12	0.802232	0.0903248	 0.125153
0.3	0.8	11	12	0.971956	0.0119419	 0.0163853
0.8	1.2	11	12	0.958548	0.012227	 0.0152049
1.2	1.6	11	12	0.988329	0.0054911	 0.0080176
1.6	2.1	11	12	0.955389	0.0108402	 0.0121667
2.1	2.4	11	12	0.910146	0.0199597	 0.0230659
-2.4	-2.1	12	13	0.941736	8.40578e-05	 8.40578e-05
-2.1	-1.6	12	13	0.943401	0.0109211	 0.0125021
-1.6	-1.2	12	13	0.984421	0.00619511	 0.00796369
-1.2	-0.8	12	13	0.966688	0.0115512	 0.0130594
-0.8	-0.3	12	13	0.988582	0.00627745	 0.00997136
-0.3	-0.2	12	13	0.847965	0.0648927	 0.0781929
-0.2	0	12	13	0.978625	0.0148954	 0.0287149
0	0.2	12	13	0.961017	0.0212899	 0.0334358
0.2	0.3	12	13	0.96679	0.0332103	 0.043251
0.3	0.8	12	13	0.966826	0.0117502	 0.0152359
0.8	1.2	12	13	0.963134	0.0103535	 0.0126637
1.2	1.6	12	13	0.966439	0.00905765	 0.0109755
1.6	2.1	12	13	0.943679	0.0114421	 0.0127373
2.1	2.4	12	13	0.95694	0.0126069	 0.0155199
-2.4	-2.1	13	14	0.954301	0.0141424	 0.0161611
-2.1	-1.6	13	14	0.95495	0.00848461	 0.00988158
-1.6	-1.2	13	14	0.99289	0.00436915	 0.00618755
-1.2	-0.8	13	14	0.94769	0.0115839	 0.0135802
-0.8	-0.3	13	14	0.991578	0.00464373	 0.00739239
-0.3	-0.2	13	14	0.753543	0.0913928	 0.0905696
-0.2	0	13	14	0.960989	0.0182284	 0.0264233
0	0.2	13	14	1	1.11371e-08	 0.0119957
0.2	0.3	13	14	0.890096	0.0454601	 0.0596041
0.3	0.8	13	14	0.987185	0.00783084	 0.0109469
0.8	1.2	13	14	0.962483	0.0104083	 0.0121435
1.2	1.6	13	14	0.975119	0.0067612	 0.00825433
1.6	2.1	13	14	0.928228	0.0113363	 0.0125069
2.1	2.4	13	14	0.957673	0.0110625	 0.0133241
-2.4	-2.1	14	15	0.941498	0.013003	 0.015135
-2.1	-1.6	14	15	0.949985	0.00971604	 0.00958556
-1.6	-1.2	14	15	0.987227	0.00493052	 0.00604789
-1.2	-0.8	14	15	0.960607	0.00930897	 0.0110026
-0.8	-0.3	14	15	0.989185	0.00455189	 0.00653593
-0.3	-0.2	14	15	0.853802	0.0542681	 0.0661662
-0.2	0	14	15	0.984459	0.0155415	 0.0255639
0	0.2	14	15	0.966593	0.0202128	 0.0239041
0.2	0.3	14	15	0.853776	0.0715575	 0.0608366
0.3	0.8	14	15	0.975747	0.00753539	 0.00945329
0.8	1.2	14	15	0.9602	0.011121	 0.0126382
1.2	1.6	14	15	0.994684	0.00442566	 0.00657444
1.6	2.1	14	15	0.954715	0.00820543	 0.00924672
2.1	2.4	14	15	0.962264	0.010149	 0.0122885
-2.4	-2.1	15	16	0.951625	0.0106113	 0.0123495
-2.1	-1.6	15	16	0.945696	0.00974124	 0.0104078
-1.6	-1.2	15	16	0.988951	0.00460345	 0.00592932
-1.2	-0.8	15	16	0.982391	0.00520029	 0.00646903
-0.8	-0.3	15	16	0.983433	0.0103187	 0.0128131
-0.3	-0.2	15	16	0.892801	0.0604592	 0.068831
-0.2	0	15	16	0.982102	0.00984295	 0.0156666
0	0.2	15	16	0.943113	0.0198067	 0.025393
0.2	0.3	15	16	0.899946	0.0322982	 0.0409687
0.3	0.8	15	16	0.99158	0.00354495	 0.00493171
0.8	1.2	15	16	0.961997	0.0103421	 0.0114431
1.2	1.6	15	16	0.992513	0.003144	 0.00438133
1.6	2.1	15	16	0.953456	0.00769279	 0.00863972
2.1	2.4	15	16	0.950323	0.0125113	 0.0135825
-2.4	-2.1	16	17	0.957123	0.0110785	 0.0117129
-2.1	-1.6	16	17	0.954058	0.00911708	 0.0103911
-1.6	-1.2	16	17	0.992779	0.0032689	 0.00389361
-1.2	-0.8	16	17	0.961159	0.00749416	 0.00854124
-0.8	-0.3	16	17	0.985376	0.0045606	 0.00573333
-0.3	-0.2	16	17	0.856257	0.0372362	 0.0440313
-0.2	0	16	17	0.993081	0.0048279	 0.00934289
0	0.2	16	17	0.969139	0.0117162	 0.0155571
0.2	0.3	16	17	0.859689	0.0358364	 0.0408391
0.3	0.8	16	17	0.97389	0.00611479	 0.00724132
0.8	1.2	16	17	0.962921	0.00878745	 0.00963848
1.2	1.6	16	17	0.97796	0.00600985	 0.00614066
1.6	2.1	16	17	0.954362	0.00688402	 0.00762225
2.1	2.4	16	17	0.954603	0.00959102	 0.0110414
-2.4	-2.1	17	18	0.957023	0.00991704	 0.01115
-2.1	-1.6	17	18	0.933523	0.00802807	 0.00870899
-1.6	-1.2	17	18	0.992748	0.00256879	 0.00335503
-1.2	-0.8	17	18	0.970338	0.00570545	 0.00653383
-0.8	-0.3	17	18	0.983329	0.00417981	 0.00501707
-0.3	-0.2	17	18	0.832166	0.0378847	 0.043457
-0.2	0	17	18	0.974611	0.00969523	 0.0131046
0	0.2	17	18	0.98027	0.00826053	 0.0114564
0.2	0.3	17	18	0.843331	0.037348	 0.0425053
0.3	0.8	17	18	0.989067	0.00476741	 0.00548471
0.8	1.2	17	18	0.962374	0.00754178	 0.00812296
1.2	1.6	17	18	0.985694	0.00450414	 0.00517742
1.6	2.1	17	18	0.95594	0.00715908	 0.00713069
2.1	2.4	17	18	0.948466	0.0155986	 0.0110114
-2.4	-2.1	18	19	0.957998	0.00865827	 0.00936153
-2.1	-1.6	18	19	0.936608	0.00711518	 0.00762166
-1.6	-1.2	18	19	0.990963	0.00267919	 0.00333475
-1.2	-0.8	18	19	0.960085	0.00614218	 0.00679901
-0.8	-0.3	18	19	0.980785	0.00494881	 0.00566818
-0.3	-0.2	18	19	0.897096	0.0242861	 0.0284243
-0.2	0	18	19	0.961222	0.0114519	 0.0142733
0	0.2	18	19	0.981911	0.0087195	 0.0114149
0.2	0.3	18	19	0.877741	0.0295281	 0.0335563
0.3	0.8	18	19	0.969656	0.00540172	 0.00598402
0.8	1.2	18	19	0.956768	0.00686057	 0.00746527
1.2	1.6	18	19	0.983987	0.0046676	 0.00526721
1.6	2.1	18	19	0.961646	0.00624203	 0.00669871
2.1	2.4	18	19	0.9348	0.0129224	 0.0122929
-2.4	-2.1	19	20	0.949997	0.00808655	 0.00902749
-2.1	-1.6	19	20	0.960403	0.00608439	 0.00649039
-1.6	-1.2	19	20	0.988621	0.00286557	 0.00343517
-1.2	-0.8	19	20	0.963006	0.00544159	 0.00604664
-0.8	-0.3	19	20	0.976481	0.00510842	 0.00527274
-0.3	-0.2	19	20	0.858796	0.0282337	 0.0295666
-0.2	0	19	20	0.988241	0.00492973	 0.00684249
0	0.2	19	20	0.963693	0.0139252	 0.0166757
0.2	0.3	19	20	0.883962	0.0229847	 0.02622
0.3	0.8	19	20	0.980258	0.00407899	 0.00456807
0.8	1.2	19	20	0.959759	0.00658282	 0.00667467
1.2	1.6	19	20	0.983304	0.00406976	 0.00463719
1.6	2.1	19	20	0.956342	0.00555081	 0.00609698
2.1	2.4	19	20	0.97275	0.00618714	 0.00845445
-2.4	-2.1	20	21	0.961321	0.00899379	 0.010004
-2.1	-1.6	20	21	0.958222	0.00502662	 0.0054477
-1.6	-1.2	20	21	0.984477	0.00344517	 0.00396571
-1.2	-0.8	20	21	0.964352	0.00575676	 0.00611931
-0.8	-0.3	20	21	0.987893	0.00271003	 0.00315105
-0.3	-0.2	20	21	0.88889	0.0220656	 0.024258
-0.2	0	20	21	0.975273	0.00762206	 0.00915642
0	0.2	20	21	0.976016	0.00718779	 0.00928488
