etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	12	0.90891	0.0440967	 0.0201533
-2.1	-1.6	10	12	0.891172	0.0150618	 0.0164358
-1.6	-1.2	10	12	0.979409	0.00937271	 0.011416
-1.2	-0.8	10	12	0.959497	0.0114573	 0.0139601
-0.8	-0.3	10	12	0.959226	0.0143163	 0.0188682
-0.3	-0.2	10	12	0.62502	0.114087	 0.124354
-0.2	0.2	10	12	0.968597	0.0147017	 0.0211932
0.2	0.3	10	12	0.86669	0.0611832	 0.0852042
0.3	0.8	10	12	0.958541	0.0147412	 0.0193518
0.8	1.2	10	12	0.961571	0.01387	 0.0168378
1.2	1.6	10	12	0.98093	0.00763854	 0.00960029
1.6	2.1	10	12	0.90584	0.0142682	 0.014757
2.1	2.4	10	12	0.917533	0.0175347	 0.0200403
-2.4	-2.1	12	14	0.927254	0.0203858	 0.0220584
-2.1	-1.6	12	14	0.922354	0.0114176	 0.0124585
-1.6	-1.2	12	14	0.975432	0.00753013	 0.00840548
-1.2	-0.8	12	14	0.944021	0.0114341	 0.0131253
-0.8	-0.3	12	14	0.975644	0.00803706	 0.0102801
-0.3	-0.2	12	14	0.840348	0.0594494	 0.0770673
-0.2	0.2	12	14	0.933829	0.0178445	 0.0215679
0.2	0.3	12	14	0.833397	0.052217	 0.0627888
0.3	0.8	12	14	0.965927	0.0100644	 0.0124508
0.8	1.2	12	14	0.953541	0.0123954	 0.0138949
1.2	1.6	12	14	0.975715	0.00654125	 0.0080187
1.6	2.1	12	14	0.898718	0.0129833	 0.01403
2.1	2.4	12	14	0.905806	0.0177325	 0.0189178
-2.4	-2.1	14	16	0.938939	0.0109429	 0.0124852
-2.1	-1.6	14	16	0.922685	0.00908024	 0.00978128
-1.6	-1.2	14	16	0.973776	0.00595952	 0.00701176
-1.2	-0.8	14	16	0.953279	0.00936518	 0.0104163
-0.8	-0.3	14	16	0.971638	0.00924207	 0.0108753
-0.3	-0.2	14	16	0.790145	0.0473598	 0.0537755
-0.2	0.2	14	16	0.950608	0.0142084	 0.0154664
0.2	0.3	14	16	0.792355	0.0498117	 0.0568576
0.3	0.8	14	16	0.98055	0.00552671	 0.00681763
0.8	1.2	14	16	0.94233	0.0100185	 0.0111173
1.2	1.6	14	16	0.970253	0.00790343	 0.00890481
1.6	2.1	14	16	0.911586	0.00995657	 0.010681
2.1	2.4	14	16	0.926474	0.0145961	 0.0153073
-2.4	-2.1	16	18	0.915635	0.0136735	 0.0148917
-2.1	-1.6	16	18	0.902848	0.00927908	 0.00985102
-1.6	-1.2	16	18	0.980455	0.00622443	 0.00605313
-1.2	-0.8	16	18	0.934478	0.00920463	 0.00977052
-0.8	-0.3	16	18	0.969658	0.00589305	 0.00673648
-0.3	-0.2	16	18	0.868417	0.041346	 0.0570555
-0.2	0.2	16	18	0.950322	0.0100075	 0.0112807
0.2	0.3	16	18	0.840044	0.0328641	 0.0381608
0.3	0.8	16	18	0.966303	0.00617647	 0.0070419
0.8	1.2	16	18	0.932588	0.00998598	 0.0107366
1.2	1.6	16	18	0.980678	0.00456732	 0.00530567
1.6	2.1	16	18	0.937308	0.00895372	 0.00956118
2.1	2.4	16	18	0.909343	0.011519	 0.0124803
-2.4	-2.1	18	20	0.918322	0.0104283	 0.0110045
-2.1	-1.6	18	20	0.910581	0.00830319	 0.00836876
-1.6	-1.2	18	20	0.984571	0.00339447	 0.0039975
-1.2	-0.8	18	20	0.932152	0.00728801	 0.00782146
-0.8	-0.3	18	20	0.975994	0.00415407	 0.00469039
-0.3	-0.2	18	20	0.858245	0.0293397	 0.0315284
-0.2	0.2	18	20	0.949572	0.00961728	 0.0104232
0.2	0.3	18	20	0.867283	0.0278791	 0.0291376
0.3	0.8	18	20	0.967142	0.00488349	 0.00547051
0.8	1.2	18	20	0.940694	0.00840002	 0.00905614
