etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	12	0.914464	0.0449173	 0.0198331
-2.1	-1.6	10	12	0.892302	0.0152088	 0.0165609
-1.6	-1.2	10	12	0.979328	0.00952604	 0.0115812
-1.2	-0.8	10	12	0.962066	0.0111969	 0.0138029
-0.8	-0.3	10	12	0.958372	0.0146006	 0.0191791
-0.3	-0.2	10	12	0.62502	0.114087	 0.124354
-0.2	0.2	10	12	0.968083	0.0149374	 0.0215299
0.2	0.3	10	12	0.86669	0.0611832	 0.0852042
0.3	0.8	10	12	0.958472	0.0147759	 0.0193363
0.8	1.2	10	12	0.960815	0.014146	 0.0171965
1.2	1.6	10	12	0.983096	0.00680158	 0.00902925
1.6	2.1	10	12	0.9058	0.0135439	 0.0148217
2.1	2.4	10	12	0.916819	0.0182533	 0.020868
-2.4	-2.1	12	14	0.932129	0.0198794	 0.0219295
-2.1	-1.6	12	14	0.926657	0.0113671	 0.0124397
-1.6	-1.2	12	14	0.975197	0.00761162	 0.00845429
-1.2	-0.8	12	14	0.946209	0.0112242	 0.013014
-0.8	-0.3	12	14	0.975471	0.00809136	 0.0103642
-0.3	-0.2	12	14	0.840348	0.0594494	 0.0770673
-0.2	0.2	12	14	0.938952	0.0171861	 0.0210899
0.2	0.3	12	14	0.833397	0.052217	 0.0627888
0.3	0.8	12	14	0.965726	0.0101224	 0.0124521
0.8	1.2	12	14	0.95336	0.0139595	 0.0161729
1.2	1.6	12	14	0.977243	0.0064102	 0.0078829
1.6	2.1	12	14	0.904605	0.0125083	 0.0137297
2.1	2.4	12	14	0.922	0.0175234	 0.0190203
-2.4	-2.1	14	16	0.941747	0.0108909	 0.0123344
-2.1	-1.6	14	16	0.925325	0.0090199	 0.00972549
-1.6	-1.2	14	16	0.973607	0.00773549	 0.00705445
-1.2	-0.8	14	16	0.953151	0.00939143	 0.0104441
-0.8	-0.3	14	16	0.968758	0.00735475	 0.00870873
-0.3	-0.2	14	16	0.790145	0.0473598	 0.0537755
