etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	12	0.88856	0.0168777	 0.0183075
-2.1	-1.6	10	12	0.92368	0.0116987	 0.0126856
-1.6	-1.2	10	12	0.948433	0.0102422	 0.0109148
-1.2	-0.8	10	12	0.927099	0.0155099	 0.0171532
-0.8	-0.3	10	12	0.926737	0.0188092	 0.0216476
-0.3	-0.2	10	12	0.722069	0.0937263	 0.0946185
-0.2	0.2	10	12	0.91477	0.0263418	 0.0294703
0.2	0.3	10	12	0.845641	0.0566519	 0.0723304
0.3	0.8	10	12	0.946807	0.0129038	 0.0155016
0.8	1.2	10	12	0.904985	0.0164998	 0.0162139
1.2	1.6	10	12	0.961687	0.00988723	 0.011121
1.6	2.1	10	12	0.933303	0.00920583	 0.00998899
2.1	2.4	10	12	0.896308	0.0183947	 0.0198302
-2.4	-2.1	12	14	0.913529	0.0136713	 0.0125521
-2.1	-1.6	12	14	0.942508	0.00886753	 0.0095617
-1.6	-1.2	12	14	0.964744	0.00672758	 0.00747102
-1.2	-0.8	12	14	0.930418	0.010478	 0.0114237
-0.8	-0.3	12	14	0.94974	0.0113573	 0.0113237
-0.3	-0.2	12	14	0.828187	0.0533533	 0.0642596
-0.2	0.2	12	14	0.957591	0.0118808	 0.0145237
0.2	0.3	12	14	0.673433	0.0619506	 0.0665752
0.3	0.8	12	14	0.945278	0.00959411	 0.0108261
0.8	1.2	12	14	0.931974	0.011122	 0.0113753
1.2	1.6	12	14	0.94567	0.0091255	 0.00990015
1.6	2.1	12	14	0.942865	0.00734774	 0.00808262
2.1	2.4	12	14	0.906054	0.0130885	 0.0140826
-2.4	-2.1	14	16	0.896076	0.011089	 0.011799
-2.1	-1.6	14	16	0.923478	0.00831524	 0.00867008
-1.6	-1.2	14	16	0.969704	0.0061034	 0.00679145
-1.2	-0.8	14	16	0.921044	0.00897266	 0.00955567
-0.8	-0.3	14	16	0.938114	0.00899422	 0.00899422
-0.3	-0.2	14	16	0.760933	0.0406222	 0.0430064
-0.2	0.2	14	16	0.923286	0.0179232	 0.0149604
0.2	0.3	14	16	0.810519	0.0415801	 0.0412224
0.3	0.8	14	16	0.960999	0.00701313	 0.00795898
0.8	1.2	14	16	0.926235	0.00874186	 0.00946099
1.2	1.6	14	16	0.946905	0.00750395	 0.00807539
1.6	2.1	14	16	0.933099	0.0083916	 0.00891644
2.1	2.4	14	16	0.915136	0.0119369	 0.0127677
-2.4	-2.1	16	18	0.904002	0.00984646	 0.0105387
-2.1	-1.6	16	18	0.93092	0.0061423	 0.00655477
-1.6	-1.2	16	18	0.95933	0.00567835	 0.00611001
-1.2	-0.8	16	18	0.929094	0.00778509	 0.00798248
-0.8	-0.3	16	18	0.953194	0.00587099	 0.00639585
-0.3	-0.2	16	18	0.690077	0.0340748	 0.0361359
-0.2	0.2	16	18	0.918576	0.0121759	 0.0151453
0.2	0.3	16	18	0.703538	0.040015	 0.0395947
0.3	0.8	16	18	0.922795	0.00733548	 0.00781876
0.8	1.2	16	18	0.921416	0.00742997	 0.00788867
1.2	1.6	16	18	0.958849	0.00540622	 0.00590392
1.6	2.1	16	18	0.925614	0.00607648	 0.00638559
2.1	2.4	16	18	0.894601	0.0109742	 0.0122406
-2.4	-2.1	18	20	0.907757	0.00903512	 0.00901576
-2.1	-1.6	18	20	0.926054	0.00618858	 0.00649741
-1.6	-1.2	18	20	0.962841	-0	 -0
-1.2	-0.8	18	20	0.928108	0.00614461	 0.0065218
-0.8	-0.3	18	20	0.950894	0.00519977	 0.00544173
-0.3	-0.2	18	20	0.735693	0.028214	 0.0289442
-0.2	0.2	18	20	0.930827	0.00987463	 0.00925739
0.2	0.3	18	20	0.753386	0.025478	 0.0276036
0.3	0.8	18	20	0.954538	0.00495208	 0.00525522
0.8	1.2	18	20	0.924896	0.00710471	 0.00733692
1.2	1.6	18	20	0.961231	0.00487123	 0.00524185
1.6	2.1	18	20	0.934565	0.00566905	 0.00589325
2.1	2.4	18	20	0.914938	0.00850712	 0.00963958
-2.4	-2.1	20	25	0.916834	0.00431687	 0.00443703
-2.1	-1.6	20	25	0.930965	0.00329854	 0.00309505
-1.6	-1.2	20	25	0.962768	0.00219151	 0.00227896
-1.2	-0.8	20	25	0.928965	0.00325984	 0.00326874
-0.8	-0.3	20	25	0.95866	0.00227875	 0.00235649
-0.3	-0.2	20	25	0.730754	0.0114992	 0.0116675
-0.2	0.2	20	25	0.934493	0.00316535	 0.00325308
0.2	0.3	20	25	0.775742	0.0112395	 0.0113157
0.3	0.8	20	25	0.951664	0.00254642	 0.00260111
0.8	1.2	20	25	0.930207	0.00327193	 0.00331542
1.2	1.6	20	25	0.956689	0.00274318	 0.00346985
