etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	12	0.894394	0.0194251	 0.0213062
-2.1	-1.6	10	12	0.923969	0.0117576	 0.0151311
-1.6	-1.2	10	12	0.947891	0.00981711	 0.0111427
-1.2	-0.8	10	12	0.930511	0.0151641	 0.0164836
-0.8	-0.3	10	12	0.929029	0.0174737	 0.0201347
-0.3	-0.2	10	12	0.722069	0.0937263	 0.0946185
-0.2	0.2	10	12	0.913805	0.0243494	 0.0296822
0.2	0.3	10	12	0.839832	0.058852	 0.0748235
0.3	0.8	10	12	0.948391	0.0129128	 0.0154442
0.8	1.2	10	12	0.905755	0.015863	 0.016361
1.2	1.6	10	12	0.959974	0.00944291	 0.0105242
1.6	2.1	10	12	0.936915	0.00904233	 0.00986389
2.1	2.4	10	12	0.896186	0.0198486	 0.0198486
-2.4	-2.1	12	14	0.912165	0.01344	 0.0143407
-2.1	-1.6	12	14	0.941929	0.00897952	 0.00972202
-1.6	-1.2	12	14	0.967106	0.00673826	 0.00728659
-1.2	-0.8	12	14	0.935772	0.0102742	 0.0112519
-0.8	-0.3	12	14	0.954836	0.011096	 0.0119762
-0.3	-0.2	12	14	0.82484	0.0540593	 0.0654594
-0.2	0.2	12	14	0.958277	0.0138521	 0.0162159
0.2	0.3	12	14	0.673433	0.0619506	 0.0665752
0.3	0.8	12	14	0.944538	0.0097119	 0.0109674
0.8	1.2	12	14	0.939161	0.0098937	 0.0107627
1.2	1.6	12	14	0.94668	0.00902701	 0.00984995
1.6	2.1	12	14	0.943549	0.00809587	 0.00871001
2.1	2.4	12	14	0.903833	0.0134173	 0.0144447
-2.4	-2.1	14	16	0.898212	0.0113137	 0.0120964
-2.1	-1.6	14	16	0.923559	0.00825697	 0.00869975
-1.6	-1.2	14	16	0.971939	0.00598711	 0.00666304
-1.2	-0.8	14	16	0.921191	0.00895985	 0.00966223
-0.8	-0.3	14	16	0.939952	0.00836416	 0.00896595
-0.3	-0.2	14	16	0.755023	0.0406901	 0.0431422
-0.2	0.2	14	16	0.924631	0.0182743	 0.0190113
0.2	0.3	14	16	0.818372	0.00241857	 0.00241857
0.3	0.8	14	16	0.962269	0.00691502	 0.0078646
0.8	1.2	14	16	0.925528	0.00881497	 0.00952914
1.2	1.6	14	16	0.94818	0.00733244	 0.00796811
1.6	2.1	14	16	0.933456	0.00843927	 0.00901687
2.1	2.4	14	16	0.91505	0.0123825	 0.013269
-2.4	-2.1	16	18	0.907418	0.0100224	 0.0108489
-2.1	-1.6	16	18	0.932009	0.00616934	 0.00655659
-1.6	-1.2	16	18	0.959394	0.00567329	 0.00605032
-1.2	-0.8	16	18	0.927859	0.00795934	 0.00814752
-0.8	-0.3	16	18	0.953479	0.00587759	 0.00643702
-0.3	-0.2	16	18	0.693787	0.034073	 0.0360671
-0.2	0.2	16	18	0.917708	0.0122776	 0.0151892
0.2	0.3	16	18	0.717077	0.0389981	 0.0421906
0.3	0.8	16	18	0.923046	0.00738878	 0.00788274
0.8	1.2	16	18	0.920965	0.00749518	 0.00796624
1.2	1.6	16	18	0.959889	0.0053781	 0.00586178
1.6	2.1	16	18	0.926342	0.00609194	 0.00639491
2.1	2.4	16	18	0.89789	0.0110762	 0.0116445
-2.4	-2.1	18	20	0.910075	0.0100628	 0.00884097
-2.1	-1.6	18	20	0.926691	0.00619174	 0.00651078
-1.6	-1.2	18	20	0.962989	0.00480995	 0.00478502
-1.2	-0.8	18	20	0.927334	0.00621527	 0.00658299
-0.8	-0.3	18	20	0.951424	0.00519836	 0.0054479
-0.3	-0.2	18	20	0.73951	0.028436	 0.0290825
-0.2	0.2	18	20	0.931151	0.00873854	 0.00892813
0.2	0.3	18	20	0.753434	0.0250371	 0.027096
0.3	0.8	18	20	0.955633	0.00486722	 0.0051699
0.8	1.2	18	20	0.924726	0.00662202	 0.00647316
1.2	1.6	18	20	0.961032	0.0049125	 0.00524916
1.6	2.1	18	20	0.934213	0.00567366	 0.00588695
2.1	2.4	18	20	0.916545	0.00861113	 0.00904854
-2.4	-2.1	20	25	0.917752	0.00452659	 0.00454674
-2.1	-1.6	20	25	0.93137	0.00324698	 0.00323702
-1.6	-1.2	20	25	0.963629	0.00217035	 0.00225747
-1.2	-0.8	20	25	0.928985	0.0032712	 0.00329133
-0.8	-0.3	20	25	0.959199	0.00227573	 0.00231474
-0.3	-0.2	20	25	0.727472	0.0115733	 0.0117838
-0.2	0.2	20	25	0.935141	0.00316627	 0.00327267
0.2	0.3	20	25	0.77807	0.011279	 0.0112956
0.3	0.8	20	25	0.951915	0.0025711	 0.00260262
0.8	1.2	20	25	0.930281	0.00327276	 0.00332297
1.2	1.6	20	25	0.955822	0.00315907	 0.00259775
1.6	2.1	20	25	0.937114	0.00290114	 0.00291094
2.1	2.4	20	25	0.918251	0.00480137	 0.00579549
-2.4	-2.1	25	30	0.92997	0.00357472	 0.00366264
-2.1	-1.6	25	30	0.929653	0.00230784	 0.00235293
-1.6	-1.2	25	30	0.961107	0.00206768	 0.00213348
-1.2	-0.8	25	30	0.93183	0.00264505	 0.0026264
-0.8	-0.3	25	30	0.955683	0.00173216	 0.00174233
-0.3	-0.2	25	30	0.764288	0.00739215	 0.00749948
-0.2	0.2	25	30	0.939368	0.00216725	 0.00211884
0.2	0.3	25	30	0.762467	0.00739485	 0.00746636
0.3	0.8	25	30	0.954996	0.00162462	 0.00165897
0.8	1.2	25	30	0.926141	0.00261195	 0.00263619
1.2	1.6	25	30	0.9544	0.00216414	 0.00217847
1.6	2.1	25	30	0.932761	0.00226572	 0.00230736
2.1	2.4	25	30	0.919398	0.00393721	 0.0039937
-2.4	-2.1	30	35	0.930869	0.00316741	 0.00301516
-2.1	-1.6	30	35	0.931749	0.00204696	 0.00205169
-1.6	-1.2	30	35	0.96013	0.00170032	 0.00171826
-1.2	-0.8	30	35	0.929058	0.00208837	 0.00203876
-0.8	-0.3	30	35	0.955801	0.00130607	 0.00131401
-0.3	-0.2	30	35	0.748766	0.00610248	 0.00614547
-0.2	0.2	30	35	0.936835	0.00167611	 0.00166741
0.2	0.3	30	35	0.770781	0.0057981	 0.00583083
0.3	0.8	30	35	0.954443	0.00126016	 0.00127952
0.8	1.2	30	35	0.929198	0.00204984	 0.00205849
1.2	1.6	30	35	0.953225	0.00182924	 0.00182831
1.6	2.1	30	35	0.934086	0.00198003	 0.00198028
2.1	2.4	30	35	0.925808	0.00315061	 0.00317495
-2.4	-2.1	35	40	0.932376	0.00251804	 0.00253806
-2.1	-1.6	35	40	0.933673	0.0017699	 0.00176818
-1.6	-1.2	35	40	0.958054	0.00135542	 0.00137459
-1.2	-0.8	35	40	0.925607	0.000494944	 0.000494944
-0.8	-0.3	35	40	0.954101	0.00106641	 0.00107359
-0.3	-0.2	35	40	0.761291	0.00497138	 0.00500925
-0.2	0.2	35	40	0.93799	0.00142417	 0.00141393
0.2	0.3	35	40	0.773101	0.00502426	 0.00490485
0.3	0.8	35	40	0.956105	0.00109837	 0.00108213
0.8	1.2	35	40	0.925557	0.00164508	 0.00165822
1.2	1.6	35	40	0.954612	0.00142126	 0.00142596
1.6	2.1	35	40	0.93513	0.00170843	 0.00170225
2.1	2.4	35	40	0.927696	-0	 -0
-2.4	-2.1	40	60	0.933406	0.00172362	 0.00173109
-2.1	-1.6	40	60	0.933007	0.00106338	 0.00106307
-1.6	-1.2	40	60	0.950722	0.000905866	 0.000908997
-1.2	-0.8	40	60	0.927216	0.00100489	 0.000859342
-0.8	-0.3	40	60	0.955104	0.000708306	 0.000709535
-0.3	-0.2	40	60	0.752971	0.00322328	 0.00321255
-0.2	0.2	40	60	0.938454	0.000910662	 0.000907833
0.2	0.3	40	60	0.768899	0.00324785	 0.00325632
0.3	0.8	40	60	0.954072	0.000710443	 0.000702518
