etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	12	0.90095	0.0232386	 0.0270284
-2.1	-1.6	10	12	0.952971	0.0143376	 0.0165717
-1.6	-1.2	10	12	0.940154	0.0159492	 0.0192434
-1.2	-0.8	10	12	0.785806	0.0356692	 0.0393058
-0.8	-0.3	10	12	0.993801	0.00619879	 0.0142235
-0.3	-0.2	10	12	0.877743	0.122257	 0.352053
-0.2	0.2	10	12	0.832672	0.0544973	 0.0632153
0.2	0.3	10	12	0.806401	0.103738	 0.152832
0.3	0.8	10	12	0.930522	0.0248923	 0.0319375
0.8	1.2	10	12	0.815115	0.0301292	 0.032925
1.2	1.6	10	12	0.928104	0.017158	 0.0200308
1.6	2.1	10	12	0.959614	0.0142539	 0.0181367
2.1	2.4	10	12	0.904938	0.0279742	 0.0325797
-2.4	-2.1	12	14	0.930899	0.0180883	 0.0180883
-2.1	-1.6	12	14	0.935344	0.0141223	 0.0158974
-1.6	-1.2	12	14	0.966495	0.011945	 0.0142845
-1.2	-0.8	12	14	0.813306	0.0289326	 0.0298977
-0.8	-0.3	12	14	0.95306	0.0145817	 0.0182119
-0.3	-0.2	12	14	0.813114	0.0680076	 0.080901
-0.2	0.2	12	14	0.923146	0.0428198	 0.0312195
0.2	0.3	12	14	0.68974	0.103949	 0.142611
0.3	0.8	12	14	0.934673	0.015466	 0.018359
0.8	1.2	12	14	0.769704	0.0338499	 0.0354704
1.2	1.6	12	14	0.94073	0.0133004	 0.0154548
1.6	2.1	12	14	0.940884	0.0123427	 0.0136986
2.1	2.4	12	14	0.952214	0.0167051	 0.0174932
-2.4	-2.1	14	16	0.914541	0.0162306	 0.0183709
-2.1	-1.6	14	16	0.954383	0.00943998	 0.010639
-1.6	-1.2	14	16	0.944672	0.0110486	 0.0127026
-1.2	-0.8	14	16	0.785092	0.0222378	 0.0232581
-0.8	-0.3	14	16	0.944206	0.0149432	 0.0160823
-0.3	-0.2	14	16	0.755562	0.0808029	 0.0885338
-0.2	0.2	14	16	0.929275	0.0196111	 0.021112
0.2	0.3	14	16	0.767821	0.0533672	 0.0600031
0.3	0.8	14	16	0.94239	0.0122992	 0.014345
0.8	1.2	14	16	0.799214	0.0230593	 0.0240248
1.2	1.6	14	16	0.945204	0.0107146	 0.0122849
1.6	2.1	14	16	0.925219	0.0115504	 0.0129913
2.1	2.4	14	16	0.925985	0.0148477	 0.0170549
-2.4	-2.1	16	18	0.942832	0.013591	 0.015354
-2.1	-1.6	16	18	0.950895	0.00899491	 0.00998522
