etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	14	0.929264	0.0266343	 0.0351822
-2.1	-1.6	10	14	0.921708	0.0218167	 0.0265428
-1.6	-1.2	10	14	0.980014	0.0199865	 0.0246191
-1.2	-0.8	10	14	0.876949	0.0410308	 0.0496211
-0.8	-0.3	10	14	1	2.62457e-13	 0.00879073
-0.3	0.3	10	14	0.886612	0.0541311	 0.0652388
0.3	0.8	10	14	0.89448	0.0386813	 0.0483739
0.8	1.2	10	14	0.751198	0.0449288	 0.0491059
1.2	1.6	10	14	0.93118	0.0222641	 0.0280404
1.6	2.1	10	14	0.926755	0.0230971	 0.0280008
2.1	2.4	10	14	0.939687	0.0248997	 0.0337105
-2.4	-2.1	14	17	0.900058	0.0286894	 0.0344754
-2.1	-1.6	14	17	0.956148	0.0242321	 0.0198652
-1.6	-1.2	14	17	0.975903	0.0113182	 0.0163949
-1.2	-0.8	14	17	0.741392	0.0413168	 0.0427758
-0.8	-0.3	14	17	0.980939	0.0136639	 0.0203971
-0.3	0.3	14	17	0.92784	0.0271749	 0.033264
0.3	0.8	14	17	0.911647	0.0245592	 0.0297918
0.8	1.2	14	17	0.849348	0.0330495	 0.0371345
1.2	1.6	14	17	0.958025	0.0146995	 0.0189248
1.6	2.1	14	17	0.915008	0.0260643	 0.0274778
2.1	2.4	14	17	0.954069	0.0190646	 0.0260706
-2.4	-2.1	17	20	0.896975	0.0272231	 0.0310189
-2.1	-1.6	17	20	0.924776	0.0162989	 0.018798
-1.6	-1.2	17	20	0.941434	0.01569	 0.0189604
-1.2	-0.8	17	20	0.832546	0.0259865	 0.0284447
-0.8	-0.3	17	20	0.987921	0.0090557	 0.011658
-0.3	0.3	17	20	0.897691	0.0226435	 0.0249926
0.3	0.8	17	20	0.964911	0.0123014	 0.0150397
0.8	1.2	17	20	0.783949	0.0298321	 0.0298422
1.2	1.6	17	20	0.975444	0.00934079	 0.0124522
1.6	2.1	17	20	0.933964	0.0147891	 0.0171671
2.1	2.4	17	20	0.872683	0.0292094	 0.0344269
-2.4	-2.1	20	22	0.953036	0.0211198	 0.0260565
-2.1	-1.6	20	22	0.963953	0.0111932	 0.0140651
-1.6	-1.2	20	22	0.962581	0.0122804	 0.015572
-1.2	-0.8	20	22	0.815571	0.0274558	 0.0297596
-0.8	-0.3	20	22	0.970723	0.0101017	 0.012257
-0.3	0.3	20	22	0.881041	0.0195041	 0.0214772
0.3	0.8	20	22	0.936181	0.0162741	 0.0188028
0.8	1.2	20	22	0.752661	0.0321453	 0.034174
1.2	1.6	20	22	0.969607	0.0138152	 0.0178595
1.6	2.1	20	22	0.932464	0.0156871	 0.0184322
2.1	2.4	20	22	0.980882	0.0147553	 0.0166172
-2.4	-2.1	22	30	0.962836	0.00636734	 0.00714153
-2.1	-1.6	22	30	0.960247	0.00472076	 0.00509654
-1.6	-1.2	22	30	0.963424	0.00511719	 0.00567079
-1.2	-0.8	22	30	0.802606	0.0112235	 0.0115891
-0.8	-0.3	22	30	0.967982	0.00389281	 0.00422777
-0.3	0.3	22	30	0.883096	0.00643477	 0.00658419
0.3	0.8	22	30	0.956226	0.00452857	 0.00490795
0.8	1.2	22	30	0.786649	0.011494	 0.0118635
1.2	1.6	22	30	0.949071	0.00609155	 0.00653933
1.6	2.1	22	30	0.938898	0.00666848	 0.0070426
2.1	2.4	22	30	0.933164	0.00882776	 0.00950122
-2.4	-2.1	30	50	0.955119	0.00410512	 0.00424331
-2.1	-1.6	30	50	0.949853	0.00246667	 0.00255382
-1.6	-1.2	30	50	0.960656	0.00242388	 0.00250256
-1.2	-0.8	30	50	0.796704	0.00455494	 0.00454962
-0.8	-0.3	30	50	0.964309	0.00177227	 0.00172425
-0.3	0.3	30	50	0.8881	0.00270249	 0.00268893
0.3	0.8	30	50	0.962139	0.00187445	 0.00192638
0.8	1.2	30	50	0.77983	0.00463513	 0.00464285
1.2	1.6	30	50	0.949454	0.00271327	 0.00276091
1.6	2.1	30	50	0.947795	0.00258348	 0.00261348
2.1	2.4	30	50	0.938592	0.00421275	 0.00421275
-2.4	-2.1	50	80	0.963987	0.00675812	 0.00769415
-2.1	-1.6	50	80	0.950299	0.00550828	 0.0059397
-1.6	-1.2	50	80	0.962832	0.00535943	 0.00574464
-1.2	-0.8	50	80	0.754328	0.0110316	 0.010961
-0.8	-0.3	50	80	0.954849	0.00425594	 0.00453634
-0.3	0.3	50	80	0.887052	0.00633831	 0.00656721
0.3	0.8	50	80	0.960058	0.00434449	 0.00441514
0.8	1.2	50	80	0.772194	0.0112805	 0.011294
1.2	1.6	50	80	0.951611	0.0051992	 0.00559309
1.6	2.1	50	80	0.932356	0.00650843	 0.00689327
2.1	2.4	50	80	0.943837	0.0102732	 0.0111464
-2.4	-2.1	80	200	0.919637	0.0300998	 0.0392235
-2.1	-1.6	80	200	0.94185	0.0187778	 0.021345
-1.6	-1.2	80	200	0.955566	0.0162013	 0.0198403
-1.2	-0.8	80	200	0.843851	0.0232024	 0.0253308
-0.8	-0.3	80	200	0.97215	0.00840017	 0.010242
-0.3	0.3	80	200	0.89249	0.0177426	 0.0195314
0.3	0.8	80	200	0.945211	0.0119799	 0.0138876
0.8	1.2	80	200	0.741807	0.0301307	 0.0318553
1.2	1.6	80	200	0.921246	0.0194049	 0.0213999
1.6	2.1	80	200	0.937292	0.0166566	 0.0199761
2.1	2.4	80	200	0.955985	0.020537	 0.0294155
