etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	12	0.954779	0.0108395	 0.0126244
-2.1	-1.6	10	12	0.948094	0.00966869	 0.0106197
-1.6	-1.2	10	12	0.980082	0.00732215	 0.00957935
-1.2	-0.8	10	12	0.963624	0.0111687	 0.0129763
-0.8	-0.3	10	12	0.954985	0.0130883	 0.0156962
-0.3	-0.2	10	12	0.722069	0.0937263	 0.0946185
-0.2	0.2	10	12	0.922801	0.026257	 0.0282864
0.2	0.3	10	12	0.904826	0.0439726	 0.0617884
0.3	0.8	10	12	0.968345	0.00987022	 0.0124341
0.8	1.2	10	12	0.942661	0.0114667	 0.0131836
1.2	1.6	10	12	0.987506	0.00504358	 0.00625552
1.6	2.1	10	12	0.953413	0.00774792	 0.00865717
2.1	2.4	10	12	0.92858	0.0150707	 0.0168699
-2.4	-2.1	12	14	0.959414	0.00953458	 0.0107408
-2.1	-1.6	12	14	0.960812	0.00740365	 0.00814664
-1.6	-1.2	12	14	0.985909	0.00445511	 0.00539809
-1.2	-0.8	12	14	0.960399	0.00816985	 0.00922593
-0.8	-0.3	12	14	0.974691	0.00854739	 0.0103238
-0.3	-0.2	12	14	0.837511	0.0523644	 0.0590968
-0.2	0.2	12	14	0.985248	0.00821993	 0.0114956
0.2	0.3	12	14	0.728245	0.0528248	 0.0662298
0.3	0.8	12	14	0.964141	0.00777122	 0.00901902
0.8	1.2	12	14	0.953162	0.00817792	 0.00921438
1.2	1.6	12	14	0.975453	0.00559126	 0.0065991
1.6	2.1	12	14	0.95429	0.00711475	 0.00775443
2.1	2.4	12	14	0.94488	0.0102833	 0.0113745
-2.4	-2.1	14	16	0.940385	0.00887811	 0.0097488
-2.1	-1.6	14	16	0.949382	0.00676723	 0.00713753
-1.6	-1.2	14	16	0.989943	0.0030596	 0.00367467
-1.2	-0.8	14	16	0.938169	0.00792731	 0.00864239
-0.8	-0.3	14	16	0.952148	0.00771213	 0.00844325
-0.3	-0.2	14	16	0.801801	0.0384542	 0.0412909
-0.2	0.2	14	16	0.929117	0.0131858	 0.0142248
0.2	0.3	14	16	0.867434	0.0350223	 0.0420843
0.3	0.8	14	16	0.966729	0.0064729	 0.00742295
0.8	1.2	14	16	0.955247	0.00679935	 0.00753876
1.2	1.6	14	16	0.976595	0.00501932	 0.00566067
1.6	2.1	14	16	0.958566	0.00643739	 0.00700316
2.1	2.4	14	16	0.948467	0.00936738	 0.0102372
-2.4	-2.1	16	18	0.937298	0.00901801	 0.00922685
-2.1	-1.6	16	18	0.952611	0.00515826	 0.00556763
-1.6	-1.2	16	18	0.986984	0.0028244	 0.00329767
-1.2	-0.8	16	18	0.956506	0.00578483	 0.00621567
-0.8	-0.3	16	18	0.966151	0.00500373	 0.00557962
-0.3	-0.2	16	18	0.735478	0.0326129	 0.0345247
-0.2	0.2	16	18	0.933055	0.0102117	 0.0109148
0.2	0.3	16	18	0.756082	0.0370286	 0.0416034
0.3	0.8	16	18	0.948436	0.00606268	 0.00658268
0.8	1.2	16	18	0.947584	0.00609255	 0.00659228
1.2	1.6	16	18	0.980472	0.00367126	 0.00418594
1.6	2.1	16	18	0.949201	0.000409458	 0.000409458
2.1	2.4	16	18	0.930997	0.00862777	 0.00952633
-2.4	-2.1	18	20	0.946798	0.00639177	 0.0069113
-2.1	-1.6	18	20	0.949367	0.00487752	 0.00477856
-1.6	-1.2	18	20	0.986255	0.00257055	 0.00296231
-1.2	-0.8	18	20	0.952224	0.00586114	 0.00622112
-0.8	-0.3	18	20	0.961069	0.00452061	 0.0048489
-0.3	-0.2	18	20	0.789249	0.0253425	 0.0270557
-0.2	0.2	18	20	0.941046	0.00836807	 0.008437
0.2	0.3	18	20	0.795613	0.021719	 0.022515
0.3	0.8	18	20	0.969417	0.00397358	 0.00426837
0.8	1.2	18	20	0.945071	0.00540531	 0.00575937
1.2	1.6	18	20	0.981114	0.00357889	 0.0039877
1.6	2.1	18	20	0.954085	0.00489762	 0.00513405
2.1	2.4	18	20	0.943651	0.00716192	 0.0075991
-2.4	-2.1	20	25	0.952589	0.00331515	 0.00346183
-2.1	-1.6	20	25	0.955783	0.00251006	 0.002591
-1.6	-1.2	20	25	0.985036	0.00154515	 0.0015698
-1.2	-0.8	20	25	0.953793	0.0027639	 0.00276517
-0.8	-0.3	20	25	0.967424	0.00203401	 0.00206376
-0.3	-0.2	20	25	0.756018	0.0111406	 0.0113472
-0.2	0.2	20	25	0.94806	0.00285766	 0.00293753
0.2	0.3	20	25	0.809791	0.01015	 0.0104606
0.3	0.8	20	25	0.962718	0.00230082	 0.00233716
0.8	1.2	20	25	0.951191	0.00277229	 0.00283644
1.2	1.6	20	25	0.979461	0.00168196	 0.00177392
1.6	2.1	20	25	0.958173	0.00226756	 0.00231274
2.1	2.4	20	25	0.945527	0.00351387	 0.00367357
-2.4	-2.1	25	30	0.956345	0.00294702	 0.00301864
-2.1	-1.6	25	30	0.950794	0.0020916	 0.00208458
-1.6	-1.2	25	30	0.984737	0.00132826	 0.00138894
-1.2	-0.8	25	30	0.951329	0.00231194	 0.00241152
-0.8	-0.3	25	30	0.964099	0.00155097	 0.00158417
-0.3	-0.2	25	30	0.790193	0.00730088	 0.00736281
-0.2	0.2	25	30	0.950116	0.00182251	 0.00185587
0.2	0.3	25	30	0.800509	0.00692298	 0.0070177
0.3	0.8	25	30	0.965087	0.00143007	 0.00146521
0.8	1.2	25	30	0.947033	0.00227173	 0.00232079
1.2	1.6	25	30	0.978359	0.00153175	 0.0016038
1.6	2.1	25	30	0.954821	0.00185699	 0.00190728
2.1	2.4	25	30	0.948241	0.00315519	 0.00433377
-2.4	-2.1	30	35	0.957479	0.002395	 0.00257999
-2.1	-1.6	30	35	0.952102	0.00173203	 0.00175383
-1.6	-1.2	30	35	0.984983	0.00113307	 0.00139974
-1.2	-0.8	30	35	0.948453	0.00166169	 0.00169928
-0.8	-0.3	30	35	0.96711	0.00117365	 0.00117429
-0.3	-0.2	30	35	0.777956	0.00579901	 0.00588229
-0.2	0.2	30	35	0.951799	0.00148879	 0.00148755
0.2	0.3	30	35	0.808213	0.00540703	 0.00546013
0.3	0.8	30	35	0.965466	0.00109901	 0.00111627
0.8	1.2	30	35	0.950253	0.0017352	 0.00176988
1.2	1.6	30	35	0.977452	0.00135499	 0.00135545
1.6	2.1	30	35	0.953633	0.00162257	 0.00165144
2.1	2.4	30	35	0.948902	0.00264283	 0.00267881
-2.4	-2.1	35	40	0.957832	0.00205062	 0.00208529
-2.1	-1.6	35	40	0.952463	0.00151553	 0.00151669
-1.6	-1.2	35	40	0.985687	0.0008039	 0.000821301
-1.2	-0.8	35	40	0.947102	0.00134643	 0.00135846
-0.8	-0.3	35	40	0.965368	0.000994804	 0.000966294
-0.3	-0.2	35	40	0.789357	0.00478189	 0.00478865
-0.2	0.2	35	40	0.951591	0.00126397	 0.00126805
0.2	0.3	35	40	0.81018	0.00476602	 0.0046477
0.3	0.8	35	40	0.966369	0.000938358	 0.00093621
0.8	1.2	35	40	0.947735	0.00166616	 0.00166616
1.2	1.6	35	40	0.97645	0.000980987	 0.00100836
1.6	2.1	35	40	0.953693	0.00146952	 0.00145808
2.1	2.4	35	40	0.952968	0.00224719	 0.00225072
-2.4	-2.1	40	60	0.957348	0.00136835	 0.00136076
-2.1	-1.6	40	60	0.951647	0.000914983	 0.000907449
-1.6	-1.2	40	60	0.985212	0.00050843	 0.000514937
-1.2	-0.8	40	60	0.949328	0.000864664	 0.000866962
-0.8	-0.3	40	60	0.964736	0.000584575	 0.000593374
-0.3	-0.2	40	60	0.782102	0.0030647	 0.00307148
-0.2	0.2	40	60	0.950946	0.000798441	 0.000793214
0.2	0.3	40	60	0.805181	0.00305726	 0.00306974
0.3	0.8	40	60	0.964	0.000611381	 0.000611914
0.8	1.2	40	60	0.946281	0.000875357	 0.000875502
1.2	1.6	40	60	0.975642	0.000645493	 0.000657446
1.6	2.1	40	60	0.954422	0.000885452	 0.000892676
2.1	2.4	40	60	0.949544	0.0015322	 0.00155431
-2.4	-2.1	60	100	0.953722	0.00397055	 0.00422166
-2.1	-1.6	60	100	0.94683	0.00300163	 0.00306649
-1.6	-1.2	60	100	0.982387	0.00176724	 0.00189295
-1.2	-0.8	60	100	0.948667	0.0027997	 0.00290497
-0.8	-0.3	60	100	0.963184	0.00187272	 0.00191238
-0.3	-0.2	60	100	0.761979	0.00999627	 0.0101763
-0.2	0.2	60	100	0.947126	0.00260137	 0.0027179
0.2	0.3	60	100	0.789735	0.00906038	 0.00939754
0.3	0.8	60	100	0.96169	0.00198241	 0.00202916
0.8	1.2	60	100	0.948459	0.00249729	 0.00256645
1.2	1.6	60	100	0.974619	0.0020336	 0.00212347
1.6	2.1	60	100	0.951355	0.00298515	 0.00286777
2.1	2.4	60	100	0.947296	0.0050893	 0.00518151
-2.4	-2.1	100	200	0.94989	0.0201591	 0.0222282
-2.1	-1.6	100	200	0.925071	0.0116509	 0.012376
-1.6	-1.2	100	200	0.955434	0.00649037	 0.00715175
-1.2	-0.8	100	200	0.944604	0.00789093	 0.0084133
-0.8	-0.3	100	200	0.955808	0.0111733	 0.00585885
-0.3	-0.2	100	200	0.807477	0.023665	 0.0274572
-0.2	0.2	100	200	0.950904	0.00703917	 0.00710266
0.2	0.3	100	200	0.826236	0.0231448	 0.0243729
