etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	20	0.877209	0.00594637	 0.00603202
-2.1	-1.6	10	20	0.850288	0.00476111	 0.00475459
-1.6	-1.2	10	20	0.832959	0.00585576	 0.00586885
-1.2	-0.8	10	20	0.785963	0.00623794	 0.00626105
-0.8	-0.3	10	20	0.763712	0.00658806	 0.00656559
-0.3	0.3	10	20	0.718522	0.00738442	 0.00739584
0.3	0.8	10	20	0.763593	0.00665052	 0.00660219
0.8	1.2	10	20	0.777349	0.00644075	 0.00625997
1.2	1.6	10	20	0.819029	0.00601702	 0.00606772
1.6	2.1	10	20	0.850778	0.00504855	 0.00515177
2.1	2.4	10	20	0.858998	0.00562154	 0.00573559
-2.4	-2.1	20	30	0.938304	0.00288518	 0.00289013
-2.1	-1.6	20	30	0.927938	0.00223717	 0.00226663
-1.6	-1.2	20	30	0.90948	0.00264684	 0.00267923
-1.2	-0.8	20	30	0.888051	0.00277447	 0.00278137
-0.8	-0.3	20	30	0.88202	0.00237878	 0.00238901
-0.3	0.3	20	30	0.876706	0.00209781	 0.00210187
0.3	0.8	20	30	0.877843	0.00234856	 0.00235541
0.8	1.2	20	30	0.891163	0.00281726	 0.00284363
1.2	1.6	20	30	0.910512	0.00271752	 0.00271568
1.6	2.1	20	30	0.925991	0.00224804	 0.0022654
2.1	2.4	20	30	0.93606	0.00278522	 0.00282536
-2.4	-2.1	30	50	0.979406	0.000856394	 0.000876139
-2.1	-1.6	30	50	0.978445	0.000595196	 0.000598142
-1.6	-1.2	30	50	0.97316	0.000678798	 0.000682357
-1.2	-0.8	30	50	0.965718	0.000697731	 0.000700876
-0.8	-0.3	30	50	0.961774	0.00061528	 0.000621632
-0.3	0.3	30	50	0.958798	0.00056926	 0.000572283
0.3	0.8	30	50	0.960654	0.000624261	 0.000627448
0.8	1.2	30	50	0.965469	0.000686425	 0.00069345
1.2	1.6	30	50	0.973841	0.000672607	 0.000673784
1.6	2.1	30	50	0.977509	0.000619552	 0.000616411
2.1	2.4	30	50	0.980731	0.000814045	 0.000824464
-2.4	-2.1	50	200	0.989779	0.000834996	 0.000834996
-2.1	-1.6	50	200	0.991716	0.00082293	 0.000859603
-1.6	-1.2	50	200	0.988255	0.000946996	 0.000985779
-1.2	-0.8	50	200	0.988291	0.000919926	 0.000956932
-0.8	-0.3	50	200	0.98694	0.000828835	 0.000858683
-0.3	0.3	50	200	0.984372	0.00081812	 0.000835419
0.3	0.8	50	200	0.986492	0.000852162	 0.000879397
0.8	1.2	50	200	0.987313	0.000973158	 0.00100855
1.2	1.6	50	200	0.991597	0.00084483	 0.000885559
1.6	2.1	50	200	0.992677	0.000804156	 0.00084459
2.1	2.4	50	200	0.994252	0.00103713	 0.00110533
