etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	20	0.878532	0.00606003	 0.00615735
-2.1	-1.6	10	20	0.850467	0.00473696	 0.00474177
-1.6	-1.2	10	20	0.833763	0.00586478	 0.00586328
-1.2	-0.8	10	20	0.786389	0.006239	 0.00625358
-0.8	-0.3	10	20	0.763907	0.00654309	 0.00655014
-0.3	0.3	10	20	0.718022	0.00741665	 0.00742708
0.3	0.8	10	20	0.764272	0.00661441	 0.00662422
0.8	1.2	10	20	0.778222	0.00638502	 0.00628356
1.2	1.6	10	20	0.819766	0.00597669	 0.0060083
1.6	2.1	10	20	0.850819	0.00503513	 0.00510165
2.1	2.4	10	20	0.859889	0.00566632	 0.0058005
-2.4	-2.1	20	30	0.938277	0.00294136	 0.00294024
-2.1	-1.6	20	30	0.927892	0.00224072	 0.00226812
-1.6	-1.2	20	30	0.909247	0.00265785	 0.00266839
-1.2	-0.8	20	30	0.888196	0.0027753	 0.00278995
-0.8	-0.3	20	30	0.882164	0.00238063	 0.00239281
-0.3	0.3	20	30	0.8765	0.00209207	 0.00210375
0.3	0.8	20	30	0.878189	0.00234834	 0.0023535
0.8	1.2	20	30	0.891228	0.00280287	 0.00280646
1.2	1.6	20	30	0.91067	0.0026925	 0.00270989
1.6	2.1	20	30	0.926011	0.00225468	 0.00227116
2.1	2.4	20	30	0.936248	0.0028038	 0.00283421
-2.4	-2.1	30	50	0.979286	0.000870253	 0.00089026
-2.1	-1.6	30	50	0.978394	0.000593801	 0.00059814
-1.6	-1.2	30	50	0.973199	0.00067513	 0.000686585
-1.2	-0.8	30	50	0.965765	0.000697117	 0.000701631
-0.8	-0.3	30	50	0.961816	0.000615049	 0.000621997
-0.3	0.3	30	50	0.958885	0.000570999	 0.000570372
0.3	0.8	30	50	0.960706	0.000623409	 0.000628519
0.8	1.2	30	50	0.965548	0.00068656	 0.000693419
1.2	1.6	30	50	0.973888	0.00067292	 0.00067305
1.6	2.1	30	50	0.977528	0.000620305	 0.000617173
2.1	2.4	30	50	0.980626	0.000822628	 0.000831547
-2.4	-2.1	50	200	0.991773	0.00126415	 0.00135427
-2.1	-1.6	50	200	0.99176	0.000821639	 0.000860443
-1.6	-1.2	50	200	0.988246	0.000949242	 0.000984839
-1.2	-0.8	50	200	0.988281	0.000919809	 0.000954249
-0.8	-0.3	50	200	0.98693	0.000832057	 0.000856236
-0.3	0.3	50	200	0.984402	0.000816788	 0.000836671
0.3	0.8	50	200	0.986564	0.000852313	 0.000877279
0.8	1.2	50	200	0.9873	0.000973006	 0.00100793
1.2	1.6	50	200	0.991587	0.0008447	 0.00088809
1.6	2.1	50	200	0.992663	0.000807588	 0.000844111
2.1	2.4	50	200	0.994366	0.00103584	 0.00110912
