etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	15	0	0	 0
-2.1	-1.6	10	15	0	0	 0
-1.6	-1.2	10	15	0	0	 0
-1.2	-0.8	10	15	0	0	 0
-0.8	-0.3	10	15	0	0	 0
-0.3	-0.2	10	15	0	0	 0
-0.2	0.2	10	15	0	0	 0
0.2	0.3	10	15	0	0	 0
0.3	0.8	10	15	0	0	 0
0.8	1.2	10	15	0	0	 0
1.2	1.6	10	15	0	0	 0
1.6	2.1	10	15	0	0	 0
2.1	2.4	10	15	0	0	 0
-2.4	-2.1	15	16	0	0	 0
-2.1	-1.6	15	16	0	0	 0
-1.6	-1.2	15	16	0	0	 0
-1.2	-0.8	15	16	0	0	 0
-0.8	-0.3	15	16	0	0	 0
-0.3	-0.2	15	16	0	0	 0
-0.2	0.2	15	16	0	0	 0
0.2	0.3	15	16	0	0	 0
0.3	0.8	15	16	0	0	 0
0.8	1.2	15	16	0	0	 0
1.2	1.6	15	16	0	0	 0
1.6	2.1	15	16	0	0	 0
2.1	2.4	15	16	0	0	 0
-2.4	-2.1	16	17	0	0	 0
-2.1	-1.6	16	17	0	0	 0
-1.6	-1.2	16	17	0	0	 0
-1.2	-0.8	16	17	0	0	 0
-0.8	-0.3	16	17	0	0	 0
-0.3	-0.2	16	17	0	0	 0
-0.2	0.2	16	17	0	0	 0
0.2	0.3	16	17	0	0	 0
0.3	0.8	16	17	0	0	 0
0.8	1.2	16	17	0	0	 0
1.2	1.6	16	17	0	0	 0
1.6	2.1	16	17	0	0	 0
2.1	2.4	16	17	0	0	 0
-2.4	-2.1	17	18	0.0118019	0.0102701	 0.0064979
-2.1	-1.6	17	18	0	0	 0
-1.6	-1.2	17	18	0	0	 0
-1.2	-0.8	17	18	0	0	 0
-0.8	-0.3	17	18	0	0	 0
-0.3	-0.2	17	18	0	0	 0
-0.2	0.2	17	18	0	0	 0
0.2	0.3	17	18	0	0	 0
0.3	0.8	17	18	0	0	 0
0.8	1.2	17	18	0	0	 0
1.2	1.6	17	18	0	0	 0
1.6	2.1	17	18	0	0	 0
2.1	2.4	17	18	0	0	 0
-2.4	-2.1	18	19	0	0	 0
-2.1	-1.6	18	19	0	0	 0
-1.6	-1.2	18	19	0	0	 0
-1.2	-0.8	18	19	0	0	 0
-0.8	-0.3	18	19	0	0	 0
-0.3	-0.2	18	19	0	0	 0
-0.2	0.2	18	19	0	0	 0
0.2	0.3	18	19	0	0	 0
0.3	0.8	18	19	0	0	 0
0.8	1.2	18	19	0	0	 0
1.2	1.6	18	19	0	0	 0
1.6	2.1	18	19	0	0	 0
2.1	2.4	18	19	0.0173118	0.0101075	 0.00752055
-2.4	-2.1	19	20	0.0930541	0.0610001	 0.0179392
-2.1	-1.6	19	20	0.0675732	0.012431	 0.0110502
-1.6	-1.2	19	20	0.0372436	0.0119463	 0.0105547
-1.2	-0.8	19	20	0.0341614	0.010661	 0.00885707
-0.8	-0.3	19	20	0.0375017	0.0100762	 0.00855885
-0.3	-0.2	19	20	0	0	 0
-0.2	0.2	19	20	0.0196153	0.0104397	 0.00793631
0.2	0.3	19	20	0.0260553	0.0335895	 0.0214638
0.3	0.8	19	20	0.0396132	0.0101969	 0.0087395
0.8	1.2	19	20	0.0290712	0.0134249	 0.0113489
1.2	1.6	19	20	0.0332048	0.0136125	 0.0119112
1.6	2.1	19	20	0.0566354	0.0122557	 0.0109217
2.1	2.4	19	20	0.0560099	0.0158033	 0.0136896
-2.4	-2.1	20	21	0.689712	0.0257809	 0.0265932
-2.1	-1.6	20	21	0.74045	0.0211308	 0.0216981
-1.6	-1.2	20	21	0.809328	0.0211035	 0.0217558
-1.2	-0.8	20	21	0.773961	0.0226868	 0.0235384
-0.8	-0.3	20	21	0.895062	0.0160205	 0.0169638
-0.3	-0.2	20	21	0.642941	0.0470973	 0.0513669
-0.2	0.2	20	21	0.757893	0.0250872	 0.0265956
0.2	0.3	20	21	0.655978	0.0552988	 0.0591923
0.3	0.8	20	21	0.853519	0.0177099	 0.0182705
0.8	1.2	20	21	0.782771	0.0196826	 0.0208844
1.2	1.6	20	21	0.7735	0.0204087	 0.0221192
1.6	2.1	20	21	0.75052	0.0197596	 0.0200878
2.1	2.4	20	21	0.699393	0.0297279	 0.0298718
-2.4	-2.1	21	22	0.719603	0.0267049	 0.0273093
-2.1	-1.6	21	22	0.768743	0.0184008	 0.0190616
-1.6	-1.2	21	22	0.85208	0.0193774	 0.0161964
-1.2	-0.8	21	22	0.837703	0.0179149	 0.0185443
-0.8	-0.3	21	22	0.91136	0.0106605	 0.0114667
-0.3	-0.2	21	22	0.697948	0.041752	 0.0490815
-0.2	0.2	21	22	0.821545	0.0192367	 0.0202492
0.2	0.3	21	22	0.732485	0.0410218	 0.0438599
0.3	0.8	21	22	0.900698	0.0122269	 0.0132258
0.8	1.2	21	22	0.788335	0.0183554	 0.0193754
1.2	1.6	21	22	0.826611	0.0188888	 0.0195898
1.6	2.1	21	22	0.827097	0.0156211	 0.0160705
2.1	2.4	21	22	0.724833	0.0278978	 0.0289724
-2.4	-2.1	22	24	0.814115	0.0156908	 0.0160581
-2.1	-1.6	22	24	0.820795	0.0114222	 0.0117777
-1.6	-1.2	22	24	0.869114	0.0110515	 0.0115019
-1.2	-0.8	22	24	0.85046	0.0111213	 0.0118138
-0.8	-0.3	22	24	0.919578	0.00770145	 0.00777867
-0.3	-0.2	22	24	0.692075	0.0265561	 0.0282211
-0.2	0.2	22	24	0.843888	0.0111271	 0.0114221
0.2	0.3	22	24	0.746729	0.028133	 0.0288207
0.3	0.8	22	24	0.926253	0.00797961	 0.00831139
0.8	1.2	22	24	0.858927	0.0117877	 0.0119632
1.2	1.6	22	24	0.848497	0.010796	 0.011326
1.6	2.1	22	24	0.798662	0.0116101	 0.011847
2.1	2.4	22	24	0.766933	0.0153478	 0.015728
-2.4	-2.1	24	26	0.800712	0.0151778	 0.0156463
-2.1	-1.6	24	26	0.825672	0.00960163	 0.00978899
-1.6	-1.2	24	26	0.897278	0.00923531	 0.00955306
-1.2	-0.8	24	26	0.870806	0.00975617	 0.0100427
-0.8	-0.3	24	26	0.937974	0.00661758	 0.00693949
-0.3	-0.2	24	26	0.689525	0.0226011	 0.0233375
-0.2	0.2	24	26	0.870009	0.00881625	 0.00904668
0.2	0.3	24	26	0.730893	0.0211203	 0.0219194
0.3	0.8	24	26	0.930294	0.00558048	 0.00588345
0.8	1.2	24	26	0.841306	0.00962973	 0.0099626
1.2	1.6	24	26	0.871295	0.00965261	 0.00968888
1.6	2.1	24	26	0.84806	0.00916372	 0.00923677
2.1	2.4	24	26	0.798923	0.0144099	 0.014563
-2.4	-2.1	26	30	0.81165	0.00870899	 0.00898604
-2.1	-1.6	26	30	0.849165	0.00636668	 0.00638888
-1.6	-1.2	26	30	0.897783	0.00538833	 0.00547613
-1.2	-0.8	26	30	0.877145	0.00616617	 0.00636873
-0.8	-0.3	26	30	0.939823	0.00352839	 0.00360337
-0.3	-0.2	26	30	0.704768	0.013973	 0.013851
-0.2	0.2	26	30	0.88582	0.00452611	 0.00447384
0.2	0.3	26	30	0.783299	0.012533	 0.0127244
0.3	0.8	26	30	0.939741	0.00359883	 0.00368159
0.8	1.2	26	30	0.874413	0.00579445	 0.00592084
1.2	1.6	26	30	0.884328	0.00556357	 0.00567156
1.6	2.1	26	30	0.851527	0.0061558	 0.00621783
2.1	2.4	26	30	0.806076	0.00940609	 0.00948604
-2.4	-2.1	30	35	0.845222	0.00676265	 0.00685855
-2.1	-1.6	30	35	0.845444	0.00487255	 0.00489489
