etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	15	0	0	 0
-2.1	-1.6	10	15	0	0	 0
-1.6	-1.2	10	15	0	0	 0
-1.2	-0.8	10	15	0	0	 0
-0.8	-0.3	10	15	0	0	 0
-0.3	-0.2	10	15	0	0	 0
-0.2	0.2	10	15	0	0	 0
0.2	0.3	10	15	0	0	 0
0.3	0.8	10	15	0	0	 0
0.8	1.2	10	15	0	0	 0
1.2	1.6	10	15	0	0	 0
1.6	2.1	10	15	0	0	 0
2.1	2.4	10	15	0	0	 0
-2.4	-2.1	15	16	0	0	 0
-2.1	-1.6	15	16	0	0	 0
-1.6	-1.2	15	16	0	0	 0
-1.2	-0.8	15	16	0	0	 0
-0.8	-0.3	15	16	0	0	 0
-0.3	-0.2	15	16	0	0	 0
-0.2	0.2	15	16	0	0	 0
0.2	0.3	15	16	0	0	 0
0.3	0.8	15	16	0	0	 0
0.8	1.2	15	16	0	0	 0
1.2	1.6	15	16	0	0	 0
1.6	2.1	15	16	0	0	 0
2.1	2.4	15	16	0	0	 0
-2.4	-2.1	16	17	0	0	 0
-2.1	-1.6	16	17	0	0	 0
-1.6	-1.2	16	17	0	0	 0
-1.2	-0.8	16	17	0	0	 0
-0.8	-0.3	16	17	0	0	 0
-0.3	-0.2	16	17	0	0	 0
-0.2	0.2	16	17	0	0	 0
0.2	0.3	16	17	0	0	 0
0.3	0.8	16	17	0	0	 0
0.8	1.2	16	17	0	0	 0
1.2	1.6	16	17	0	0	 0
1.6	2.1	16	17	0	0	 0
2.1	2.4	16	17	0	0	 0
-2.4	-2.1	17	18	0	0	 0
-2.1	-1.6	17	18	0	0	 0
-1.6	-1.2	17	18	0	0	 0
-1.2	-0.8	17	18	0	0	 0
-0.8	-0.3	17	18	0	0	 0
-0.3	-0.2	17	18	0	0	 0
-0.2	0.2	17	18	0	0	 0
0.2	0.3	17	18	0	0	 0
0.3	0.8	17	18	0	0	 0
0.8	1.2	17	18	0	0	 0
1.2	1.6	17	18	0	0	 0
1.6	2.1	17	18	0	0	 0
2.1	2.4	17	18	0	0	 0
-2.4	-2.1	18	19	0	0	 0
-2.1	-1.6	18	19	0	0	 0
-1.6	-1.2	18	19	0	0	 0
-1.2	-0.8	18	19	0	0	 0
-0.8	-0.3	18	19	0	0	 0
-0.3	-0.2	18	19	0	0	 0
-0.2	0.2	18	19	0	0	 0
0.2	0.3	18	19	0	0	 0
0.3	0.8	18	19	0	0	 0
0.8	1.2	18	19	0	0	 0
1.2	1.6	18	19	0	0	 0
1.6	2.1	18	19	0	0	 0
2.1	2.4	18	19	0	0	 0
-2.4	-2.1	19	20	0	0	 0
-2.1	-1.6	19	20	0	0	 0
-1.6	-1.2	19	20	0	0	 0
-1.2	-0.8	19	20	0	0	 0
-0.8	-0.3	19	20	0	0	 0
-0.3	-0.2	19	20	0	0	 0
-0.2	0.2	19	20	0	0	 0
0.2	0.3	19	20	0	0	 0
0.3	0.8	19	20	0	0	 0
0.8	1.2	19	20	0	0	 0
1.2	1.6	19	20	0	0	 0
1.6	2.1	19	20	0	0	 0
2.1	2.4	19	20	0.0108807	0.00466855	 0.00362105
-2.4	-2.1	20	21	0	0	 0
-2.1	-1.6	20	21	0	0	 0
-1.6	-1.2	20	21	0	0	 0
-1.2	-0.8	20	21	0	0	 0
-0.8	-0.3	20	21	0	0	 0
-0.3	-0.2	20	21	0	0	 0
-0.2	0.2	20	21	0	0	 0
0.2	0.3	20	21	0	0	 0
0.3	0.8	20	21	0	0	 0
0.8	1.2	20	21	0	0	 0
1.2	1.6	20	21	0	0	 0
1.6	2.1	20	21	0	0	 0
2.1	2.4	20	21	0	0	 0
-2.4	-2.1	21	22	0.0237217	0.00616193	 0.00540183
-2.1	-1.6	21	22	0	0	 0
-1.6	-1.2	21	22	0	0	 0
-1.2	-0.8	21	22	0	0	 0
-0.8	-0.3	21	22	0	0	 0
-0.3	-0.2	21	22	0	0	 0
-0.2	0.2	21	22	0	0	 0
0.2	0.3	21	22	0	0	 0
0.3	0.8	21	22	0	0	 0
0.8	1.2	21	22	0	0	 0
1.2	1.6	21	22	0	0	 0
1.6	2.1	21	22	0	0	 0
2.1	2.4	21	22	0.01575	0.00613625	 0.00530639
-2.4	-2.1	22	24	0.0939138	0.00779418	 0.00766257
-2.1	-1.6	22	24	0.0582767	0.00425275	 0.00414656
-1.6	-1.2	22	24	0.049583	0.00484795	 0.00465657
-1.2	-0.8	22	24	0.0333851	0.00379875	 0.00361165
-0.8	-0.3	22	24	0.0361423	0.00323804	 0.00310442
-0.3	-0.2	22	24	0.0290661	0.00652155	 0.00570009
-0.2	0.2	22	24	0.0380049	0.00429955	 0.00414965
0.2	0.3	22	24	0.0332997	0.00749898	 0.0073336
0.3	0.8	22	24	0.0384878	0.00340383	 0.00331339
0.8	1.2	22	24	0.0315276	0.00355647	 0.00333785
1.2	1.6	22	24	0.0363831	0.00401557	 0.00383235
1.6	2.1	22	24	0.0692868	0.00517526	 0.0053529
2.1	2.4	22	24	0.083745	0.00728844	 0.00710476
-2.4	-2.1	24	26	0.682418	0.0105941	 0.0108461
-2.1	-1.6	24	26	0.747263	0.00726564	 0.00720413
-1.6	-1.2	24	26	0.803425	0.00724678	 0.00963292
-1.2	-0.8	24	26	0.810254	0.00703565	 0.00703399
-0.8	-0.3	24	26	0.894563	0.00494563	 0.00502859
-0.3	-0.2	24	26	0.693005	0.0154814	 0.0156335
-0.2	0.2	24	26	0.857891	0.00595682	 0.00604699
0.2	0.3	24	26	0.71472	0.0151134	 0.015447
0.3	0.8	24	26	0.897733	0.00508393	 0.00523661
0.8	1.2	24	26	0.795363	0.00723612	 0.00737098
1.2	1.6	24	26	0.807569	0.00721399	 0.00726968
1.6	2.1	24	26	0.779853	0.00704073	 0.00706127
2.1	2.4	24	26	0.673797	0.0117324	 0.0214999
-2.4	-2.1	26	30	0.764971	0.00663978	 0.00671056
-2.1	-1.6	26	30	0.811083	0.00421244	 0.00421168
-1.6	-1.2	26	30	0.863864	0.00448634	 0.00411986
-1.2	-0.8	26	30	0.873789	0.00378093	 0.00382787
-0.8	-0.3	26	30	0.930254	0.00243198	 0.00245914
-0.3	-0.2	26	30	0.740151	0.00859242	 0.00864025
-0.2	0.2	26	30	0.907682	0.002817	 0.00287619
0.2	0.3	26	30	0.756143	0.00820761	 0.00823111
0.3	0.8	26	30	0.928087	0.00244447	 0.00244234
0.8	1.2	26	30	0.870566	0.00385993	 0.00388937
1.2	1.6	26	30	0.861687	0.00423309	 0.00418589
1.6	2.1	26	30	0.828044	0.00422674	 0.00417826
2.1	2.4	26	30	0.755414	0.0065153	 0.0065
-2.4	-2.1	30	35	0.81612	0.00481345	 0.00486654
-2.1	-1.6	30	35	0.834983	0.00309676	 0.00309742
-1.6	-1.2	30	35	0.894692	0.00284352	 0.00282892
-1.2	-0.8	30	35	0.895291	0.00254241	 0.00256839
-0.8	-0.3	30	35	0.943618	0.00158757	 0.00160076
-0.3	-0.2	30	35	0.747247	0.00607471	 0.00613375
-0.2	0.2	30	35	0.926966	0.00190713	 0.00190248
0.2	0.3	30	35	0.783708	0.00563396	 0.00574147
0.3	0.8	30	35	0.942629	0.00156332	 0.00156175
0.8	1.2	30	35	0.894924	0.00247049	 0.00249441
1.2	1.6	30	35	0.885599	0.00286573	 0.00283694
1.6	2.1	30	35	0.846736	0.00312767	 0.00313267
2.1	2.4	30	35	0.784248	0.00493914	 0.00492837
-2.4	-2.1	35	40	0.830064	0.00377184	 0.0037827
-2.1	-1.6	35	40	0.848771	0.00256769	 0.00258148
