etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	15	0	0	 0
-2.1	-1.6	10	15	0	0	 0
-1.6	-1.2	10	15	0	0	 0
-1.2	-0.8	10	15	0	0	 0
-0.8	-0.3	10	15	0	0	 0
-0.3	-0.2	10	15	0	0	 0
-0.2	0.2	10	15	0	0	 0
0.2	0.3	10	15	0	0	 0
0.3	0.8	10	15	0	0	 0
0.8	1.2	10	15	0	0	 0
1.2	1.6	10	15	0	0	 0
1.6	2.1	10	15	0	0	 0
2.1	2.4	10	15	0	0	 0
-2.4	-2.1	15	16	0	0	 0
-2.1	-1.6	15	16	0	0	 0
-1.6	-1.2	15	16	0	0	 0
-1.2	-0.8	15	16	0	0	 0
-0.8	-0.3	15	16	0	0	 0
-0.3	-0.2	15	16	0	0	 0
-0.2	0.2	15	16	0	0	 0
0.2	0.3	15	16	0	0	 0
0.3	0.8	15	16	0	0	 0
0.8	1.2	15	16	0	0	 0
1.2	1.6	15	16	0	0	 0
1.6	2.1	15	16	0	0	 0
2.1	2.4	15	16	0	0	 0
-2.4	-2.1	16	17	0	0	 0
-2.1	-1.6	16	17	0	0	 0
-1.6	-1.2	16	17	0	0	 0
-1.2	-0.8	16	17	0	0	 0
-0.8	-0.3	16	17	0	0	 0
-0.3	-0.2	16	17	0	0	 0
-0.2	0.2	16	17	0	0	 0
0.2	0.3	16	17	0	0	 0
0.3	0.8	16	17	0	0	 0
0.8	1.2	16	17	0	0	 0
1.2	1.6	16	17	0	0	 0
1.6	2.1	16	17	0	0	 0
2.1	2.4	16	17	0	0	 0
-2.4	-2.1	17	18	0	0	 0
-2.1	-1.6	17	18	0	0	 0
-1.6	-1.2	17	18	0	0	 0
-1.2	-0.8	17	18	0	0	 0
-0.8	-0.3	17	18	0	0	 0
-0.3	-0.2	17	18	0	0	 0
-0.2	0.2	17	18	0	0	 0
0.2	0.3	17	18	0	0	 0
0.3	0.8	17	18	0	0	 0
0.8	1.2	17	18	0	0	 0
1.2	1.6	17	18	0	0	 0
1.6	2.1	17	18	0	0	 0
2.1	2.4	17	18	0	0	 0
-2.4	-2.1	18	19	0	0	 0
-2.1	-1.6	18	19	0	0	 0
-1.6	-1.2	18	19	0	0	 0
-1.2	-0.8	18	19	0	0	 0
-0.8	-0.3	18	19	0	0	 0
-0.3	-0.2	18	19	0	0	 0
-0.2	0.2	18	19	0	0	 0
0.2	0.3	18	19	0	0	 0
0.3	0.8	18	19	0	0	 0
0.8	1.2	18	19	0	0	 0
1.2	1.6	18	19	0	0	 0
1.6	2.1	18	19	0	0	 0
2.1	2.4	18	19	0	0	 0
-2.4	-2.1	19	20	0	0	 0
-2.1	-1.6	19	20	0	0	 0
-1.6	-1.2	19	20	0	0	 0
-1.2	-0.8	19	20	0	0	 0
-0.8	-0.3	19	20	0	0	 0
-0.3	-0.2	19	20	0	0	 0
-0.2	0.2	19	20	0	0	 0
0.2	0.3	19	20	0	0	 0
0.3	0.8	19	20	0	0	 0
0.8	1.2	19	20	0	0	 0
1.2	1.6	19	20	0	0	 0
1.6	2.1	19	20	0	0	 0
2.1	2.4	19	20	0	0	 0
-2.4	-2.1	20	21	0	0	 0
-2.1	-1.6	20	21	0	0	 0
-1.6	-1.2	20	21	0	0	 0
-1.2	-0.8	20	21	0	0	 0
-0.8	-0.3	20	21	0	0	 0
-0.3	-0.2	20	21	0	0	 0
-0.2	0.2	20	21	0	0	 0
0.2	0.3	20	21	0	0	 0
0.3	0.8	20	21	0	0	 0
0.8	1.2	20	21	0	0	 0
1.2	1.6	20	21	0	0	 0
1.6	2.1	20	21	0	0	 0
2.1	2.4	20	21	0	0	 0
-2.4	-2.1	21	22	0	0	 0
-2.1	-1.6	21	22	0	0	 0
-1.6	-1.2	21	22	0	0	 0
-1.2	-0.8	21	22	0	0	 0
-0.8	-0.3	21	22	0	0	 0
-0.3	-0.2	21	22	0	0	 0
-0.2	0.2	21	22	0	0	 0
0.2	0.3	21	22	0	0	 0
0.3	0.8	21	22	0	0	 0
0.8	1.2	21	22	0	0	 0
1.2	1.6	21	22	0	0	 0
1.6	2.1	21	22	0	0	 0
2.1	2.4	21	22	0	0	 0
-2.4	-2.1	22	24	0.0700898	0.000612995	 0.000612995
-2.1	-1.6	22	24	0.053425	0.00630717	 0.00585434
-1.6	-1.2	22	24	0.0253128	0.0068631	 0.00599121
-1.2	-0.8	22	24	0.0308073	0.00575825	 0.00526734
-0.8	-0.3	22	24	0.0237529	0.00412405	 0.00370105
-0.3	-0.2	22	24	0	0	 0
-0.2	0.2	22	24	0.0302313	0.00535251	 0.00477501
0.2	0.3	22	24	0	0	 0
0.3	0.8	22	24	0.0210965	0.00426683	 0.00393185
0.8	1.2	22	24	0.0272208	0.00522468	 0.00463427
1.2	1.6	22	24	0.0242064	0.00663502	 0.00587942
1.6	2.1	22	24	0.0470029	0.00575488	 0.00533606
2.1	2.4	22	24	0.0595065	0.00939739	 0.00897769
-2.4	-2.1	24	26	0.700238	0.016797	 0.0169635
-2.1	-1.6	24	26	0.758008	0.0110621	 0.0110805
-1.6	-1.2	24	26	0.824259	0.0108787	 0.0110948
-1.2	-0.8	24	26	0.807251	0.0117281	 0.0118952
-0.8	-0.3	24	26	0.900059	0.00783007	 0.00805391
-0.3	-0.2	24	26	0.667755	0.0228858	 0.0235091
-0.2	0.2	24	26	0.833399	0.00980791	 0.00993425
0.2	0.3	24	26	0.683563	0.0222725	 0.0228227
0.3	0.8	24	26	0.89198	0.00746232	 0.00767887
0.8	1.2	24	26	0.775787	0.0111063	 0.0113498
1.2	1.6	24	26	0.812148	0.0111476	 0.0109207
1.6	2.1	24	26	0.775608	0.0105592	 0.0106554
2.1	2.4	24	26	0.6914	0.0157103	 0.0158283
-2.4	-2.1	26	30	0.753985	0.00939385	 0.0094366
-2.1	-1.6	26	30	0.812071	0.00680076	 0.00686925
-1.6	-1.2	26	30	0.852794	0.00635557	 0.00641514
-1.2	-0.8	26	30	0.844903	0.0067408	 0.00686402
-0.8	-0.3	26	30	0.933134	0.00375307	 0.00378918
-0.3	-0.2	26	30	0.695635	0.0140486	 0.0140713
-0.2	0.2	26	30	0.877999	0.00450298	 0.00456267
0.2	0.3	26	30	0.77796	0.0125569	 0.0127673
0.3	0.8	26	30	0.934862	0.00370271	 0.00380668
0.8	1.2	26	30	0.851663	0.00624324	 0.00630387
1.2	1.6	26	30	0.848597	0.00612464	 0.00617914
1.6	2.1	26	30	0.828789	0.00634998	 0.00641731
2.1	2.4	26	30	0.756797	0.0104654	 0.01042
-2.4	-2.1	30	35	0.808257	0.00709195	 0.00712122
-2.1	-1.6	30	35	0.829794	0.00505578	 0.00508334
-1.6	-1.2	30	35	0.88205	0.0045417	 0.00460304
-1.2	-0.8	30	35	0.864743	0.00427476	 0.00429084
-0.8	-0.3	30	35	0.950095	0.00232154	 0.00235474
-0.3	-0.2	30	35	0.71164	0.00989113	 0.00994099
-0.2	0.2	30	35	0.901522	0.00328356	 0.0033394
0.2	0.3	30	35	0.767088	0.00933905	 0.00945393
0.3	0.8	30	35	0.946303	0.00232617	 0.00236851
0.8	1.2	30	35	0.86257	0.00441031	 0.0044452
1.2	1.6	30	35	0.88546	0.00463856	 0.00468112
1.6	2.1	30	35	0.850019	0.0046739	 0.00471176
2.1	2.4	30	35	0.786391	0.00747418	 0.00748084
-2.4	-2.1	35	40	0.828534	0.00585175	 0.00591347
-2.1	-1.6	35	40	0.843877	0.00414535	 0.00409867
-1.6	-1.2	35	40	0.899643	0.00351133	 0.00345485
