etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.961681	0.0315086	 0.0530617
-2.1	-1.6	10	13	0.8722	0.0311775	 0.0371174
-1.6	-1.2	10	13	1	0	 0.0234337
-1.2	-0.8	10	13	0.985995	0.0104368	 0.0199241
-0.8	-0.3	10	13	0.999998	2.3358e-06	 0.0453158
-0.3	-0.2	10	13	0.803412	0.103353	 0.142778
-0.2	0.2	10	13	1	0	 0.0713181
0.2	0.3	10	13	0.799972	0.135011	 0.209946
0.3	0.8	10	13	0.955604	0.0242013	 0.0376423
0.8	1.2	10	13	1	0	 0.0290522
1.2	1.6	10	13	1	3.59975e-08	 0.00962798
1.6	2.1	10	13	0.952579	0.0179716	 0.0236549
2.1	2.4	10	13	0.952859	0.0257114	 0.0401484
-2.4	-2.1	13	16	0.962194	0.0205009	 0.0271619
-2.1	-1.6	13	16	0.933504	0.0170562	 0.0203129
-1.6	-1.2	13	16	0.975895	0.0113298	 0.0165305
-1.2	-0.8	13	16	0.983213	0.010093	 0.0149785
-0.8	-0.3	13	16	1	0	 0.0156959
-0.3	-0.2	13	16	1	0	 0.132445
-0.2	0.2	13	16	0.970932	0.0202164	 0.0382359
0.2	0.3	13	16	0.819761	0.0855941	 0.102286
0.3	0.8	13	16	0.965513	0.0162693	 0.0238585
0.8	1.2	13	16	0.948797	0.0179636	 0.0232371
1.2	1.6	13	16	0.991913	0.00678705	 0.0124343
1.6	2.1	13	16	0.898073	0.0207585	 0.023678
2.1	2.4	13	16	0.962236	0.017665	 0.0253739
-2.4	-2.1	16	20	0.961033	0.0115194	 0.0142458
-2.1	-1.6	16	20	0.949417	0.0140388	 0.015432
-1.6	-1.2	16	20	1	6.05904e-12	 0.00237128
-1.2	-0.8	16	20	0.959416	0.00928031	 0.0109127
-0.8	-0.3	16	20	0.982251	0.0067921	 0.00917454
-0.3	-0.2	16	20	0.958462	0.0226918	 0.0351945
-0.2	0.2	16	20	0.987895	0.00665763	 0.0105906
0.2	0.3	16	20	0.879037	0.0454462	 0.0598908
0.3	0.8	16	20	0.997037	0.00206878	 0.00403509
0.8	1.2	16	20	0.961684	0.0132456	 0.0158437
1.2	1.6	16	20	0.989897	0.0049385	 0.00698844
1.6	2.1	16	20	0.95249	0.0111604	 0.0126852
2.1	2.4	16	20	0.955394	0.0154228	 0.0178909
-2.4	-2.1	20	25	0.954181	0.011395	 0.0129756
-2.1	-1.6	20	25	0.950126	0.00776695	 0.00954236
-1.6	-1.2	20	25	0.996897	0.00198788	 0.00308814
-1.2	-0.8	20	25	0.962557	0.00705273	 0.00793521
-0.8	-0.3	20	25	0.99226	0.00292723	 0.00362017
-0.3	-0.2	20	25	0.915092	0.0207446	 0.0243618
