etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	12	0.944726	0.0148305	 0.0165055
-2.1	-1.6	10	12	0.91784	0.013059	 0.0145575
-1.6	-1.2	10	12	0.993366	0.00365681	 0.00581496
-1.2	-0.8	10	12	0.976003	0.00855625	 0.0111172
-0.8	-0.3	10	12	0.979637	0.00963652	 0.0138594
-0.3	-0.2	10	12	0.687518	0.10654	 0.121919
-0.2	0.2	10	12	0.989539	0.00729212	 0.0140382
0.2	0.3	10	12	0.911945	0.0477625	 0.0729356
0.3	0.8	10	12	0.958541	0.0147412	 0.0193518
0.8	1.2	10	12	0.974877	0.00956491	 0.0127703
1.2	1.6	10	12	0.996987	0.002528	 0.00463839
1.6	2.1	10	12	0.925494	0.0129494	 0.0141332
2.1	2.4	10	12	0.954774	0.0126391	 0.0153797
-2.4	-2.1	12	14	0.949403	0.0153987	 0.0176534
-2.1	-1.6	12	14	0.937058	0.0102731	 0.0113725
-1.6	-1.2	12	14	0.990942	0.00383052	 0.00531379
-1.2	-0.8	12	14	0.966534	0.00865018	 0.0105126
-0.8	-0.3	12	14	0.982633	0.00662915	 0.00887916
-0.3	-0.2	12	14	0.872633	0.0469129	 0.0597108
-0.2	0.2	12	14	0.957934	0.0139323	 0.0176783
0.2	0.3	12	14	0.853028	0.0507491	 0.0642046
0.3	0.8	12	14	0.986927	0.00695375	 0.00964451
0.8	1.2	12	14	0.976699	0.00979484	 0.0119224
1.2	1.6	12	14	0.988948	0.00423062	 0.00565099
1.6	2.1	12	14	0.918915	0.0115718	 0.0127087
2.1	2.4	12	14	0.920859	0.0163912	 0.0175486
-2.4	-2.1	14	16	0.962416	0.00854016	 0.0100205
-2.1	-1.6	14	16	0.937561	0.00827971	 0.00899795
-1.6	-1.2	14	16	0.986872	0.00409596	 0.00515902
-1.2	-0.8	14	16	0.964835	0.00806591	 0.00959556
-0.8	-0.3	14	16	0.985673	0.00475339	 0.00612088
-0.3	-0.2	14	16	0.85066	0.0421742	 0.0475031
-0.2	0.2	14	16	0.970595	0.011948	 0.0144051
0.2	0.3	14	16	0.852193	0.0432959	 0.0499604
0.3	0.8	14	16	0.990347	0.00369768	 0.00500048
0.8	1.2	14	16	0.962513	0.00790173	 0.00896279
1.2	1.6	14	16	0.986299	0.00522805	 0.00638484
1.6	2.1	14	16	0.929446	0.00891518	 0.0096716
2.1	2.4	14	16	0.935188	0.0111909	 0.0125042
-2.4	-2.1	16	18	0.944253	0.0120985	 0.0131465
-2.1	-1.6	16	18	0.926894	0.00868723	 0.00868723
-1.6	-1.2	16	18	0.990999	0.00357184	 0.00360726
-1.2	-0.8	16	18	0.956843	0.00780202	 0.00830388
-0.8	-0.3	16	18	0.979648	0.00469136	 0.00560784
-0.3	-0.2	16	18	0.905516	0.0341125	 0.0504834
-0.2	0.2	16	18	0.966141	0.00823411	 0.00952582
0.2	0.3	16	18	0.909105	0.0440099	 0.02839
0.3	0.8	16	18	0.980697	0.00455967	 0.00542189
0.8	1.2	16	18	0.957197	0.00824792	 0.00920004
1.2	1.6	16	18	0.995602	0.00239688	 0.00320017
1.6	2.1	16	18	0.959983	0.00752788	 0.0081784
2.1	2.4	16	18	0.926461	0.0103879	 0.0113989
-2.4	-2.1	18	20	0.940584	0.00874843	 0.0095684
-2.1	-1.6	18	20	0.930974	0.00760366	 0.00804702
-1.6	-1.2	18	20	0.99255	0.00240032	 0.00288268
-1.2	-0.8	18	20	0.945188	0.000110869	 0.000110869
-0.8	-0.3	18	20	0.985092	0.00323064	 0.00376842
-0.3	-0.2	18	20	0.869204	0.0290105	 0.0289293
-0.2	0.2	18	20	0.959549	0.00846756	 0.00916236
0.2	0.3	18	20	0.907824	0.0229555	 0.0258129
0.3	0.8	18	20	0.984422	0.00330969	 0.00384564
0.8	1.2	18	20	0.958638	-0	 -0
1.2	1.6	18	20	0.990703	0.00252778	 0.00307672
1.6	2.1	18	20	0.926214	0.00779122	 0.00842748
2.1	2.4	18	20	0.94208	0.0091915	 0.00989844
-2.4	-2.1	20	25	0.940713	0.00458241	 0.00473094
-2.1	-1.6	20	25	0.934352	0.00355631	 0.0036105
-1.6	-1.2	20	25	0.991271	0.00145054	 0.00156342
-1.2	-0.8	20	25	0.95558	0.00336623	 0.00371375
-0.8	-0.3	20	25	0.984126	0.00161641	 0.00172755
-0.3	-0.2	20	25	0.873727	0.010766	 0.0111571
-0.2	0.2	20	25	0.977802	0.0023943	 0.00263727
0.2	0.3	20	25	0.891363	0.0116318	 0.0110293
0.3	0.8	20	25	0.989744	0.00155264	 0.00165932
0.8	1.2	20	25	0.960949	0.00287115	 0.00301597
1.2	1.6	20	25	0.992964	0.00119207	 0.0013407
1.6	2.1	20	25	0.937332	0.00360526	 0.00362204
2.1	2.4	20	25	0.938528	0.00484471	 0.00502847
-2.4	-2.1	25	30	0.945338	0.00409238	 0.00470969
-2.1	-1.6	25	30	0.936321	0.0029546	 0.00300211
-1.6	-1.2	25	30	0.993042	0.00096192	 0.00105696
-1.2	-0.8	25	30	0.956531	0.00257578	 0.00260973
-0.8	-0.3	25	30	0.98347	0.00122258	 0.00127375
-0.3	-0.2	25	30	0.875008	0.00722178	 0.00736833
-0.2	0.2	25	30	0.978808	0.00161593	 0.00164402
0.2	0.3	25	30	0.868906	0.00712365	 0.00736711
0.3	0.8	25	30	0.988155	0.00127248	 0.00132659
0.8	1.2	25	30	0.961124	0.00241187	 0.00242308
1.2	1.6	25	30	0.988512	0.00132872	 0.00139841
1.6	2.1	25	30	0.937664	0.00271209	 0.00278915
2.1	2.4	25	30	0.940572	0.00433288	 0.00447951
-2.4	-2.1	30	35	0.952763	0.00324026	 0.00331957
-2.1	-1.6	30	35	0.936626	0.00249218	 0.00251434
-1.6	-1.2	30	35	0.991669	0.000938616	 0.000991413
-1.2	-0.8	30	35	0.953751	0.00210421	 0.00213394
-0.8	-0.3	30	35	0.982546	0.000989829	 0.00102422
-0.3	-0.2	30	35	0.872733	0.00577291	 0.00581371
-0.2	0.2	30	35	0.976162	0.00121595	 0.00124898
0.2	0.3	30	35	0.862544	0.00566337	 0.00574081
0.3	0.8	30	35	0.984454	0.00102746	 0.00103632
0.8	1.2	30	35	0.958619	-0	 -0
1.2	1.6	30	35	0.991267	0.000906351	 0.000978816
1.6	2.1	30	35	0.938696	0.00240269	 0.00241584
2.1	2.4	30	35	0.939961	0.00356868	 0.00361479
-2.4	-2.1	35	40	0.950499	0.00290638	 0.0030641
-2.1	-1.6	35	40	0.934068	0.00219522	 0.00220659
-1.6	-1.2	35	40	0.991766	0.00080438	 0.000827509
-1.2	-0.8	35	40	0.954676	0.00159102	 0.00161592
-0.8	-0.3	35	40	0.984606	0.0008605	 0.000886754
-0.3	-0.2	35	40	0.873159	3.85581e-05	 3.85581e-05
-0.2	0.2	35	40	0.977183	0.00111449	 0.00111794
0.2	0.3	35	40	0.87509	0.00491979	 0.00503409
0.3	0.8	35	40	0.988075	0.000725313	 0.000728337
0.8	1.2	35	40	0.9608	0.0015669	 0.00157958
1.2	1.6	35	40	0.990935	0.000777388	 0.000823263
1.6	2.1	35	40	0.934941	0.00218797	 0.00217648
2.1	2.4	35	40	0.942319	0.00313273	 0.00317489
-2.4	-2.1	40	60	0.948747	0.00186634	 0.00189545
-2.1	-1.6	40	60	0.935554	0.00130139	 0.00130495
-1.6	-1.2	40	60	0.991524	0.000445576	 0.000454988
-1.2	-0.8	40	60	0.953321	0.00104332	 0.00104214
-0.8	-0.3	40	60	0.984127	-0	 -0
-0.3	-0.2	40	60	0.870968	0.00320605	 0.00328721
-0.2	0.2	40	60	0.977289	0.000727896	 0.000743838
0.2	0.3	40	60	0.869966	0.00303568	 0.00307785
0.3	0.8	40	60	0.985135	0.000535324	 0.00053758
0.8	1.2	40	60	0.958857	0.00100205	 0.00101168
1.2	1.6	40	60	0.991195	0.000483264	 0.00045636
1.6	2.1	40	60	0.938189	0.00127356	 0.0012795
2.1	2.4	40	60	0.948426	0.00186665	 0.00190474
-2.4	-2.1	60	100	0.952745	0.005687	 0.00592554
-2.1	-1.6	60	100	0.939083	0.00388131	 0.00391416
-1.6	-1.2	60	100	0.993233	0.00116817	 0.00131433
-1.2	-0.8	60	100	0.949035	0.00336713	 0.00345739
-0.8	-0.3	60	100	0.987708	0.00144213	 0.00154566
-0.3	-0.2	60	100	0.866975	0.00964294	 0.00964294
-0.2	0.2	60	100	0.975286	0.00225077	 0.00238224
0.2	0.3	60	100	0.851423	0.0100093	 0.0107978
0.3	0.8	60	100	0.988003	0.00126693	 0.00135861
0.8	1.2	60	100	0.957227	0.00277147	 0.00291712
1.2	1.6	60	100	0.987223	0.00181328	 0.00193617
1.6	2.1	60	100	0.939636	0.00351572	 0.00360469
2.1	2.4	60	100	0.935415	0.0066055	 0.00689402
-2.4	-2.1	100	200	0.9215	0.0219333	 0.024395
-2.1	-1.6	100	200	0.914019	0.0126471	 0.0137946
-1.6	-1.2	100	200	0.991584	0.00322266	 0.00430769
-1.2	-0.8	100	200	0.955178	0.00757103	 0.0104604
-0.8	-0.3	100	200	0.978329	0.00445603	 0.00515032
-0.3	-0.2	100	200	0.836151	0.0268894	 0.0294871
-0.2	0.2	100	200	0.980064	0.00487068	 0.00580585
0.2	0.3	100	200	0.838636	0.0257756	 0.0284197
0.3	0.8	100	200	0.98472	0.00855691	 0.00442018
0.8	1.2	100	200	0.963708	0.00778929	 0.0088334
1.2	1.6	100	200	0.987926	0.0040904	 0.0054747
1.6	2.1	100	200	0.953668	0.0125977	 0.0142929
2.1	2.4	100	200	0.939035	0.0212386	 0.0230279
