etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	12	0.952285	0.0135923	 0.0157234
-2.1	-1.6	10	12	0.916585	0.0134865	 0.0148171
-1.6	-1.2	10	12	0.993268	0.00371188	 0.00589302
-1.2	-0.8	10	12	0.979452	0.00794172	 0.0105993
-0.8	-0.3	10	12	0.979573	0.00960133	 0.0140619
-0.3	-0.2	10	12	0.687518	0.10654	 0.121919
-0.2	0.2	10	12	0.989361	0.00741718	 0.0142622
0.2	0.3	10	12	0.911945	0.0477625	 0.0729356
0.3	0.8	10	12	0.958953	0.0146528	 0.0191055
0.8	1.2	10	12	0.974635	0.00965685	 0.0128947
1.2	1.6	10	12	0.996954	0.00255602	 0.00468732
1.6	2.1	10	12	0.923555	0.0133035	 0.0144832
2.1	2.4	10	12	0.953446	0.0130053	 0.015832
-2.4	-2.1	12	14	0.953689	0.0151203	 0.0173787
-2.1	-1.6	12	14	0.936924	0.0103637	 0.0115262
-1.6	-1.2	12	14	0.990907	0.0038454	 0.00533437
-1.2	-0.8	12	14	0.96606	0.00880362	 0.01059
-0.8	-0.3	12	14	0.982578	0.00664904	 0.00891219
-0.3	-0.2	12	14	0.872633	0.0469129	 0.0597108
-0.2	0.2	12	14	0.957751	0.0139383	 0.01789
0.2	0.3	12	14	0.853028	0.0507491	 0.0642046
0.3	0.8	12	14	0.98687	0.00697724	 0.00965449
0.8	1.2	12	14	0.976459	0.00895588	 0.0105604
1.2	1.6	12	14	0.991003	0.0037743	 0.00524564
1.6	2.1	12	14	0.922828	0.011457	 0.0125952
2.1	2.4	12	14	0.930491	0.0162397	 0.0176374
-2.4	-2.1	14	16	0.963899	0.00888786	 0.010672
-2.1	-1.6	14	16	0.939629	0.00820437	 0.00889998
-1.6	-1.2	14	16	0.986784	0.00497169	 0.00517778
-1.2	-0.8	14	16	0.964824	0.00807422	 0.00958326
-0.8	-0.3	14	16	0.985519	0.00480091	 0.00618126
-0.3	-0.2	14	16	0.85066	0.0421742	 0.0475031
-0.2	0.2	14	16	0.970595	0.011948	 0.0144051
0.2	0.3	14	16	0.865516	0.0424562	 0.0484914
0.3	0.8	14	16	0.9903	0.00372431	 0.00501293
0.8	1.2	14	16	0.960736	0.00768869	 0.00883158
1.2	1.6	14	16	0.98939	0.00450321	 0.00570427
1.6	2.1	14	16	0.930652	0.00884419	 0.00960253
2.1	2.4	14	16	0.934206	0.0112983	 0.0127687
-2.4	-2.1	16	18	0.940633	0.0124581	 0.0135262
-2.1	-1.6	16	18	0.927414	0.00805697	 0.00865577
-1.6	-1.2	16	18	0.992557	0.00338883	 0.00382079
-1.2	-0.8	16	18	0.958283	0.00777136	 0.00831413
-0.8	-0.3	16	18	0.979498	0.00474146	 0.00562967
-0.3	-0.2	16	18	0.905925	0.0341274	 0.0503938
-0.2	0.2	16	18	0.965997	0.00826319	 0.00955941
0.2	0.3	16	18	0.909105	0.0440099	 0.02839
0.3	0.8	16	18	0.980698	0.00457575	 0.00539631
0.8	1.2	16	18	0.956614	0.00839748	 0.00925159
1.2	1.6	16	18	0.99559	0.00240551	 0.00320301
1.6	2.1	16	18	0.959529	0.00762033	 0.00827579
2.1	2.4	16	18	0.924609	0.0106394	 0.0116388
-2.4	-2.1	18	20	0.940738	0.00884443	 0.00970686
-2.1	-1.6	18	20	0.929341	0.00694346	 0.00744438
-1.6	-1.2	18	20	0.992521	-0	 -0
-1.2	-0.8	18	20	0.94648	0.00630314	 0.00682025
-0.8	-0.3	18	20	0.985027	0.003244	 0.00378501
-0.3	-0.2	18	20	0.868424	0.0290883	 0.0320898
-0.2	0.2	18	20	0.960406	0.00829038	 0.00902392
0.2	0.3	18	20	0.908076	0.0229239	 0.0257437
0.3	0.8	18	20	0.984334	0.00333425	 0.00385987
0.8	1.2	18	20	0.959435	-0	 -0
1.2	1.6	18	20	0.9907	0.00252375	 0.00308441
1.6	2.1	18	20	0.926162	0.00780052	 0.00861144
2.1	2.4	18	20	0.942257	0.00931385	 0.010035
-2.4	-2.1	20	25	0.939699	0.00467043	 0.00480357
-2.1	-1.6	20	25	0.934655	0.00353954	 0.00361078
-1.6	-1.2	20	25	0.991724	0.00142253	 0.00153601
-1.2	-0.8	20	25	0.955738	0.00341913	 0.00369351
-0.8	-0.3	20	25	0.984406	0.00160266	 0.00171019
-0.3	-0.2	20	25	0.876135	0.0108369	 0.0110591
-0.2	0.2	20	25	0.978599	0.00234405	 0.00254365
0.2	0.3	20	25	0.891196	0.0116728	 0.0109964
0.3	0.8	20	25	0.990224	0.00152144	 0.00162671
0.8	1.2	20	25	0.961051	0.00287798	 0.00301068
1.2	1.6	20	25	0.993163	0.00117451	 0.00132812
1.6	2.1	20	25	0.937243	0.00364102	 0.00361986
2.1	2.4	20	25	0.939537	0.00480932	 0.0050175
-2.4	-2.1	25	30	0.944375	0.00524176	 0.00389324
-2.1	-1.6	25	30	0.936191	0.00296013	 0.00300158
-1.6	-1.2	25	30	0.99302	0.000965354	 0.00105895
-1.2	-0.8	25	30	0.956777	0.0025554	 0.00261723
-0.8	-0.3	25	30	0.98353	0.00121755	 0.00127762
-0.3	-0.2	25	30	0.87493	0.00721959	 0.00736342
-0.2	0.2	25	30	0.979193	0.00160813	 0.00164847
0.2	0.3	25	30	0.868971	0.0071282	 0.0073482
0.3	0.8	25	30	0.988267	0.00129872	 0.00130721
0.8	1.2	25	30	0.961174	0.00242664	 0.00242336
1.2	1.6	25	30	0.988765	0.0013081	 0.00139121
1.6	2.1	25	30	0.937782	0.00271405	 0.00279453
2.1	2.4	25	30	0.940764	0.00445529	 0.00428332
-2.4	-2.1	30	35	0.953746	0.00323655	 0.00331047
-2.1	-1.6	30	35	0.936719	0.00249388	 0.0025111
-1.6	-1.2	30	35	0.991754	0.000941114	 0.000987813
-1.2	-0.8	30	35	0.954125	0.00209913	 0.00212906
-0.8	-0.3	30	35	0.982736	0.000984502	 0.00102095
-0.3	-0.2	30	35	0.872846	0.00572111	 0.00580863
-0.2	0.2	30	35	0.976399	0.00121272	 0.0012445
0.2	0.3	30	35	0.862819	0.00565626	 0.00574058
0.3	0.8	30	35	0.984455	0.0010666	 0.000975702
0.8	1.2	30	35	0.958544	0.0019594	 0.00197529
1.2	1.6	30	35	0.991239	0.000910375	 0.000980538
1.6	2.1	30	35	0.938807	0.00239348	 0.00241351
2.1	2.4	30	35	0.940437	0.003475	 0.00353911
-2.4	-2.1	35	40	0.950262	0.00287682	 0.00293932
-2.1	-1.6	35	40	0.934032	0.00220409	 0.00220172
-1.6	-1.2	35	40	0.992053	0.000795865	 0.000821542
-1.2	-0.8	35	40	0.954888	0.00158332	 0.00161567
-0.8	-0.3	35	40	0.984758	0.000859033	 0.000883496
-0.3	-0.2	35	40	0.87323	0.000355451	 0.000355451
-0.2	0.2	35	40	0.977538	0.0011077	 0.0011091
0.2	0.3	35	40	0.875183	0.00492816	 0.00503296
0.3	0.8	35	40	0.988137	0.000721263	 0.000726386
0.8	1.2	35	40	0.961131	0.00156138	 0.00157554
1.2	1.6	35	40	0.991125	0.00076951	 0.000818383
1.6	2.1	35	40	0.934846	0.00216611	 0.00219407
2.1	2.4	35	40	0.943482	0.00306501	 0.00310927
-2.4	-2.1	40	60	0.949162	0.00186159	 0.00189268
-2.1	-1.6	40	60	0.935558	0.000197955	 0.00110471
-1.6	-1.2	40	60	0.991584	0.000455413	 0.000455413
-1.2	-0.8	40	60	0.953547	0.00102237	 0.00101863
-0.8	-0.3	40	60	0.984302	0.000543082	 0.000554346
-0.3	-0.2	40	60	0.871147	-0	 -0
-0.2	0.2	40	60	0.977603	0.000719696	 0.000737369
0.2	0.3	40	60	0.869995	0.00303352	 0.00308287
0.3	0.8	40	60	0.985206	0.000533658	 0.000537654
0.8	1.2	40	60	0.959041	0.00100068	 0.00100825
1.2	1.6	40	60	0.991307	0.00161927	 0.00161927
1.6	2.1	40	60	0.938285	0.00127516	 0.00127771
2.1	2.4	40	60	0.948847	0.00187312	 0.00190811
-2.4	-2.1	60	100	0.95442	0.00553881	 0.00581238
-2.1	-1.6	60	100	0.939184	0.00387229	 0.00390288
-1.6	-1.2	60	100	0.993232	0.00116623	 0.00131789
-1.2	-0.8	60	100	0.949261	0.00337943	 0.0034284
-0.8	-0.3	60	100	0.987538	0.00144855	 0.00156125
-0.3	-0.2	60	100	0.866949	0.00978307	 0.00978307
-0.2	0.2	60	100	0.975812	0.00222592	 0.00254242
0.2	0.3	60	100	0.851423	0.0100093	 0.0107978
0.3	0.8	60	100	0.987991	0.00127248	 0.00135476
0.8	1.2	60	100	0.95734	0.00278844	 0.00289546
1.2	1.6	60	100	0.987277	0.00182302	 0.00191247
1.6	2.1	60	100	0.939969	0.00351202	 0.00359896
2.1	2.4	60	100	0.936462	0.0066081	 0.00694718
-2.4	-2.1	100	200	0.923348	0.0211346	 0.023519
-2.1	-1.6	100	200	0.91348	0.0123404	 0.0135402
-1.6	-1.2	100	200	0.991586	0.00321172	 0.00433116
-1.2	-0.8	100	200	0.955178	0.00757103	 0.0104604
-0.8	-0.3	100	200	0.978329	0.00445603	 0.00515032
-0.3	-0.2	100	200	0.836151	0.0268894	 0.0294871
-0.2	0.2	100	200	0.97998	0.00489055	 0.0058312
0.2	0.3	100	200	0.838636	0.0257756	 0.0284197
0.3	0.8	100	200	0.984562	0.00374607	 0.00446371
0.8	1.2	100	200	0.963708	0.00778929	 0.0088334
1.2	1.6	100	200	0.987926	0.0040904	 0.0054747
1.6	2.1	100	200	0.953668	0.0125977	 0.0142929
2.1	2.4	100	200	0.941978	0.0199795	 0.0224869
