etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	12	0.946517	0.0114167	 0.0130776
-2.1	-1.6	10	12	0.94852	0.00955129	 0.010575
-1.6	-1.2	10	12	0.977899	0.00743839	 0.0099735
-1.2	-0.8	10	12	0.956385	0.0119184	 0.0136837
-0.8	-0.3	10	12	0.951211	0.0149025	 0.0177517
-0.3	-0.2	10	12	0.722069	0.0937263	 0.0946185
-0.2	0.2	10	12	0.923708	0.0262935	 0.0280774
0.2	0.3	10	12	0.908089	0.0424425	 0.0596922
0.3	0.8	10	12	0.965944	0.0101037	 0.0126305
0.8	1.2	10	12	0.941587	0.013199	 0.013199
1.2	1.6	10	12	0.988846	0.00524822	 0.00666548
1.6	2.1	10	12	0.953657	0.00758896	 0.00852568
2.1	2.4	10	12	0.929302	0.0150622	 0.0169976
-2.4	-2.1	12	14	0.957734	0.00805257	 0.00922255
-2.1	-1.6	12	14	0.961163	0.00727113	 0.00797968
-1.6	-1.2	12	14	0.984548	0.00459479	 0.00554765
-1.2	-0.8	12	14	0.957861	0.00826912	 0.00929228
-0.8	-0.3	12	14	0.971668	0.00886226	 0.0106747
-0.3	-0.2	12	14	0.840586	0.0516475	 0.0582673
-0.2	0.2	12	14	0.978821	0.00806844	 0.0107967
0.2	0.3	12	14	0.728245	0.0528248	 0.0662298
0.3	0.8	12	14	0.964632	0.00765359	 0.00892614
0.8	1.2	12	14	0.947567	0.00883183	 0.00973188
1.2	1.6	12	14	0.974259	0.00569992	 0.00670904
1.6	2.1	12	14	0.95608	0.00672512	 0.0078175
2.1	2.4	12	14	0.944821	0.0100375	 0.0110444
-2.4	-2.1	14	16	0.936846	0.00891277	 0.00953216
-2.1	-1.6	14	16	0.948953	0.00682386	 0.00723632
-1.6	-1.2	14	16	0.987902	0.0032963	 0.00392302
-1.2	-0.8	14	16	0.937818	0.007944	 0.00856502
-0.8	-0.3	14	16	0.950264	0.00804165	 0.00860636
-0.3	-0.2	14	16	0.807866	0.0382354	 0.0411784
-0.2	0.2	14	16	0.928235	0.0130353	 0.015792
0.2	0.3	14	16	0.857761	0.0371153	 0.0433316
0.3	0.8	14	16	0.966909	0.00643572	 0.00738118
0.8	1.2	14	16	0.955698	0.0067346	 0.00747674
1.2	1.6	14	16	0.975893	0.00510225	 0.0057544
1.6	2.1	14	16	0.953666	-0	 -0
2.1	2.4	14	16	0.94994	0.00894004	 0.00972999
-2.4	-2.1	16	18	0.936732	0.00804803	 0.0088353
-2.1	-1.6	16	18	0.952349	0.0051225	 0.00552116
-1.6	-1.2	16	18	0.985718	0.00295273	 0.00341629
-1.2	-0.8	16	18	0.95738	0.00582009	 0.0061858
-0.8	-0.3	16	18	0.965689	0.0050352	 0.00553625
-0.3	-0.2	16	18	0.731647	0.0325471	 0.0347593
-0.2	0.2	16	18	0.933822	0.0100969	 0.0107324
0.2	0.3	16	18	0.742714	0.0372109	 0.0412583
0.3	0.8	16	18	0.948577	0.00600375	 0.00647058
0.8	1.2	16	18	0.94805	0.00604391	 0.00654211
1.2	1.6	16	18	0.979187	0.0037601	 0.00429479
1.6	2.1	16	18	0.948734	0.00506721	 0.00540626
2.1	2.4	16	18	0.927949	0.00965273	 0.0101095
-2.4	-2.1	18	20	0.942848	0.0067333	 0.00686074
-2.1	-1.6	18	20	0.948722	0.00500225	 0.00500264
-1.6	-1.2	18	20	0.985339	0.00264503	 0.00301723
-1.2	-0.8	18	20	0.952703	0.00579091	 0.00616953
-0.8	-0.3	18	20	0.960412	0.00454	 0.00485303
-0.3	-0.2	18	20	0.784721	0.0253228	 0.0270547
-0.2	0.2	18	20	0.944229	0.0086023	 0.00964604
0.2	0.3	18	20	0.798937	0.0213445	 0.0221576
0.3	0.8	18	20	0.968114	0.00414286	 0.00441484
0.8	1.2	18	20	0.944139	0.00541702	 0.00575326
1.2	1.6	18	20	0.981906	0.00352277	 0.00390807
1.6	2.1	18	20	0.954516	0.00485154	 0.00507258
2.1	2.4	18	20	0.940245	0.0070654	 0.00753414
-2.4	-2.1	20	25	0.950611	0.00330164	 0.00344737
-2.1	-1.6	20	25	0.955734	0.0024937	 0.00258352
-1.6	-1.2	20	25	0.984291	0.00141555	 0.00150218
-1.2	-0.8	20	25	0.953561	0.00275018	 0.00274845
-0.8	-0.3	20	25	0.966901	0.00203687	 0.0021052
-0.3	-0.2	20	25	0.759785	0.0110018	 0.0112382
-0.2	0.2	20	25	0.948174	0.0028212	 0.00290923
0.2	0.3	20	25	0.809163	0.0101538	 0.0104534
0.3	0.8	20	25	0.962636	0.00227414	 0.00234062
0.8	1.2	20	25	0.95115	0.00276024	 0.00282804
1.2	1.6	20	25	0.979361	0.00168284	 0.00176945
1.6	2.1	20	25	0.958663	0.00226276	 0.00230048
2.1	2.4	20	25	0.945282	0.00350292	 0.00362783
-2.4	-2.1	25	30	0.95509	0.00303367	 0.00314023
-2.1	-1.6	25	30	0.950617	0.00208482	 0.00208385
-1.6	-1.2	25	30	0.984376	0.00132226	 0.00137837
