etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	14	0.972633	0.0150078	 0.023611
-2.1	-1.6	10	14	0.947205	0.0173413	 0.0219982
-1.6	-1.2	10	14	0.980014	0.0199865	 0.0246191
-1.2	-0.8	10	14	0.911646	0.0340544	 0.0437317
-0.8	-0.3	10	14	1	2.62457e-13	 0.00879073
-0.3	0.3	10	14	0.886612	0.0541311	 0.0652388
0.3	0.8	10	14	0.949761	0.0254608	 0.0356958
0.8	1.2	10	14	0.874987	0.0488529	 0.0504193
1.2	1.6	10	14	0.966977	0.0167546	 0.0236974
1.6	2.1	10	14	0.944391	0.0193668	 0.0248262
2.1	2.4	10	14	0.954773	0.0210858	 0.0301835
-2.4	-2.1	14	17	0.955666	0.0208202	 0.0251576
-2.1	-1.6	14	17	0.987711	0.0122888	 0.0261262
-1.6	-1.2	14	17	0.991987	0.00598439	 0.0108092
-1.2	-0.8	14	17	0.869233	0.03014	 0.0333415
-0.8	-0.3	14	17	0.982144	0.014169	 0.0206688
-0.3	0.3	14	17	0.946001	0.0221062	 0.0286168
0.3	0.8	14	17	0.920677	0.0231404	 0.0284762
0.8	1.2	14	17	0.93748	0.0202791	 0.0255363
1.2	1.6	14	17	0.986113	0.00762979	 0.0121019
1.6	2.1	14	17	0.952826	0.0193339	 0.0225525
2.1	2.4	14	17	0.966048	0.0158507	 0.0230639
-2.4	-2.1	17	20	0.951508	0.0169591	 0.0218081
-2.1	-1.6	17	20	0.940121	0.0148221	 0.0176105
-1.6	-1.2	17	20	0.978896	0.00883031	 0.0122577
-1.2	-0.8	17	20	0.905902	0.0197729	 0.0226095
-0.8	-0.3	17	20	0.987921	0.0090557	 0.011658
-0.3	0.3	17	20	0.915537	0.0210062	 0.0235802
0.3	0.8	17	20	0.969939	0.0112898	 0.0142728
0.8	1.2	17	20	0.891619	0.0228293	 0.0263892
1.2	1.6	17	20	0.995536	0.00402304	 0.00701696
1.6	2.1	17	20	0.951131	0.0125462	 0.0150258
2.1	2.4	17	20	0.901004	0.0254497	 0.0304371
-2.4	-2.1	20	22	0.969781	0.0156535	 0.0186437
-2.1	-1.6	20	22	0.977509	0.00856308	 0.0115397
-1.6	-1.2	20	22	0.989465	0.00579742	 0.00919192
-1.2	-0.8	20	22	0.904984	0.0206339	 0.0238425
-0.8	-0.3	20	22	0.980429	0.00859513	 0.0112636
-0.3	0.3	20	22	0.889422	0.0187632	 0.0208758
0.3	0.8	20	22	0.941703	0.0143845	 0.0170335
0.8	1.2	20	22	0.889179	0.022455	 0.0255627
1.2	1.6	20	22	0.979637	0.00848299	 0.0118389
1.6	2.1	20	22	0.964189	0.0110319	 0.013928
2.1	2.4	20	22	0.972104	0.0130849	 0.0189062
-2.4	-2.1	22	30	0.978205	0.00553753	 0.00564154
-2.1	-1.6	22	30	0.969996	0.000283588	 0.000283588
-1.6	-1.2	22	30	0.987012	0.00367374	 0.00411776
-1.2	-0.8	22	30	0.897374	0.00925374	 0.00937444
-0.8	-0.3	22	30	0.9791	0.00312003	 0.00345604
-0.3	0.3	22	30	0.899192	0.000345162	 0.000345162
0.3	0.8	22	30	0.968728	0.00383048	 0.00417829
0.8	1.2	22	30	0.901455	0.0085156	 0.00891635
1.2	1.6	22	30	0.967829	0.00471371	 0.00522533
1.6	2.1	22	30	0.950432	0.00596855	 0.00648937
2.1	2.4	22	30	0.957636	0.00693244	 0.007653
-2.4	-2.1	30	50	0.97456	0.00290773	 0.0030125
-2.1	-1.6	30	50	0.963282	0.0022637	 0.00228952
-1.6	-1.2	30	50	0.98539	0.00133226	 0.00141361
-1.2	-0.8	30	50	0.883246	0.00355154	 0.00357923
-0.8	-0.3	30	50	0.971666	0.0016282	 0.00165184
-0.3	0.3	30	50	0.907487	0.00243066	 0.00243066
0.3	0.8	30	50	0.971168	0.00167984	 0.00176518
0.8	1.2	30	50	0.879802	0.0036918	 0.00372306
1.2	1.6	30	50	0.978977	0.00176825	 0.00181059
1.6	2.1	30	50	0.963676	0.0021711	 0.00222359
2.1	2.4	30	50	0.954327	-0	 -0
-2.4	-2.1	50	80	0.985135	0.00472264	 0.00565737
-2.1	-1.6	50	80	0.963321	0.00471796	 0.00514871
-1.6	-1.2	50	80	0.988775	0.00263242	 0.00302618
-1.2	-0.8	50	80	0.860684	0.00908213	 0.00936564
-0.8	-0.3	50	80	0.967688	0.00358706	 0.00387422
-0.3	0.3	50	80	0.906416	0.00582307	 0.00602635
0.3	0.8	50	80	0.969757	0.00396099	 0.00418822
0.8	1.2	50	80	0.877633	0.00851906	 0.00869825
1.2	1.6	50	80	0.978265	0.00345707	 0.00386553
1.6	2.1	50	80	0.953238	0.00548271	 0.00587424
2.1	2.4	50	80	0.950004	0.00910132	 0.00996426
-2.4	-2.1	80	200	0.935719	0.0266078	 0.0358719
-2.1	-1.6	80	200	0.970574	0.011975	 0.0156138
-1.6	-1.2	80	200	0.990214	0.00759404	 0.0107301
-1.2	-0.8	80	200	0.908882	0.0178832	 0.0203457
-0.8	-0.3	80	200	0.98135	0.00660217	 0.00859352
-0.3	0.3	80	200	0.914142	0.0161196	 0.0179174
0.3	0.8	80	200	0.955037	0.0109546	 0.012972
0.8	1.2	80	200	0.876842	0.0220717	 0.0245004
1.2	1.6	80	200	0.97064	0.0117285	 0.0154849
1.6	2.1	80	200	0.949244	0.0148327	 0.0181593
2.1	2.4	80	200	1	3.77476e-15	 0.0166181
