etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	12	0.626784	0.0511039	 0.046814
-2.1	-1.6	10	12	0.7021	0.0413444	 0.038515
-1.6	-1.2	10	12	0.758283	0.0566527	 0.0519205
-1.2	-0.8	10	12	0.646985	0.0486987	 0.0447604
-0.8	-0.3	10	12	0.64037	0.0754205	 0.0648259
-0.3	0.3	10	12	0.793632	0.206368	 0.140157
0.3	0.8	10	12	0.650535	0.0764833	 0.0653205
0.8	1.2	10	12	0.618437	0.00217319	 0.00217319
1.2	1.6	10	12	0.671399	0.0475183	 0.0436974
1.6	2.1	10	12	0.711246	0.0403279	 0.0377233
2.1	2.4	10	12	0.593954	0.047346	 0.04401
-2.4	-2.1	12	14	0.719248	0.0415623	 0.0392804
-2.1	-1.6	12	14	0.767775	0.0286423	 0.0277792
-1.6	-1.2	12	14	0.819913	0.0345295	 0.0332902
-1.2	-0.8	12	14	0.681049	0.0311366	 0.0299473
-0.8	-0.3	12	14	0.549613	0.00130115	 0.00130115
-0.3	0.3	12	14	0.728061	0.0647731	 0.0571581
0.3	0.8	12	14	0.658268	0.0471569	 0.0433139
0.8	1.2	12	14	0.727083	0.0347058	 0.0331132
1.2	1.6	12	14	0.759315	0.0327908	 0.0316015
1.6	2.1	12	14	0.741733	0.0270585	 0.0262813
2.1	2.4	12	14	0.730173	0.0371914	 0.035206
-2.4	-2.1	14	16	0.710747	0.0276143	 0.0276918
-2.1	-1.6	14	16	0.791147	0.0212949	 0.0211277
-1.6	-1.2	14	16	0.793163	0.0245329	 0.0241183
-1.2	-0.8	14	16	0.757033	0.024783	 0.024315
-0.8	-0.3	14	16	0.706889	0.0286876	 0.0277451
-0.3	0.3	14	16	0.619612	0.0316781	 0.0302171
0.3	0.8	14	16	0.734558	0.0300272	 0.0289988
0.8	1.2	14	16	0.719116	0.0242773	 0.0237571
1.2	1.6	14	16	0.761728	0.0237943	 0.0234327
1.6	2.1	14	16	0.805299	0.0218154	 0.0216119
2.1	2.4	14	16	0.715513	0.0277774	 0.0273765
-2.4	-2.1	16	18	0.729781	0.0228577	 0.0226329
-2.1	-1.6	16	18	0.859847	0.0174217	 0.0174305
-1.6	-1.2	16	18	0.802461	0.0173486	 0.0172685
-1.2	-0.8	16	18	0.768773	0.0176079	 0.0174944
-0.8	-0.3	16	18	0.700867	0.0185675	 0.0183133
-0.3	0.3	16	18	0.66884	0.0220412	 0.0215205
0.3	0.8	16	18	0.703051	0.0190611	 0.0187608
0.8	1.2	16	18	0.781621	0.0185518	 0.0184731
1.2	1.6	16	18	0.847425	0.0182861	 0.0182484
1.6	2.1	16	18	0.801297	0.0154518	 0.015439
2.1	2.4	16	18	0.756586	0.0205885	 0.0205578
