etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	12	0.595881	0.0502421	 0.0462225
-2.1	-1.6	10	12	0.687671	0.0403056	 0.0377307
-1.6	-1.2	10	12	0.758456	0.0566735	 0.0518103
-1.2	-0.8	10	12	0.632229	0.0483879	 0.0445461
-0.8	-0.3	10	12	0.679401	0.0907426	 0.0724012
-0.3	0.3	10	12	0.837213	0.162787	 0.131163
0.3	0.8	10	12	0.653848	0.0770115	 0.0657944
0.8	1.2	10	12	0.606381	0.0490472	 0.0446863
1.2	1.6	10	12	0.657785	0.0467416	 0.0430254
1.6	2.1	10	12	0.702518	0.0404667	 0.0377964
2.1	2.4	10	12	0.587199	0.0500951	 0.0457332
-2.4	-2.1	12	14	0.700737	0.0401809	 0.0380961
-2.1	-1.6	12	14	0.748716	0.028467	 0.0275356
-1.6	-1.2	12	14	0.808665	0.0346946	 0.0331988
-1.2	-0.8	12	14	0.675213	0.0312305	 0.0299949
-0.8	-0.3	12	14	0.526772	0.0350925	 0.0331202
-0.3	0.3	12	14	0.668107	0.0577294	 0.0516228
0.3	0.8	12	14	0.672538	0.0497105	 0.0454655
0.8	1.2	12	14	0.72971	0.0352123	 0.0337096
1.2	1.6	12	14	0.743505	0.0325564	 0.0314478
1.6	2.1	12	14	0.742989	0.0273926	 0.0266131
2.1	2.4	12	14	0.704115	0.0372913	 0.0357995
-2.4	-2.1	14	16	0.711089	0.028684	 0.0280397
-2.1	-1.6	14	16	0.783265	0.0215334	 0.0212919
-1.6	-1.2	14	16	0.777645	0.0242919	 0.0238741
-1.2	-0.8	14	16	0.759149	0.0252063	 0.0247434
-0.8	-0.3	14	16	0.704042	0.0292406	 0.0282286
-0.3	0.3	14	16	0.608297	0.0318105	 0.0302601
0.3	0.8	14	16	0.731702	0.0301252	 0.029103
0.8	1.2	14	16	0.714561	0.0245833	 0.0241119
1.2	1.6	14	16	0.76306	0.0239705	 0.0236626
1.6	2.1	14	16	0.78977	0.0217971	 0.0214688
2.1	2.4	14	16	0.727408	0.0284921	 0.0278622
-2.4	-2.1	16	18	0.712736	0.0230861	 0.0228482
-2.1	-1.6	16	18	0.850075	0.0174717	 0.0174352
-1.6	-1.2	16	18	0.795364	0.0175975	 0.0175724
-1.2	-0.8	16	18	0.768638	0.017854	 0.0177731
-0.8	-0.3	16	18	0.709823	0.0186197	 0.0183446
-0.3	0.3	16	18	0.669512	0.0221163	 0.0216393
0.3	0.8	16	18	0.709979	0.0190882	 0.0188326
0.8	1.2	16	18	0.780589	0.0185608	 0.018441
1.2	1.6	16	18	0.849542	0.0184405	 0.0184263
1.6	2.1	16	18	0.798351	0.015783	 0.0157704
2.1	2.4	16	18	0.747137	0.0207655	 0.0206175
-2.4	-2.1	18	20	0.778477	0.0179385	 0.0179258
-2.1	-1.6	18	20	0.824744	0.000738747	 0.000738747
-1.6	-1.2	18	20	0.850238	0.013413	 0.0136311
-1.2	-0.8	18	20	0.796754	0.0140372	 0.0142312
-0.8	-0.3	18	20	0.785022	0.0144746	 0.0143736
-0.3	0.3	18	20	0.717883	0.0163484	 0.0161926
0.3	0.8	18	20	0.776111	0.0137362	 0.0137336
0.8	1.2	18	20	0.773152	0.0142656	 0.0143133
1.2	1.6	18	20	0.834318	0.0139124	 0.0139382
1.6	2.1	18	20	0.822481	0.0125039	 0.0125419
2.1	2.4	18	20	0.749485	0.0184727	 0.0183684
-2.4	-2.1	20	22	0.817158	0.0149884	 0.0162324
-2.1	-1.6	20	22	0.875054	0.010067	 0.0101301
-1.6	-1.2	20	22	0.843326	0.0110899	 0.0112258
-1.2	-0.8	20	22	0.840384	0.0109576	 0.0110367
-0.8	-0.3	20	22	0.805544	0.0103348	 0.0104028
-0.3	0.3	20	22	0.776953	0.0115539	 0.0115413
0.3	0.8	20	22	0.799985	0.010976	 0.0111025
0.8	1.2	20	22	0.846063	0.0116206	 0.0116985
1.2	1.6	20	22	0.854103	0.0107903	 0.0109759
1.6	2.1	20	22	0.840884	0.00995532	 0.0100627
2.1	2.4	20	22	0.795482	0.0143062	 0.0145092
-2.4	-2.1	22	24	0.830628	0.0123708	 0.0125302
-2.1	-1.6	22	24	0.873205	0.00815613	 0.00827841
-1.6	-1.2	22	24	0.885017	0.00911678	 0.00911678
-1.2	-0.8	22	24	0.865029	0.00872654	 0.00880413
-0.8	-0.3	22	24	0.832844	0.000466216	 0.000466216
-0.3	0.3	22	24	0.806512	0.00810685	 0.00814521
0.3	0.8	22	24	0.84915	0.00813253	 0.00819856
0.8	1.2	22	24	0.85386	0.00898899	 0.00908342
1.2	1.6	22	24	0.884629	0.00894592	 0.00908319
1.6	2.1	22	24	0.88213	0.000481728	 0.000481728
2.1	2.4	22	24	0.820889	0.0124503	 0.0125227
-2.4	-2.1	24	26	0.839355	0.0109457	 0.0111292
-2.1	-1.6	24	26	0.885256	0.00701877	 0.0071335
-1.6	-1.2	24	26	0.904981	0.00717508	 0.00732344
-1.2	-0.8	24	26	0.887382	0.00737741	 0.00749363
-0.8	-0.3	24	26	0.849347	0.00674792	 0.00679015
-0.3	0.3	24	26	0.843186	0.00619783	 0.00625015
0.3	0.8	24	26	0.867817	0.00658073	 0.00666327
0.8	1.2	24	26	0.878199	0.00764363	 0.00774679
1.2	1.6	24	26	0.895245	0.00730278	 0.00747515
1.6	2.1	24	26	0.891731	0.00681174	 0.00694324
2.1	2.4	24	26	0.838515	0.000614125	 0.000614125
-2.4	-2.1	26	30	0.867264	0.00650759	 0.00657612
-2.1	-1.6	26	30	0.91894	0.00387701	 0.00392705
-1.6	-1.2	26	30	0.923739	0.00412048	 0.00418583
-1.2	-0.8	26	30	0.891037	0.00433234	 0.00438637
-0.8	-0.3	26	30	0.881184	0.0036554	 0.00368353
-0.3	0.3	26	30	0.86832	0.00311762	 0.0031379
0.3	0.8	26	30	0.887017	0.00362072	 0.00365487
