etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.954231	0.010744	 0.0116433
-2.1	-1.6	10	13	0.984596	0.00590437	 0.00653472
-1.6	-1.2	10	13	0.978851	0.00630334	 0.00700867
-1.2	-0.8	10	13	0.975598	0.00891818	 0.0102187
-0.8	-0.3	10	13	0.988227	0.0074626	 0.00856475
-0.3	0.3	10	13	0.963468	0.0122656	 0.0136303
0.3	0.8	10	13	0.978429	0.00862988	 0.0100033
0.8	1.2	10	13	0.984619	0.00665559	 0.0075902
1.2	1.6	10	13	0.978524	0.00618678	 0.00686973
1.6	2.1	10	13	0.982526	0.00604519	 0.00662754
2.1	2.4	10	13	0.952905	0.0103824	 0.0111582
-2.4	-2.1	13	16	0.962873	0.00687338	 0.00740272
-2.1	-1.6	13	16	0.988188	0.00333782	 0.00371391
-1.6	-1.2	13	16	0.98057	0.00419078	 0.00469923
-1.2	-0.8	13	16	0.977576	0.00461208	 0.00507822
-0.8	-0.3	13	16	0.975905	0.00408165	 0.00455458
-0.3	0.3	13	16	0.987152	0.00546645	 0.00610971
0.3	0.8	13	16	0.975762	0.0052442	 0.00578569
0.8	1.2	13	16	0.984292	0.00385811	 0.00440324
1.2	1.6	13	16	0.989234	0.00376699	 0.00424071
1.6	2.1	13	16	0.991642	0.00358001	 0.00402305
2.1	2.4	13	16	0.962521	0.00784209	 0.00857392
-2.4	-2.1	16	20	0.96307	0.00479585	 0.00509548
-2.1	-1.6	16	20	0.992409	0.00194353	 0.00215631
-1.6	-1.2	16	20	0.991244	0.00233599	 0.0025636
-1.2	-0.8	16	20	0.991312	0.00218313	 0.00239459
-0.8	-0.3	16	20	0.988444	0.00196372	 0.00196372
-0.3	0.3	16	20	0.984947	0.00261208	 0.00281141
0.3	0.8	16	20	0.990255	0.00218135	 0.00239738
0.8	1.2	16	20	0.981838	0.00270706	 0.00291867
1.2	1.6	16	20	0.984051	0.00244477	 0.00244477
1.6	2.1	16	20	0.987704	0.0023404	 0.00252551
2.1	2.4	16	20	0.962993	0.00487039	 0.00523127
-2.4	-2.1	20	25	0.967609	0.00325912	 0.00341049
-2.1	-1.6	20	25	0.99193	0.00122284	 0.00130174
-1.6	-1.2	20	25	0.993014	0.0012168	 0.00132464
-1.2	-0.8	20	25	0.990279	0.00147963	 0.00158785
-0.8	-0.3	20	25	0.991042	0.00116414	 0.00124393
-0.3	0.3	20	25	0.982432	0.00169099	 0.00220794
0.3	0.8	20	25	0.988343	0.00127979	 0.00134861
0.8	1.2	20	25	0.989262	0.00146419	 0.00156977
1.2	1.6	20	25	0.992768	0.00131294	 0.00141862
1.6	2.1	20	25	0.991267	0.00129548	 0.00139075
2.1	2.4	20	25	0.97206	0.00280301	 0.00294339
-2.4	-2.1	25	30	0.966239	0.00259094	 0.00268195
-2.1	-1.6	25	30	0.994036	0.000868551	 0.000934754
-1.6	-1.2	25	30	0.995975	0.000853782	 0.000925376
-1.2	-0.8	25	30	0.991726	0.00101826	 0.00105785
-0.8	-0.3	25	30	0.993399	0.000720393	 0.000763742
-0.3	0.3	25	30	0.982817	0.00114157	 0.00122425
0.3	0.8	25	30	0.990663	0.000878533	 0.00093808
0.8	1.2	25	30	0.991115	0.00107506	 0.00113463
1.2	1.6	25	30	0.993024	0.0010487	 0.00112455
1.6	2.1	25	30	0.994866	0.000831105	 0.000893018
2.1	2.4	25	30	0.966009	0.00354592	 0.0026869
-2.4	-2.1	30	35	0.967949	0.00226521	 0.00233101
-2.1	-1.6	30	35	0.994234	0.000714384	 0.000764083
-1.6	-1.2	30	35	0.99298	0.00144951	 0.000768943
-1.2	-0.8	30	35	0.992251	0.000820648	 0.000851848
-0.8	-0.3	30	35	0.993512	0.000545566	 0.000567629
-0.3	0.3	30	35	0.984501	0.000836635	 0.000752922
0.3	0.8	30	35	0.991908	0.000547059	 0.000572119
0.8	1.2	30	35	0.99076	0.000859394	 0.0008873
1.2	1.6	30	35	0.9928	0.000857066	 0.000908088
1.6	2.1	30	35	0.995447	0.000674895	 0.000717918
2.1	2.4	30	35	0.970594	0.00223664	 0.0023151
-2.4	-2.1	35	40	0.966206	0.00199519	 0.0020401
-2.1	-1.6	35	40	0.995736	0.000533309	 0.000567051
-1.6	-1.2	35	40	0.994949	0.000582337	 0.000619861
-1.2	-0.8	35	40	0.991737	0.000641561	 0.00065861
-0.8	-0.3	35	40	0.994563	0.00043649	 0.000458806
-0.3	0.3	35	40	0.986394	0.000602199	 0.000597627
0.3	0.8	35	40	0.993418	0.000458215	 0.000470287
0.8	1.2	35	40	0.992056	0.000618452	 0.000632173
1.2	1.6	35	40	0.994012	0.000630564	 0.000660626
