etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	1	0	 0.0315905
-2.1	-1.6	10	13	0.997597	0.195401	 0.195401
-1.6	-1.2	10	13	0.953806	0.0461939	 0.082656
-1.2	-0.8	10	13	0.903853	0.0961053	 0.0822923
-0.8	-0.3	10	13	0.849075	0.139248	 0.0970625
-0.3	0.3	10	13	1	0	 0.102491
0.3	0.8	10	13	0.927093	0.072907	 0.125173
0.8	1.2	10	13	0.83984	0.0949574	 0.0793625
1.2	1.6	10	13	0.998262	0.00173846	 0.0952136
1.6	2.1	10	13	0.959476	0.0405236	 0.0787086
2.1	2.4	10	13	1	0	 0.0326569
-2.4	-2.1	13	16	0.999999	1.4217e-06	 0.0576209
-2.1	-1.6	13	16	0.953449	0.0386736	 0.0366603
-1.6	-1.2	13	16	0.985544	0.0144565	 0.0499328
-1.2	-0.8	13	16	0.999999	1.0029e-06	 0.0501304
-0.8	-0.3	13	16	0.905448	0.0636055	 0.0574024
-0.3	0.3	13	16	0.95886	0.0411398	 0.0704648
0.3	0.8	13	16	0.936651	0.0616752	 0.0553243
0.8	1.2	13	16	0.986954	0.0130458	 0.0528599
1.2	1.6	13	16	0.97383	0.0261698	 0.0518896
1.6	2.1	13	16	0.98792	0.0120799	 0.0448789
2.1	2.4	13	16	1	0	 0.0225698
-2.4	-2.1	16	20	0.93532	0.0243492	 0.023829
-2.1	-1.6	16	20	0.987717	0.012283	 0.0177056
-1.6	-1.2	16	20	0.983029	0.0169707	 0.0215466
-1.2	-0.8	16	20	0.937752	0.0212989	 0.0208307
-0.8	-0.3	16	20	0.930621	0.02243	 0.0219361
-0.3	0.3	16	20	0.943831	0.0275222	 0.0263831
0.3	0.8	16	20	0.969257	0.0249972	 0.024629
0.8	1.2	16	20	0.947244	0.0222673	 0.0216593
1.2	1.6	16	20	1	0	 0.00876915
1.6	2.1	16	20	1	0	 0.0108854
2.1	2.4	16	20	0.957203	0.0235983	 0.0230987
-2.4	-2.1	20	25	0.931414	0.0112569	 0.0112456
-2.1	-1.6	20	25	0.981212	0.00753259	 0.00757952
-1.6	-1.2	20	25	0.991746	0.00825376	 0.00896479
-1.2	-0.8	20	25	0.982063	0.0093239	 0.0093198
-0.8	-0.3	20	25	0.98136	0.00870985	 0.00882689
-0.3	0.3	20	25	0.964914	0.00894246	 0.00893204
0.3	0.8	20	25	0.986299	0.00894406	 0.00895003
0.8	1.2	20	25	0.976513	0.00947049	 0.00948038
1.2	1.6	20	25	0.998353	0.00164677	 0.0102169
1.6	2.1	20	25	0.999999	0	 0.00409838
2.1	2.4	20	25	0.940176	0.0111653	 0.0111858
-2.4	-2.1	25	30	0.94497	0.00726533	 0.00735296
-2.1	-1.6	25	30	0.985261	0.00430883	 0.00438042
-1.6	-1.2	25	30	0.990762	0.00483666	 0.00494852
-1.2	-0.8	25	30	0.975641	0.00504388	 0.00507466
-0.8	-0.3	25	30	0.977001	0.00434441	 0.00437461
-0.3	0.3	25	30	0.970063	0.0036913	 0.00372805
0.3	0.8	25	30	0.982112	0.00424705	 0.00435322
0.8	1.2	25	30	0.979676	0.00504895	 0.00513683
1.2	1.6	25	30	0.984121	0.00506041	 0.00514168
1.6	2.1	25	30	0.983704	0.00427728	 0.00434263
2.1	2.4	25	30	0.950563	0.00689047	 0.0069763
-2.4	-2.1	30	35	0.948302	0.00496455	 0.00503786
-2.1	-1.6	30	35	0.982953	0.00277899	 0.00283657
-1.6	-1.2	30	35	0.989501	0.00304053	 0.00310987
-1.2	-0.8	30	35	0.982998	0.0029269	 0.00298534
-0.8	-0.3	30	35	0.984104	0.00228302	 0.00230424
-0.3	0.3	30	35	0.970661	0.00218379	 0.00221256
0.3	0.8	30	35	0.983884	0.00229455	 0.00233112
0.8	1.2	30	35	0.981736	0.00294313	 0.00297239
1.2	1.6	30	35	0.994389	0.0032335	 0.00330918
1.6	2.1	30	35	0.989051	0.00272189	 0.00278403
2.1	2.4	30	35	0.942555	0.00506148	 0.00517298
-2.4	-2.1	35	40	0.949548	0.00400555	 0.00407268
-2.1	-1.6	35	40	0.984638	0.002021	 0.00206387
-1.6	-1.2	35	40	0.994448	0.00180527	 0.00186182
-1.2	-0.8	35	40	0.987705	0.00170229	 0.00175135
-0.8	-0.3	35	40	0.983191	0.00154494	 0.00157309
-0.3	0.3	35	40	0.96967	0.00159695	 0.00161766
0.3	0.8	35	40	0.984418	0.00151743	 0.00154145
0.8	1.2	35	40	0.984137	0.00179092	 0.00182808
1.2	1.6	35	40	0.993747	0.00198702	 0.00204742
1.6	2.1	35	40	0.986191	0.00190267	 0.00195172
2.1	2.4	35	40	0.951368	0.00381557	 0.00389164
-2.4	-2.1	40	60	0.94393	0.00249083	 0.00251457
-2.1	-1.6	40	60	0.985447	0.00098901	 0.00101224
-1.6	-1.2	40	60	0.992373	0.000885119	 0.00090451
-1.2	-0.8	40	60	0.987435	0.00091133	 0.000928314
-0.8	-0.3	40	60	0.98379	0.000885567	 0.000899271
-0.3	0.3	40	60	0.971991	0.000950298	 0.000958323
0.3	0.8	40	60	0.987279	0.000840052	 0.000856827
0.8	1.2	40	60	0.984165	0.000962568	 0.000962568
1.2	1.6	40	60	0.992478	0.000981483	 0.000997867
1.6	2.1	40	60	0.989182	0.000940138	 0.000958134
2.1	2.4	40	60	0.943966	0.00243855	 0.00247102
