etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	20	0.937984	0.0620163	 0.0792355
-2.1	-1.6	10	20	0.999999	0	 0.020775
-1.6	-1.2	10	20	0.833576	0.0650737	 0.057816
-1.2	-0.8	10	20	0.888475	0.111525	 0.0629551
-0.8	-0.3	10	20	1	0	 0.0734671
-0.3	0.3	10	20	0.955087	0.0449127	 0.0822761
0.3	0.8	10	20	0.97109	0.0289103	 0.0715192
0.8	1.2	10	20	0.817789	0.0633351	 0.0574662
1.2	1.6	10	20	0.999999	0	 0.0509407
1.6	2.1	10	20	1	0	 0.0242949
2.1	2.4	10	20	0.933828	0.0661725	 0.0763964
-2.4	-2.1	20	30	0.953821	0.0172059	 0.0174318
-2.1	-1.6	20	30	0.954502	0.0111746	 0.011412
-1.6	-1.2	20	30	0.973969	0.0141479	 0.0142552
-1.2	-0.8	20	30	0.965865	0.013869	 0.0140204
-0.8	-0.3	20	30	0.975876	0.0123819	 0.0124712
-0.3	0.3	20	30	0.973025	0.0111476	 0.0111847
0.3	0.8	20	30	0.977847	0.0123009	 0.012386
0.8	1.2	20	30	0.960846	0.0149779	 0.0150334
1.2	1.6	20	30	0.991376	0.00862436	 0.0192383
1.6	2.1	20	30	0.971277	0.0120574	 0.0122233
2.1	2.4	20	30	0.887905	0.0177111	 0.0178604
-2.4	-2.1	30	50	0.930542	0.00638865	 0.00652556
-2.1	-1.6	30	50	0.983283	0.00253059	 0.00262074
-1.6	-1.2	30	50	0.988674	0.00275409	 0.0028426
-1.2	-0.8	30	50	0.982965	0.00255282	 0.00263243
-0.8	-0.3	30	50	0.98643	0.0022641	 0.00233362
-0.3	0.3	30	50	0.971022	6.44524e-05	 6.44524e-05
0.3	0.8	30	50	0.984908	0.00229622	 0.00236408
0.8	1.2	30	50	0.980484	0.00277433	 0.00288125
1.2	1.6	30	50	0.989376	0.00380641	 0.00389175
1.6	2.1	30	50	0.989634	0.00271619	 0.00280829
2.1	2.4	30	50	0.92246	0.00644973	 0.00655051
-2.4	-2.1	50	200	0.952559	0.0192227	 0.0194743
-2.1	-1.6	50	200	0.996192	0.003808	 0.00808312
-1.6	-1.2	50	200	0.986327	0.00939282	 0.00969215
-1.2	-0.8	50	200	0.983575	0.00825166	 0.0085259
-0.8	-0.3	50	200	0.975848	0.00833885	 0.00852828
-0.3	0.3	50	200	0.9727	0.00832554	 0.00846756
0.3	0.8	50	200	0.973573	0.00885505	 0.0090506
0.8	1.2	50	200	0.986089	0.00999483	 0.0102386
1.2	1.6	50	200	0.98752	0.0124802	 0.0155702
1.6	2.1	50	200	0.97091	0.0102556	 0.0105266
2.1	2.4	50	200	0.916237	0.0191496	 0.0195072
