etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.889751	0.0344982	 0.0372368
-2.1	-1.6	10	13	0.934051	0.0203398	 0.0237345
-1.6	-1.2	10	13	0.942018	0.0190652	 0.0241524
-1.2	-0.8	10	13	0.928149	0.0249774	 0.0320022
-0.8	-0.3	10	13	0.939002	0.0296758	 0.0349563
-0.3	-0.2	10	13	0.59991	0.144818	 0.157575
-0.2	0.2	10	13	1	0.0354666	 0.0354666
0.2	0.3	10	13	0.699983	0.128756	 0.154624
0.3	0.8	10	13	0.942362	0.0255311	 0.03421
0.8	1.2	10	13	0.940532	0.0207228	 0.0277055
1.2	1.6	10	13	0.942099	0.0180346	 0.0223636
1.6	2.1	10	13	0.94603	0.0188175	 0.0224158
2.1	2.4	10	13	0.871792	0.0347118	 0.0411247
-2.4	-2.1	13	16	0.901515	0.0272568	 0.0295105
-2.1	-1.6	13	16	0.939887	0.0199634	 0.0245928
-1.6	-1.2	13	16	0.947326	0.0141699	 0.0171881
-1.2	-0.8	13	16	0.904513	0.0195925	 0.0223843
-0.8	-0.3	13	16	0.916885	0.0206522	 0.0247127
-0.3	-0.2	13	16	0.71179	0.0815911	 0.0927566
-0.2	0.2	13	16	0.948832	0.019656	 0.026142
0.2	0.3	13	16	0.737492	0.0920872	 0.103712
0.3	0.8	13	16	0.941353	0.0156604	 0.0188379
0.8	1.2	13	16	0.907661	0.0198763	 0.0228014
1.2	1.6	13	16	0.948462	0.0137897	 0.0165593
1.6	2.1	13	16	0.921371	0.0228299	 0.018372
2.1	2.4	13	16	0.875048	0.0258053	 0.0292824
-2.4	-2.1	16	20	0.947462	0.0146284	 0.0171346
-2.1	-1.6	16	20	0.914692	0.0106712	 0.0114984
-1.6	-1.2	16	20	0.935497	0.0103321	 0.0115204
-1.2	-0.8	16	20	0.948373	0.0100585	 0.0114955
-0.8	-0.3	16	20	0.935914	0.000482751	 0.000482751
-0.3	-0.2	16	20	0.837628	0.0429135	 0.0492061
-0.2	0.2	16	20	0.942189	0.0124503	 0.014465
0.2	0.3	16	20	0.78518	0.0748104	 0.0639194
0.3	0.8	16	20	0.94571	0.0089652	 0.0100059
0.8	1.2	16	20	0.919691	0.0123153	 0.0136821
1.2	1.6	16	20	0.923146	0.011551	 0.01261
1.6	2.1	16	20	0.915169	0.0142891	 0.0131924
2.1	2.4	16	20	0.908003	0.0176485	 0.0209201
-2.4	-2.1	20	25	0.915915	0.0113758	 0.0116817
-2.1	-1.6	20	25	0.908364	0.00805633	 0.00848533
-1.6	-1.2	20	25	0.936466	0.00722933	 0.00762891
-1.2	-0.8	20	25	0.919913	0.00779904	 0.00834154
-0.8	-0.3	20	25	0.947793	0.00598255	 0.00628929
-0.3	-0.2	20	25	0.789991	0.0245956	 0.0262711
-0.2	0.2	20	25	0.936018	0.00742113	 0.00776973
0.2	0.3	20	25	0.815747	0.024199	 0.0261307
0.3	0.8	20	25	0.951757	0.00643325	 0.00683853
0.8	1.2	20	25	0.928039	0.00775441	 0.00910885
1.2	1.6	20	25	0.931834	0.00777275	 0.00807888
1.6	2.1	20	25	0.928254	0.00700231	 0.00738316
2.1	2.4	20	25	0.91877	0.0115523	 0.0122637
-2.4	-2.1	25	30	0.909166	0.00905846	 0.00931654
-2.1	-1.6	25	30	0.913256	0.00616078	 0.00643385
-1.6	-1.2	25	30	0.948543	0.00542036	 0.00566783
-1.2	-0.8	25	30	0.93329	0.00622663	 0.00644317
-0.8	-0.3	25	30	0.941375	0.00462338	 0.00475715
-0.3	-0.2	25	30	0.82184	0.0179316	 0.0189005
-0.2	0.2	25	30	0.934227	0.004905	 0.00545482
0.2	0.3	25	30	0.844314	0.0148492	 0.0155307
0.3	0.8	25	30	0.942835	0.00429319	 0.00452381
0.8	1.2	25	30	0.928497	0.00653891	 0.00817808
1.2	1.6	25	30	0.93748	0.0061579	 0.00640556
1.6	2.1	25	30	0.942046	0.00586619	 0.00619418
2.1	2.4	25	30	0.901681	0.00999357	 0.0105604
-2.4	-2.1	30	40	0.923929	0.00513197	 0.00529415
-2.1	-1.6	30	40	0.924804	0.00329926	 0.00335953
-1.6	-1.2	30	40	0.93983	0.00301785	 0.00308451
-1.2	-0.8	30	40	0.931832	0.00319895	 0.00324051
-0.8	-0.3	30	40	0.94405	0.00227569	 0.00228031
-0.3	-0.2	30	40	0.804298	0.00842884	 0.00865194
-0.2	0.2	30	40	0.933209	0.00255103	 0.00257871
0.2	0.3	30	40	0.849324	0.0072997	 0.00751358
0.3	0.8	30	40	0.945749	0.00209403	 0.00212269
0.8	1.2	30	40	0.929088	0.00309393	 0.00316598
1.2	1.6	30	40	0.938953	0.00279628	 0.00287841
1.6	2.1	30	40	0.930045	0.00295325	 0.00299245
2.1	2.4	30	40	0.923226	0.0044814	 0.00464302
-2.4	-2.1	40	60	0.919293	0.00435103	 0.00439132
-2.1	-1.6	40	60	0.92357	0.00218237	 0.00223108
-1.6	-1.2	40	60	0.936542	0.00218237	 0.00223108
-1.2	-0.8	40	60	0.933265	0.00228727	 0.00231594
-0.8	-0.3	40	60	0.942944	0.00179617	 0.00181878
-0.3	-0.2	40	60	0.811811	0.00755432	 0.00762741
-0.2	0.2	40	60	0.927305	0.00216813	 0.00221745
0.2	0.3	40	60	0.848757	0.00649569	 0.00662674
0.3	0.8	40	60	0.947434	0.0017828	 0.0018113
0.8	1.2	40	60	0.928416	0.0024074	 0.00244028
1.2	1.6	40	60	0.938514	0.00229629	 0.00227855
1.6	2.1	40	60	0.931147	0.0025138	 0.00255704
2.1	2.4	40	60	0.92079	0.0044197	 0.00452385
-2.4	-2.1	60	100	0.936653	0.015455	 0.0165316
-2.1	-1.6	60	100	0.931977	0.00824746	 0.00870808
-1.6	-1.2	60	100	0.886544	0.0096282	 0.0102773
-1.2	-0.8	60	100	0.927405	0.00701293	 0.00747282
-0.8	-0.3	60	100	0.932502	0.00567509	 0.00601121
-0.3	-0.2	60	100	0.77337	0.0233684	 0.0245098
-0.2	0.2	60	100	0.944104	0.00663982	 0.00695724
0.2	0.3	60	100	0.840317	0.0202471	 0.0213282
0.3	0.8	60	100	0.942688	0.00513534	 0.00546357
0.8	1.2	60	100	0.937386	0.00630751	 0.00673035
1.2	1.6	60	100	0.927243	0.00814665	 0.00812636
1.6	2.1	60	100	0.925585	0.00834744	 0.00856561
2.1	2.4	60	100	0.901108	0.0167649	 0.0168687
-2.4	-2.1	100	200	0.78177	0.0788262	 0.0867864
