etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.881484	0.0399517	 0.0399546
-2.1	-1.6	10	13	0.92963	0.020696	 0.0297407
-1.6	-1.2	10	13	0.942426	0.0189295	 0.0239724
-1.2	-0.8	10	13	0.927232	0.0252866	 0.0324187
-0.8	-0.3	10	13	0.953918	0.0302419	 0.0346852
-0.3	-0.2	10	13	0.59991	0.144818	 0.157575
-0.2	0.2	10	13	1	0.0370576	 0.0370576
0.2	0.3	10	13	0.699983	0.128756	 0.154624
0.3	0.8	10	13	0.956074	0.0230806	 0.0320007
0.8	1.2	10	13	0.937855	0.0217668	 0.0294554
1.2	1.6	10	13	0.941605	0.0179141	 0.0221953
1.6	2.1	10	13	0.960201	0.0173167	 0.0211784
2.1	2.4	10	13	0.862731	0.0370429	 0.0437971
-2.4	-2.1	13	16	0.901973	0.027428	 0.0298625
-2.1	-1.6	13	16	0.94322	0.0158508	 0.018366
-1.6	-1.2	13	16	0.94723	0.0141923	 0.017156
-1.2	-0.8	13	16	0.903144	0.0197772	 0.0225137
-0.8	-0.3	13	16	0.916144	0.0220634	 0.0256931
-0.3	-0.2	13	16	0.71179	0.0815911	 0.0927566
-0.2	0.2	13	16	0.948832	0.019656	 0.026142
0.2	0.3	13	16	0.74881	0.087019	 0.0961769
0.3	0.8	13	16	0.950967	0.0159412	 0.0176775
0.8	1.2	13	16	0.911747	0.0194968	 0.0226935
1.2	1.6	13	16	0.952786	0.013531	 0.0160378
1.6	2.1	13	16	0.928188	0.0162054	 0.0181292
2.1	2.4	13	16	0.877255	0.0343332	 0.0335439
-2.4	-2.1	16	20	0.941839	0.0153742	 0.0176734
-2.1	-1.6	16	20	0.913434	0.0124131	 0.0127018
-1.6	-1.2	16	20	0.937053	0.0102446	 0.0114282
-1.2	-0.8	16	20	0.95094	0.00980525	 0.0111309
-0.8	-0.3	16	20	0.934762	0.012231	 0.0129787
-0.3	-0.2	16	20	0.834976	0.0495966	 0.0564308
-0.2	0.2	16	20	0.941221	0.0126602	 0.0147068
0.2	0.3	16	20	0.78518	0.0748104	 0.0639194
0.3	0.8	16	20	0.94503	0.00908024	 0.0101196
0.8	1.2	16	20	0.918556	0.0124884	 0.0139039
1.2	1.6	16	20	0.923195	0.0115459	 0.0133739
1.6	2.1	16	20	0.919202	0.013656	 0.0143761
2.1	2.4	16	20	0.903495	0.0160722	 0.0179158
-2.4	-2.1	20	25	0.915134	0.0116617	 0.0121617
-2.1	-1.6	20	25	0.909407	0.00803931	 0.0084423
-1.6	-1.2	20	25	0.936075	0.00711011	 0.00770053
-1.2	-0.8	20	25	0.920585	0.00769222	 0.0084216
-0.8	-0.3	20	25	0.94733	0.0060132	 0.00636143
