etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.928787	0.024695	 0.0313669
-2.1	-1.6	10	13	0.941971	0.0179606	 0.0217716
-1.6	-1.2	10	13	0.99196	0.00574206	 0.0110842
-1.2	-0.8	10	13	0.95163	0.0200869	 0.0274874
-0.8	-0.3	10	13	0.966963	0.0268469	 0.0318073
-0.3	-0.2	10	13	0.59991	0.144818	 0.157575
-0.2	0.2	10	13	1	0.0370576	 0.0370576
0.2	0.3	10	13	0.8	0.104813	 0.14354
0.3	0.8	10	13	0.956069	0.0206994	 0.029885
0.8	1.2	10	13	0.968447	0.0147537	 0.0213374
1.2	1.6	10	13	0.985185	0.00813924	 0.0128946
1.6	2.1	10	13	0.972203	0.0138007	 0.0179884
2.1	2.4	10	13	0.947306	0.0218149	 0.0298647
-2.4	-2.1	13	16	0.954589	0.0191301	 0.0221012
-2.1	-1.6	13	16	0.951108	0.0121178	 0.0144054
-1.6	-1.2	13	16	0.975977	0.00916201	 0.0122689
-1.2	-0.8	13	16	0.933479	0.016413	 0.0193833
-0.8	-0.3	13	16	0.959564	0.017015	 0.0204349
-0.3	-0.2	13	16	0.819617	0.0655703	 0.081847
-0.2	0.2	13	16	1	0.020645	 0.020645
0.2	0.3	13	16	0.79235	0.0869632	 0.0927086
0.3	0.8	13	16	0.961911	0.0124924	 0.015898
0.8	1.2	13	16	0.950044	0.0145929	 0.0179347
1.2	1.6	13	16	0.985601	0.00701231	 0.0101463
1.6	2.1	13	16	0.953879	0.0138621	 0.0162228
2.1	2.4	13	16	0.933819	0.0192372	 0.0234343
-2.4	-2.1	16	20	0.96921	0.00912386	 0.0112312
-2.1	-1.6	16	20	0.943404	0.00967204	 0.0116332
-1.6	-1.2	16	20	0.983489	0.00726648	 0.00908912
-1.2	-0.8	16	20	0.967305	0.00788861	 0.00934932
-0.8	-0.3	16	20	0.954118	0.010936	 0.0121654
-0.3	-0.2	16	20	0.879182	0.0429665	 0.0514687
-0.2	0.2	16	20	0.957509	0.0106498	 0.0127601
0.2	0.3	16	20	0.822024	0.0491899	 0.0649511
0.3	0.8	16	20	0.959081	0.000272959	 0.000272959
0.8	1.2	16	20	0.952223	0.00956961	 0.0110914
1.2	1.6	16	20	0.96359	0.00764949	 0.00883379
1.6	2.1	16	20	0.945759	0.0111525	 0.0111001
2.1	2.4	16	20	0.943999	0.0123265	 0.0143498
-2.4	-2.1	20	25	0.955329	0.00865904	 0.00948093
-2.1	-1.6	20	25	0.942909	0.00666436	 0.0070079
-1.6	-1.2	20	25	0.975382	0.00434387	 0.00494372
-1.2	-0.8	20	25	0.947464	0.00633471	 0.00690515
-0.8	-0.3	20	25	0.959626	0.00500703	 0.00547598
-0.3	-0.2	20	25	0.824953	0.0227928	 0.0246002
-0.2	0.2	20	25	0.957825	0.00640133	 0.00640133
0.2	0.3	20	25	0.839899	0.0229242	 0.0250851
0.3	0.8	20	25	0.96394	0.00530544	 0.00568694
0.8	1.2	20	25	0.957143	0.00604804	 0.00690928
1.2	1.6	20	25	0.971023	0.00492255	 0.00536528
1.6	2.1	20	25	0.95722	0.00524161	 0.00568215
2.1	2.4	20	25	0.956999	0.00899317	 0.00993486
-2.4	-2.1	25	30	0.947166	0.00727125	 0.00772322
-2.1	-1.6	25	30	0.948899	0.00478736	 0.00508641
-1.6	-1.2	25	30	0.985007	0.00261541	 0.00295788
-1.2	-0.8	25	30	0.955987	0.00508704	 0.00537968
-0.8	-0.3	25	30	0.960035	0.00382361	 0.00395906
-0.3	-0.2	25	30	0.843224	0.0148615	 0.0156674
-0.2	0.2	25	30	0.954886	0.00393146	 0.0041742
0.2	0.3	25	30	0.864647	0.0135311	 0.0142542
0.3	0.8	25	30	0.959636	0.00359915	 0.00384226
0.8	1.2	25	30	0.960518	0.00499983	 0.00540467
1.2	1.6	25	30	0.974483	0.00395818	 0.00426692
1.6	2.1	25	30	0.965053	0.00466236	 0.00502052
2.1	2.4	25	30	0.94578	0.00785625	 0.00833007
-2.4	-2.1	30	40	0.957389	0.00398052	 0.00415971
-2.1	-1.6	30	40	0.951047	0.00273961	 0.00276466
-1.6	-1.2	30	40	0.98135	0.00163228	 0.00170766
-1.2	-0.8	30	40	0.955366	0.00263484	 0.00274929
-0.8	-0.3	30	40	0.963527	0.00199914	 0.00196612
-0.3	-0.2	30	40	0.830687	0.00797629	 0.00816492
-0.2	0.2	30	40	0.953754	0.00213921	 0.00218643
0.2	0.3	30	40	0.875075	0.00675239	 0.00696755
0.3	0.8	30	40	0.963783	0.00177852	 0.00181751
0.8	1.2	30	40	0.950218	0.00258599	 0.00263726
1.2	1.6	30	40	0.975551	0.00178148	 0.00187179
1.6	2.1	30	40	0.954101	0.00238249	 0.00246269
2.1	2.4	30	40	0.953027	0.00361109	 0.00376844
-2.4	-2.1	40	60	0.956767	0.00334101	 0.00346257
-2.1	-1.6	40	60	0.950143	0.00197788	 0.00202724
-1.6	-1.2	40	60	0.983749	0.00117574	 0.00117574
-1.2	-0.8	40	60	0.955212	0.00176472	 0.00181025
-0.8	-0.3	40	60	0.959489	0.00145426	 0.00148587
-0.3	-0.2	40	60	0.832153	0.00721142	 0.00731893
-0.2	0.2	40	60	0.946779	0.001874	 0.00193619
0.2	0.3	40	60	0.867456	0.00610497	 0.00626404
0.3	0.8	40	60	0.959837	0.00149051	 0.00149051
0.8	1.2	40	60	0.950305	0.00201723	 0.00205567
1.2	1.6	40	60	0.975318	0.00137448	 0.00142761
1.6	2.1	40	60	0.954652	0.00206454	 0.00209807
2.1	2.4	40	60	0.950558	0.00351405	 0.00356818
-2.4	-2.1	60	100	0.97255	0.0116412	 0.0128897
-2.1	-1.6	60	100	0.951123	0.00651658	 0.00683701
-1.6	-1.2	60	100	0.98048	0.00370514	 0.00423239
-1.2	-0.8	60	100	0.945755	0.00608543	 0.00655459
-0.8	-0.3	60	100	0.956077	0.00737986	 0.00969427
-0.3	-0.2	60	100	0.802607	0.0221379	 0.0233588
-0.2	0.2	60	100	0.957432	0.00554227	 0.00583509
0.2	0.3	60	100	0.867249	0.0189129	 0.0201234
0.3	0.8	60	100	0.962351	0.00418429	 0.00448376
0.8	1.2	60	100	0.958003	0.00515176	 0.00559297
1.2	1.6	60	100	0.97853	0.0041563	 0.0046654
1.6	2.1	60	100	0.954729	0.00651666	 0.006823
2.1	2.4	60	100	0.946155	0.0125811	 0.0132036
-2.4	-2.1	100	200	0.897441	0.0417746	 0.055242
-2.1	-1.6	100	200	0.950309	0.0200249	 0.024553
-1.6	-1.2	100	200	0.955201	0.0161735	 0.0200379
-1.2	-0.8	100	200	0.973038	0.0148768	 0.0180469
-0.8	-0.3	100	200	0.924496	0.0169522	 0.0197295
-0.3	-0.2	100	200	0.819946	0.0537665	 0.064789
-0.2	0.2	100	200	0.912975	0.0209029	 0.0246036
0.2	0.3	100	200	0.847821	0.0515092	 0.063337
0.3	0.8	100	200	0.974624	0.00896657	 0.0117209
0.8	1.2	100	200	0.921222	0.0224938	 0.0264779
1.2	1.6	100	200	0.946266	0.0158433	 0.0193947
1.6	2.1	100	200	0.940567	0.0373433	 0.0412554
2.1	2.4	100	200	0.900013	0.0733558	 0.0689462
