etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.802664	0.0171786	 0.0175415
-2.1	-1.6	10	13	0.793787	0.0137939	 0.0137458
-1.6	-1.2	10	13	0.758501	0.0129968	 0.0133291
-1.2	-0.8	10	13	0.69467	0.0158394	 0.0159779
-0.8	-0.3	10	13	0.630183	0.0208594	 0.020753
-0.3	-0.2	10	13	0.688726	0.0523052	 0.0555988
-0.2	0.2	10	13	0.649485	0.0310046	 0.0305856
0.2	0.3	10	13	0.678588	0.0540181	 0.0564013
0.3	0.8	10	13	0.678265	0.0205343	 0.0204973
0.8	1.2	10	13	0.706599	0.0174205	 0.0176255
1.2	1.6	10	13	0.733848	0.0142958	 0.0147036
1.6	2.1	10	13	0.78949	0.0126686	 0.0129719
2.1	2.4	10	13	0.800567	0.0148189	 0.0153764
-2.4	-2.1	13	16	0.873553	0.0122935	 0.0131501
-2.1	-1.6	13	16	0.835846	0.00962	 0.00982792
-1.6	-1.2	13	16	0.807715	0.0121226	 0.0124577
-1.2	-0.8	13	16	0.777532	0.0125623	 0.0128595
-0.8	-0.3	13	16	0.733409	0.0146029	 0.012551
-0.3	-0.2	13	16	0.726469	0.0316881	 0.0324915
-0.2	0.2	13	16	0.684478	0.0182193	 0.0185951
0.2	0.3	13	16	0.657361	0.0350713	 0.0368833
0.3	0.8	13	16	0.72168	0.0130976	 0.0131933
0.8	1.2	13	16	0.742314	0.0148363	 0.0139367
1.2	1.6	13	16	0.797259	0.0124406	 0.0126663
1.6	2.1	13	16	0.828522	0.0104701	 0.0101183
2.1	2.4	13	16	0.843422	0.0134502	 0.0134126
-2.4	-2.1	16	20	0.89886	0.00810832	 0.00831846
-2.1	-1.6	16	20	0.868545	0.00587181	 0.00600122
-1.6	-1.2	16	20	0.859532	0.00756488	 0.00751754
-1.2	-0.8	16	20	0.81004	0.00785852	 0.0079207
-0.8	-0.3	16	20	0.791366	0.00742884	 0.00751187
-0.3	-0.2	16	20	0.739931	0.0227316	 0.0245513
-0.2	0.2	16	20	0.747249	0.00999417	 0.0100245
0.2	0.3	16	20	0.743452	0.0202888	 0.0202593
0.3	0.8	16	20	0.791185	0.007723	 0.00779658
0.8	1.2	16	20	0.797647	0.00759428	 0.00765044
1.2	1.6	16	20	0.847051	0.00785506	 0.00803808
1.6	2.1	16	20	0.876431	0.00656764	 0.00669197
2.1	2.4	16	20	0.884317	0.00732688	 0.00757602
-2.4	-2.1	20	25	0.918142	0.00481612	 0.00484523
-2.1	-1.6	20	25	0.907605	0.00400975	 0.00408707
-1.6	-1.2	20	25	0.885906	0.00462916	 0.00469277
-1.2	-0.8	20	25	0.858761	0.00495978	 0.00499928
-0.8	-0.3	20	25	0.860271	0.0042171	 0.00426229
-0.3	-0.2	20	25	0.84873	0.00996411	 0.0101773
-0.2	0.2	20	25	0.833536	0.00464428	 0.00465707
0.2	0.3	20	25	0.84377	0.00936865	 0.00939413
0.3	0.8	20	25	0.841833	0.00424501	 0.00428703
0.8	1.2	20	25	0.870928	0.00491749	 0.00498859
1.2	1.6	20	25	0.889319	0.00494788	 0.00507439
1.6	2.1	20	25	0.909139	0.00380196	 0.00386883
2.1	2.4	20	25	0.91732	0.00479749	 0.00491912
-2.4	-2.1	25	30	0.945879	0.00354374	 0.00372838
-2.1	-1.6	25	30	0.934715	0.00271655	 0.00274148
-1.6	-1.2	25	30	0.91998	0.00327614	 0.00332307
-1.2	-0.8	25	30	0.904188	0.00328863	 0.0033274
-0.8	-0.3	25	30	0.893674	0.00274496	 0.00276429
-0.3	-0.2	25	30	0.891613	0.00586286	 0.00586327
-0.2	0.2	25	30	0.895782	0.0027221	 0.0027475
0.2	0.3	25	30	0.892853	0.00612916	 0.00625838
0.3	0.8	25	30	0.896325	0.00267551	 0.00269317
0.8	1.2	25	30	0.901106	0.00352057	 0.00352465
1.2	1.6	25	30	0.921074	0.00322247	 0.00329482
1.6	2.1	25	30	0.934888	0.00296807	 0.00312837
2.1	2.4	25	30	0.945377	0.00357522	 0.00359138
-2.4	-2.1	30	40	0.968003	0.00155768	 0.00160512
-2.1	-1.6	30	40	0.965746	0.00112243	 0.00113595
-1.6	-1.2	30	40	0.955946	0.00134787	 0.00136033
-1.2	-0.8	30	40	0.945884	0.00128246	 0.00129067
-0.8	-0.3	30	40	0.943052	0.00106151	 0.00106995
-0.3	-0.2	30	40	0.936259	0.00254281	 0.0025873
-0.2	0.2	30	40	0.940327	0.00115981	 0.00116676
0.2	0.3	30	40	0.946916	0.00242291	 0.00247207
0.3	0.8	30	40	0.942738	0.00106158	 0.00106759
0.8	1.2	30	40	0.947142	0.00125241	 0.00127265
1.2	1.6	30	40	0.958809	0.00129808	 0.00132742
1.6	2.1	30	40	0.96403	0.00115844	 0.00117279
2.1	2.4	30	40	0.971352	0.00145674	 0.00149031
-2.4	-2.1	40	60	0.988877	0.000734952	 0.00076
-2.1	-1.6	40	60	0.988135	0.000493103	 0.000503281
-1.6	-1.2	40	60	0.984408	0.000557738	 0.000568358
-1.2	-0.8	40	60	0.981414	0.000597198	 0.000607655
-0.8	-0.3	40	60	0.977843	0.000559251	 0.000566072
-0.3	-0.2	40	60	0.974934	0.00135834	 0.00139701
-0.2	0.2	40	60	0.974977	0.000660173	 0.000675798
0.2	0.3	40	60	0.97436	0.0013719	 0.00140659
0.3	0.8	40	60	0.977461	0.000567096	 0.000573883
0.8	1.2	40	60	0.979631	0.000621413	 0.000629143
1.2	1.6	40	60	0.984606	0.000562436	 0.000566615
1.6	2.1	40	60	0.988258	0.000499679	 0.00051012
