etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.948149	0.0132672	 0.0142178
-2.1	-1.6	10	13	0.982299	0.00634351	 0.0070351
-1.6	-1.2	10	13	0.980464	0.00637434	 0.00705193
-1.2	-0.8	10	13	0.956939	0.00889055	 0.00963573
-0.8	-0.3	10	13	0.982832	0.00754417	 0.00843152
-0.3	-0.2	10	13	0.819396	0.0432678	 0.0471485
-0.2	0.2	10	13	0.960258	0.0144608	 0.0163847
0.2	0.3	10	13	0.898271	0.0424894	 0.0459573
0.3	0.8	10	13	0.975571	0.00829646	 0.00939959
0.8	1.2	10	13	0.972461	0.00764446	 0.00847331
1.2	1.6	10	13	0.981806	0.00599845	 0.00670557
1.6	2.1	10	13	0.982764	0.00634544	 0.00697609
2.1	2.4	10	13	0.947879	0.0117647	 0.0125531
-2.4	-2.1	13	16	0.96214	0.00719173	 0.00777247
-2.1	-1.6	13	16	0.984926	0.00397562	 0.00440307
-1.6	-1.2	13	16	0.981339	0.00446414	 0.00499307
-1.2	-0.8	13	16	0.961829	0.00568986	 0.00611959
-0.8	-0.3	13	16	0.968358	0.00452883	 0.00487865
-0.3	-0.2	13	16	0.94305	0.0143142	 0.0167481
-0.2	0.2	13	16	0.969993	0.00806898	 0.00880235
0.2	0.3	13	16	0.895505	0.0274655	 0.0311773
0.3	0.8	13	16	0.970441	0.00535568	 0.00588913
0.8	1.2	13	16	0.973896	0.00488199	 0.0053634
1.2	1.6	13	16	0.990206	0.00387873	 0.00439423
1.6	2.1	13	16	0.985298	0.00446308	 0.0049308
2.1	2.4	13	16	0.94892	0.00912651	 0.00982313
-2.4	-2.1	16	20	0.95574	0.00561297	 0.00594183
-2.1	-1.6	16	20	0.989188	0.00389406	 0.00256292
-1.6	-1.2	16	20	0.991857	0.0023608	 0.00260335
-1.2	-0.8	16	20	0.971128	0.00357326	 0.00377316
-0.8	-0.3	16	20	0.981992	0.00208543	 0.00223958
-0.3	-0.2	16	20	0.88241	0.0130953	 0.0138266
-0.2	0.2	16	20	0.980012	0.00347582	 0.00375587
0.2	0.3	16	20	0.890968	0.0142196	 0.0220324
0.3	0.8	16	20	0.984227	0.00255792	 0.00274458
0.8	1.2	16	20	0.965385	0.00376935	 0.00397975
1.2	1.6	16	20	0.991479	0.00225588	 0.00249567
1.6	2.1	16	20	0.986571	0.0026179	 0.00281131
2.1	2.4	16	20	0.953593	0.0044883	 0.00478023
-2.4	-2.1	20	25	0.964122	0.00353005	 0.00367602
-2.1	-1.6	20	25	0.985185	0.00163846	 0.00172019
-1.6	-1.2	20	25	0.989802	0.00150964	 0.00163724
-1.2	-0.8	20	25	0.973696	0.00230083	 0.00242337
-0.8	-0.3	20	25	0.987458	0.00136435	 0.00143492
-0.3	-0.2	20	25	0.896343	0.00718439	 0.00734242
-0.2	0.2	20	25	0.978447	0.0020069	 0.00209472
0.2	0.3	20	25	0.892235	0.00696065	 0.00723009
0.3	0.8	20	25	0.98244	0.0014989	 0.00154504
0.8	1.2	20	25	0.971352	0.00232109	 0.00241634
1.2	1.6	20	25	0.990937	0.00143248	 0.00153885
1.6	2.1	20	25	0.986664	0.00158603	 0.00168082
2.1	2.4	20	25	0.965021	0.00317375	 0.00332563
-2.4	-2.1	25	30	0.955776	0.00294962	 0.00301657
-2.1	-1.6	25	30	0.988009	0.00118894	 0.00124568
-1.6	-1.2	25	30	0.994971	0.000899236	 0.000972156
-1.2	-0.8	25	30	0.974201	0.00163699	 0.00155368
-0.8	-0.3	25	30	0.988486	0.000931728	 0.00096852
-0.3	-0.2	25	30	0.901787	0.00487297	 0.00488643
-0.2	0.2	25	30	0.975551	0.00116502	 0.00119597
0.2	0.3	25	30	0.884998	0.00508532	 0.00521047
0.3	0.8	25	30	0.985362	0.000934419	 0.000965382
0.8	1.2	25	30	0.974541	0.00176083	 0.0018138
1.2	1.6	25	30	0.991596	0.00110911	 0.00116918
1.6	2.1	25	30	0.988819	0.00114614	 0.00121134
2.1	2.4	25	30	0.959703	0.00282911	 0.00279601
-2.4	-2.1	30	40	0.95993	0.00162218	 0.00166621
-2.1	-1.6	30	40	0.987445	0.000655716	 0.000667021
-1.6	-1.2	30	40	0.992772	0.000525862	 0.000542519
-1.2	-0.8	30	40	0.973664	0.000851052	 0.000842322
-0.8	-0.3	30	40	0.989154	0.000453511	 0.000453965
-0.3	-0.2	30	40	0.89673	0.00260996	 0.0026297
-0.2	0.2	30	40	0.978477	0.000672897	 0.000674642
0.2	0.3	30	40	0.895341	0.00257813	 0.00262371
0.3	0.8	30	40	0.987337	0.000474605	 0.000458787
0.8	1.2	30	40	0.973613	0.000811581	 0.00081094
1.2	1.6	30	40	0.991488	0.000568148	 0.000587639
1.6	2.1	30	40	0.988314	0.000640738	 0.000655863
2.1	2.4	30	40	0.963271	0.00156387	 0.00159429
-2.4	-2.1	40	60	0.964087	0.00126409	 0.00128194
-2.1	-1.6	40	60	0.987554	0.000472355	 0.000479312
-1.6	-1.2	40	60	0.993437	0.000366609	 0.000376955
-1.2	-0.8	40	60	0.976041	0.000633813	 0.000643043
-0.8	-0.3	40	60	0.989922	0.000359829	 0.000366767
-0.3	-0.2	40	60	0.898993	0.00236664	 0.00235387
-0.2	0.2	40	60	0.979906	0.000516583	 0.000530294
0.2	0.3	40	60	0.894119	0.00234023	 0.00235114
0.3	0.8	40	60	0.988862	0.000381985	 0.00038726
0.8	1.2	40	60	0.975654	0.000641049	 0.000649243
1.2	1.6	40	60	0.993184	0.000369806	 0.000381072
1.6	2.1	40	60	0.986738	0.000498639	 0.000509762
2.1	2.4	40	60	0.965735	0.00119554	 0.0012115
-2.4	-2.1	60	100	0.968327	0.00403292	 0.00422183
-2.1	-1.6	60	100	0.984283	0.00176413	 0.00185048
-1.6	-1.2	60	100	0.993732	0.00134448	 0.00134448
-1.2	-0.8	60	100	0.978281	0.00205755	 0.00214017
-0.8	-0.3	60	100	0.989069	0.00109624	 0.00117548
-0.3	-0.2	60	100	0.89087	0.00799502	 0.00828162
-0.2	0.2	60	100	0.981236	0.00176229	 0.00185382
0.2	0.3	60	100	0.884831	0.00846524	 0.00863632
0.3	0.8	60	100	0.987142	0.0011745	 0.00125231
0.8	1.2	60	100	0.976241	0.00205707	 0.0021506
1.2	1.6	60	100	0.991196	0.00208319	 0.00234066
1.6	2.1	60	100	0.983298	0.00182722	 0.00192368
2.1	2.4	60	100	0.968678	0.00428623	 0.00453466
-2.4	-2.1	100	200	0.943475	0.0132004	 0.015481
-2.1	-1.6	100	200	0.984886	0.00577824	 0.0068275
-1.6	-1.2	100	200	0.994969	0.00227433	 0.00326806
-1.2	-0.8	100	200	0.970895	0.00576587	 0.0091205
-0.8	-0.3	100	200	0.982619	0.00393107	 0.00461925
-0.3	-0.2	100	200	0.838212	0.0257348	 0.0280739
-0.2	0.2	100	200	0.988725	0.00399872	 0.0043486
0.2	0.3	100	200	0.935643	0.0180941	 0.0214383
0.3	0.8	100	200	0.987285	0.00387733	 0.00442526
0.8	1.2	100	200	0.969183	0.00617586	 0.00686437
1.2	1.6	100	200	0.994282	0.00264013	 0.00354515
1.6	2.1	100	200	0.982809	0.00654024	 0.00775223
2.1	2.4	100	200	0.938084	0.0152737	 0.0169258
