etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	1	0.0207426	 0.0207426
-2.1	-1.6	10	13	0.960387	0.0324298	 0.0342729
-1.6	-1.2	10	13	1	0.00992904	 0.00992904
-1.2	-0.8	10	13	0.944097	0.0402731	 0.0417744
-0.8	-0.3	10	13	0.965218	0.0347819	 0.0400569
-0.3	-0.2	10	13	0.716613	0.123749	 0.111848
-0.2	0.2	10	13	0.938173	0.0515382	 0.0565013
0.2	0.3	10	13	1	0.0489586	 0.0489586
0.3	0.8	10	13	0.972579	0.0274214	 0.0795446
0.8	1.2	10	13	0.87303	0.0370446	 0.039258
1.2	1.6	10	13	1	0.019456	 0.019456
1.6	2.1	10	13	0.979361	0.0206389	 0.0322735
2.1	2.4	10	13	0.996888	0.00311192	 0.0485014
-2.4	-2.1	13	16	0.978882	0.0211175	 0.0327031
-2.1	-1.6	13	16	0.990097	0.00990333	 0.0156528
-1.6	-1.2	13	16	0.999999	0.00958438	 0.00958438
-1.2	-0.8	13	16	0.960362	0.017763	 0.0198534
-0.8	-0.3	13	16	0.970912	0.0256729	 0.0280024
-0.3	-0.2	13	16	0.845628	0.0784521	 0.0871435
-0.2	0.2	13	16	0.953303	0.0268049	 0.0298367
0.2	0.3	13	16	0.895948	0.022094	 0.0244097
0.3	0.8	13	16	0.938834	0.022094	 0.0244097
0.8	1.2	13	16	0.949657	0.0184133	 0.0207704
1.2	1.6	13	16	0.98139	0.0166444	 0.019026
1.6	2.1	13	16	0.993164	0.00683603	 0.0211892
2.1	2.4	13	16	0.963447	0.0250136	 0.0285145
-2.4	-2.1	16	20	0.988374	0.0116257	 0.0181008
-2.1	-1.6	16	20	0.98487	0.00828036	 0.00915017
-1.6	-1.2	16	20	0.992985	0.00701501	 0.00835641
-1.2	-0.8	16	20	0.934435	0.0124821	 0.013494
-0.8	-0.3	16	20	0.954579	0.0114647	 0.0123823
-0.3	-0.2	16	20	0.930135	0.032118	 0.0370445
-0.2	0.2	16	20	0.942665	0.0161804	 0.0182512
0.2	0.3	16	20	0.801436	0.0484484	 0.0516163
0.3	0.8	16	20	0.972944	0.0105156	 0.0114592
0.8	1.2	16	20	0.950783	0.0121413	 0.0132236
1.2	1.6	16	20	0.986853	0.00798229	 0.00911265
1.6	2.1	16	20	0.969114	0.0102692	 0.011265
2.1	2.4	16	20	0.966813	0.0155461	 0.0176016
-2.4	-2.1	20	25	0.941977	0.01115	 0.0118171
-2.1	-1.6	20	25	0.964408	0.00609935	 0.00651343
-1.6	-1.2	20	25	0.993	0.00419119	 0.00477473
-1.2	-0.8	20	25	0.951838	0.00708394	 0.00754878
-0.8	-0.3	20	25	0.975808	0.00530823	 0.00574294
-0.3	-0.2	20	25	0.865222	0.0206083	 0.0231991
