etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.917859	0.0150642	 0.0159028
-2.1	-1.6	10	13	0.972875	0.00740732	 0.00806567
-1.6	-1.2	10	13	0.974193	0.00721237	 0.00789104
-1.2	-0.8	10	13	0.952556	0.0093244	 0.0100753
-0.8	-0.3	10	13	0.982396	0.00756937	 0.00845733
-0.3	-0.2	10	13	0.819396	0.0432678	 0.0471485
-0.2	0.2	10	13	0.961169	0.01454	 0.0164367
0.2	0.3	10	13	0.898271	0.0424894	 0.0459573
0.3	0.8	10	13	0.973427	0.00865013	 0.00978422
0.8	1.2	10	13	0.966152	0.00832894	 0.00912239
1.2	1.6	10	13	0.976267	0.00704193	 0.00773166
1.6	2.1	10	13	0.973414	0.00708864	 0.00770331
2.1	2.4	10	13	0.924017	0.0129437	 0.0136419
-2.4	-2.1	13	16	0.94349	0.00872845	 0.00932683
-2.1	-1.6	13	16	0.97807	0.0046861	 0.00512302
-1.6	-1.2	13	16	0.974719	0.00533942	 0.00587886
-1.2	-0.8	13	16	0.957357	0.0061432	 0.00661227
-0.8	-0.3	13	16	0.964984	0.00467718	 0.00507412
-0.3	-0.2	13	16	0.941336	0.0151057	 0.0175045
-0.2	0.2	13	16	0.965657	0.00827451	 0.00901783
0.2	0.3	13	16	0.884696	0.0283695	 0.042688
0.3	0.8	13	16	0.970398	0.00544138	 0.00593653
0.8	1.2	13	16	0.969975	0.00540216	 0.00585962
1.2	1.6	13	16	0.983171	0.00455193	 0.00505281
1.6	2.1	13	16	0.977529	0.00514949	 0.0055966
2.1	2.4	13	16	0.935158	0.0100281	 0.0107064
-2.4	-2.1	16	20	0.94034	0.00630933	 0.00672224
-2.1	-1.6	16	20	0.982539	0.00282575	 0.00309022
-1.6	-1.2	16	20	0.988773	0.00276713	 0.00301168
-1.2	-0.8	16	20	0.968423	0.00370517	 0.00392018
-0.8	-0.3	16	20	0.979335	0.00220802	 0.00238692
-0.3	-0.2	16	20	0.880415	0.0131664	 0.0139201
-0.2	0.2	16	20	0.979803	0.00360465	 0.00391557
0.2	0.3	16	20	0.890968	0.0142196	 0.0220324
0.3	0.8	16	20	0.983501	0.00262395	 0.00281893
0.8	1.2	16	20	0.962413	0.00392097	 0.00413976
1.2	1.6	16	20	0.98731	0.00266242	 0.00290164
1.6	2.1	16	20	0.981622	0.00292268	 0.00311283
2.1	2.4	16	20	0.942728	0.00497154	 0.00526295
-2.4	-2.1	20	25	0.964122	0.00353005	 0.00367602
-2.1	-1.6	20	25	0.985185	0.00163846	 0.00172019
-1.6	-1.2	20	25	0.989802	0.00150964	 0.00163724
-1.2	-0.8	20	25	0.973696	0.00230083	 0.00242337
-0.8	-0.3	20	25	0.987458	0.00136435	 0.00143492
-0.3	-0.2	20	25	0.896343	0.00718439	 0.00734242
-0.2	0.2	20	25	0.978447	0.0020069	 0.00209472
0.2	0.3	20	25	0.892235	0.00696065	 0.00723009
0.3	0.8	20	25	0.98244	0.0014989	 0.00154504
0.8	1.2	20	25	0.971352	0.00232109	 0.00241634
1.2	1.6	20	25	0.990937	0.00143248	 0.00153885
