etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.946642	0.0480099	 0.0511543
-2.1	-1.6	10	13	0.968618	0.0313821	 0.0360727
-1.6	-1.2	10	13	0.99417	0.00582986	 0.0293853
-1.2	-0.8	10	13	0.89399	0.0461077	 0.0474075
-0.8	-0.3	10	13	0.969146	0.030854	 0.0420317
-0.3	-0.2	10	13	0.713562	0.136763	 0.119662
-0.2	0.2	10	13	0.861487	0.059733	 0.0622934
0.2	0.3	10	13	1	0.042325	 0.042325
0.3	0.8	10	13	0.960153	0.0398471	 0.0461279
0.8	1.2	10	13	0.851681	0.0426466	 0.0445897
1.2	1.6	10	13	0.99101	0.00898962	 0.033437
1.6	2.1	10	13	0.963481	0.0336356	 0.0348247
2.1	2.4	10	13	0.926516	0.0489511	 0.0512002
-2.4	-2.1	13	16	0.941425	0.0360254	 0.0379341
-2.1	-1.6	13	16	0.95955	0.0172169	 0.0187345
-1.6	-1.2	13	16	1	0.00967404	 0.00967404
-1.2	-0.8	13	16	0.93375	0.0208919	 0.0227337
-0.8	-0.3	13	16	0.955884	0.0285492	 0.0307693
-0.3	-0.2	13	16	0.845628	0.0784521	 0.0871435
-0.2	0.2	13	16	0.951688	0.0299406	 0.0329531
0.2	0.3	13	16	0.879486	0.093501	 0.083673
0.3	0.8	13	16	0.925335	0.0245984	 0.0265445
0.8	1.2	13	16	0.936832	0.0209441	 0.0231757
1.2	1.6	13	16	0.968316	0.0205569	 0.0227067
1.6	2.1	13	16	0.968104	0.0220926	 0.0235598
2.1	2.4	13	16	0.909846	0.0326303	 0.0355778
-2.4	-2.1	16	20	0.931549	0.0219406	 0.0231216
-2.1	-1.6	16	20	0.970025	0.0102891	 0.011052
-1.6	-1.2	16	20	0.977723	0.00990798	 0.0109955
-1.2	-0.8	16	20	0.932319	0.0132142	 0.0141705
-0.8	-0.3	16	20	0.933984	0.0137602	 0.0146107
-0.3	-0.2	16	20	0.918708	0.0351152	 0.0397158
-0.2	0.2	16	20	0.937172	0.0167722	 0.0181839
0.2	0.3	16	20	0.815622	0.0485065	 0.0507129
0.3	0.8	16	20	0.961021	0.0120431	 0.0129602
0.8	1.2	16	20	0.941963	0.0132576	 0.014296
1.2	1.6	16	20	0.984143	0.00891172	 0.0100686
1.6	2.1	16	20	0.955335	0.0131384	 0.0130422
2.1	2.4	16	20	0.891184	0.0221844	 0.0235498
-2.4	-2.1	20	25	0.921959	0.012943	 0.0135673
-2.1	-1.6	20	25	0.953698	0.00681927	 0.00722711
-1.6	-1.2	20	25	0.992376	0.00461945	 0.00523375
-1.2	-0.8	20	25	0.945949	0.00747822	 0.00792569
-0.8	-0.3	20	25	0.967509	0.00585409	 0.00624666
-0.3	-0.2	20	25	0.858819	0.0211393	 0.0222589
-0.2	0.2	20	25	0.939978	0.00799082	 0.00843443
0.2	0.3	20	25	0.813411	0.0224779	 0.0216873
0.3	0.8	20	25	0.957202	0.00645238	 0.00670951
0.8	1.2	20	25	0.924158	0.00713673	 0.00748276
1.2	1.6	20	25	0.981618	0.00586208	 0.00638857
1.6	2.1	20	25	0.967739	0.00589744	 0.00633046
2.1	2.4	20	25	0.930571	0.0132402	 0.0132402
-2.4	-2.1	25	30	0.934976	0.00911471	 0.00960781
-2.1	-1.6	25	30	0.958691	0.00510102	 0.00537542
-1.6	-1.2	25	30	0.981009	0.00375797	 0.00412421
-1.2	-0.8	25	30	0.933516	0.00638751	 0.00679776
-0.8	-0.3	25	30	0.964128	0.00401064	 0.00422689
-0.3	-0.2	25	30	0.844621	0.0147993	 0.0154068
-0.2	0.2	25	30	0.941223	0.00501684	 0.00521639
0.2	0.3	25	30	0.86012	0.0146979	 0.0139766
0.3	0.8	25	30	0.966337	0.00390113	 0.00413313
0.8	1.2	25	30	0.9426	0.00579744	 0.00606607
1.2	1.6	25	30	0.985278	0.0035718	 0.0038778
1.6	2.1	25	30	0.969644	0.00495688	 0.00525128
2.1	2.4	25	30	0.912406	0.0102455	 0.0106778
-2.4	-2.1	30	40	0.906991	0.00552068	 0.00566337
-2.1	-1.6	30	40	0.966284	0.00252645	 0.00259482
-1.6	-1.2	30	40	0.981883	0.00194488	 0.00202172
-1.2	-0.8	30	40	0.941904	0.00284751	 0.00291368
-0.8	-0.3	30	40	0.95663	0.0020216	 0.00207829
-0.3	-0.2	30	40	0.857133	0.00739428	 0.00740351
-0.2	0.2	30	40	0.951724	0.00237033	 0.00241063
0.2	0.3	30	40	0.851438	0.0066827	 0.00690512
0.3	0.8	30	40	0.963796	0.00186469	 0.00189518
0.8	1.2	30	40	0.943556	0.00283637	 0.00290794
1.2	1.6	30	40	0.980363	0.00207408	 0.00215631
1.6	2.1	30	40	0.972494	0.00228591	 0.00235277
2.1	2.4	30	40	0.919001	0.00562866	 0.00575486
-2.4	-2.1	40	60	0.915735	0.00469444	 0.00478607
-2.1	-1.6	40	60	0.965996	0.00186842	 0.00192512
-1.6	-1.2	40	60	0.982205	0.00141916	 0.00146897
-1.2	-0.8	40	60	0.935847	0.00220843	 0.0022465
-0.8	-0.3	40	60	0.962466	0.0015461	 0.00157071
-0.3	-0.2	40	60	0.850435	0.00607949	 0.00613298
-0.2	0.2	40	60	0.95051	0.00198191	 0.00201622
0.2	0.3	40	60	0.854048	0.00610179	 0.00616965
0.3	0.8	40	60	0.965918	0.00148247	 0.00151261
0.8	1.2	40	60	0.942284	0.00207579	 0.00210321
1.2	1.6	40	60	0.982546	0.00141625	 0.0014671
1.6	2.1	40	60	0.970226	0.00180414	 0.00185983
2.1	2.4	40	60	0.922781	0.00470392	 0.00479913
-2.4	-2.1	60	100	0.933234	0.0179487	 0.0189179
-2.1	-1.6	60	100	0.969014	0.00629212	 0.0067943
-1.6	-1.2	60	100	0.989478	0.00406788	 0.00460744
-1.2	-0.8	60	100	0.935763	0.00724371	 0.00766229
-0.8	-0.3	60	100	0.960764	0.00526113	 0.00558953
-0.3	-0.2	60	100	0.861882	0.0188959	 0.0201175
-0.2	0.2	60	100	0.947283	0.0065042	 0.0068928
0.2	0.3	60	100	0.849779	0.0175512	 0.0187574
0.3	0.8	60	100	0.95982	0.00471869	 0.00496749
0.8	1.2	60	100	0.949417	0.00632155	 0.00665965
1.2	1.6	60	100	0.987215	0.00491089	 0.00550214
1.6	2.1	60	100	0.982149	0.0060142	 0.00657046
2.1	2.4	60	100	0.938758	0.0180976	 0.0190943
-2.4	-2.1	100	200	0.999999	0.0495558	 0.0495558
-2.1	-1.6	100	200	0.948671	0.017232	 0.0303698
-1.6	-1.2	100	200	0.961771	0.0185965	 0.0181482
-1.2	-0.8	100	200	0.970221	0.0197257	 0.0242342
-0.8	-0.3	100	200	0.974381	0.0151576	 0.0194186
-0.3	-0.2	100	200	0.796542	0.050052	 0.057905
-0.2	0.2	100	200	0.964236	0.0155059	 0.0192466
0.2	0.3	100	200	0.851492	0.0475959	 0.0567247
0.3	0.8	100	200	0.987267	0.00965156	 0.01324
0.8	1.2	100	200	0.892648	0.0262804	 0.0290571
1.2	1.6	100	200	0.980482	0.0156805	 0.0195118
1.6	2.1	100	200	0.97484	0.0226765	 0.026699
2.1	2.4	100	200	0.979376	0.0206236	 0.0596352
