etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	20	0.937984	0.0620163	 0.0792355
-2.1	-1.6	10	20	0.999999	0	 0.020775
-1.6	-1.2	10	20	0.833576	0.0650737	 0.057816
-1.2	-0.8	10	20	0.888475	0.111525	 0.0629551
-0.8	-0.3	10	20	1	0	 0.0734671
-0.3	0.3	10	20	0.955087	0.0449127	 0.0822761
0.3	0.8	10	20	0.97109	0.0289103	 0.0715192
0.8	1.2	10	20	0.817789	0.0633351	 0.0574662
1.2	1.6	10	20	0.999999	0	 0.0509407
1.6	2.1	10	20	1	0	 0.0242949
2.1	2.4	10	20	0.933828	0.0661725	 0.0763964
-2.4	-2.1	20	30	0.959364	0.0170043	 0.0172597
-2.1	-1.6	20	30	0.957139	0.0111398	 0.0113171
-1.6	-1.2	20	30	0.980791	0.0140008	 0.0141415
-1.2	-0.8	20	30	0.967384	0.0138193	 0.013944
-0.8	-0.3	20	30	0.980135	0.012329	 0.0132687
-0.3	0.3	20	30	0.975886	0.0110467	 0.0112055
0.3	0.8	20	30	0.97933	0.0122909	 0.0123528
0.8	1.2	20	30	0.962933	0.014948	 0.0150056
1.2	1.6	20	30	0.994085	0.00591549	 0.0191172
1.6	2.1	20	30	0.978155	0.0118479	 0.0120292
2.1	2.4	20	30	0.895521	0.0172581	 0.0175159
-2.4	-2.1	30	50	0.93551	0.00635132	 0.00635132
-2.1	-1.6	30	50	0.986246	0.00244084	 0.00252931
-1.6	-1.2	30	50	0.989963	0.00268704	 0.00280707
-1.2	-0.8	30	50	0.98369	0.00252461	 0.00260293
-0.8	-0.3	30	50	0.987006	0.00225168	 0.00230647
-0.3	0.3	30	50	0.972709	9.07262e-05	 9.07262e-05
0.3	0.8	30	50	0.98528	0.00228842	 0.00234827
0.8	1.2	30	50	0.981544	0.00275816	 0.00283522
1.2	1.6	30	50	0.989891	0.00377957	 0.00387052
1.6	2.1	30	50	0.990738	0.00265277	 0.00273844
2.1	2.4	30	50	0.931313	0.00610869	 0.00623886
-2.4	-2.1	50	200	0.955082	0.0188115	 0.0190604
-2.1	-1.6	50	200	0.997064	0.00293609	 0.00807512
-1.6	-1.2	50	200	0.986836	0.00934934	 0.00965143
-1.2	-0.8	50	200	0.984531	0.0082475	 0.00852498
-0.8	-0.3	50	200	0.976615	0.00832064	 0.00851001
-0.3	0.3	50	200	0.973152	0.00830461	 0.00844813
0.3	0.8	50	200	0.973731	0.00883572	 0.00902415
0.8	1.2	50	200	0.988154	0.00991872	 0.0101639
1.2	1.6	50	200	0.990327	0.00967301	 0.0155625
1.6	2.1	50	200	0.972635	0.010168	 0.0104428
2.1	2.4	50	200	0.927445	0.0186307	 0.0190173
