etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	15	0	0	 0
-2.1	-1.6	10	15	0	0	 0
-1.6	-1.2	10	15	0	0	 0
-1.2	-0.8	10	15	0	0	 0
-0.8	-0.3	10	15	0	0	 0
-0.3	-0.2	10	15	0	0	 0
-0.2	0.2	10	15	0	0	 0
0.2	0.3	10	15	0	0	 0
0.3	0.8	10	15	0	0	 0
0.8	1.2	10	15	0	0	 0
1.2	1.6	10	15	0	0	 0
1.6	2.1	10	15	0	0	 0
2.1	2.4	10	15	0	0	 0
-2.4	-2.1	15	16	0	0	 0
-2.1	-1.6	15	16	0	0	 0
-1.6	-1.2	15	16	0	0	 0
-1.2	-0.8	15	16	0	0	 0
-0.8	-0.3	15	16	0	0	 0
-0.3	-0.2	15	16	0	0	 0
-0.2	0.2	15	16	0	0	 0
0.2	0.3	15	16	0	0	 0
0.3	0.8	15	16	0	0	 0
0.8	1.2	15	16	0	0	 0
1.2	1.6	15	16	0	0	 0
1.6	2.1	15	16	0	0	 0
2.1	2.4	15	16	0	0	 0
-2.4	-2.1	16	17	0.0730573	0.024315	 0.0202154
-2.1	-1.6	16	17	0.049435	0.0145126	 0.0122433
-1.6	-1.2	16	17	0.0403584	0.0145708	 0.0118286
-1.2	-0.8	16	17	0.0342552	0.0143314	 0.0112339
-0.8	-0.3	16	17	0.0369654	0.0133946	 0.0108623
-0.3	-0.2	16	17	0.0294256	0.0385424	 0.0204596
-0.2	0.2	16	17	0.0335404	0.0192374	 0.0139259
0.2	0.3	16	17	0.0434703	0.056049	 0.0369163
0.3	0.8	16	17	0	0	 0
0.8	1.2	16	17	0.0248423	0.012591	 0.00944578
1.2	1.6	16	17	0.0284879	0.015989	 0.0129992
1.6	2.1	16	17	0.0526317	0.0148204	 0.0125823
2.1	2.4	16	17	0.0275398	0.0170937	 0.0115374
-2.4	-2.1	17	18	0.695993	0.0378845	 0.0399604
-2.1	-1.6	17	18	0.837311	0.0221464	 0.0236941
-1.6	-1.2	17	18	0.871498	0.0210755	 0.0234098
-1.2	-0.8	17	18	0.753482	0.0291238	 0.0307519
-0.8	-0.3	17	18	0.967767	0.0115863	 0.0145585
-0.3	-0.2	17	18	0.761002	0.0723328	 0.0815351
-0.2	0.2	17	18	0.899599	0.0215999	 0.0248295
0.2	0.3	17	18	0.623972	0.0782537	 0.0794197
0.3	0.8	17	18	0.900661	0.0180601	 0.0203506
0.8	1.2	17	18	0.65271	0.0337805	 0.0353658
1.2	1.6	17	18	0.863746	0.0215667	 0.0238292
1.6	2.1	17	18	0.852614	0.0243919	 0.0260784
2.1	2.4	17	18	0.542765	0.0429787	 0.043754
-2.4	-2.1	18	19	0.71552	0.0328998	 0.034922
-2.1	-1.6	18	19	0.895333	0.0171781	 0.0183718
-1.6	-1.2	18	19	0.90658	0.0187265	 0.019837
-1.2	-0.8	18	19	0.75227	0.0275107	 0.0289168
-0.8	-0.3	18	19	0.976598	0.00850201	 0.00980561
-0.3	-0.2	18	19	0.851112	0.0641666	 0.0721731
-0.2	0.2	18	19	0.884488	0.0209824	 0.0237364
0.2	0.3	18	19	0.913046	0.0355973	 0.0474733
0.3	0.8	18	19	0.988296	0.00504069	 0.00698682
0.8	1.2	18	19	0.717586	0.0280602	 0.0295708
1.2	1.6	18	19	0.89914	0.0173264	 0.0187801
1.6	2.1	18	19	0.903695	0.0146057	 0.0160564
2.1	2.4	18	19	0.697627	0.0315715	 0.0329893
-2.4	-2.1	19	20	0.766863	0.0331804	 0.0340346
-2.1	-1.6	19	20	0.90753	0.0160767	 0.0191139
-1.6	-1.2	19	20	0.946893	0.0116576	 0.0134098
-1.2	-0.8	19	20	0.801503	0.0232985	 0.0249175
-0.8	-0.3	19	20	0.957427	0.000652671	 0.000652671
-0.3	-0.2	19	20	0.770832	0.0675359	 0.0597557
-0.2	0.2	19	20	0.923376	0.0157335	 0.0178921
0.2	0.3	19	20	0.863953	0.043023	 0.0524525
0.3	0.8	19	20	0.973941	0.00790677	 0.00917407
0.8	1.2	19	20	0.836125	0.0243785	 0.0257642
1.2	1.6	19	20	0.921735	0.0173164	 0.0166286
1.6	2.1	19	20	0.906646	0.0154511	 0.0167913
2.1	2.4	19	20	0.740414	0.0293394	 0.0308026
-2.4	-2.1	20	25	0.818632	0.0100245	 0.0101482
-2.1	-1.6	20	25	0.916685	0.00504633	 0.00524812
-1.6	-1.2	20	25	0.942391	0.00487805	 0.00505818
-1.2	-0.8	20	25	0.794494	0.00903935	 0.00923681
-0.8	-0.3	20	25	0.967747	0.0029624	 0.00314689
-0.3	-0.2	20	25	0.809873	0.0175731	 0.0172441
-0.2	0.2	20	25	0.914838	0.00552729	 0.00570885
0.2	0.3	20	25	0.844754	0.0149494	 0.0157925
0.3	0.8	20	25	0.961436	0.00325642	 0.00344606
0.8	1.2	20	25	0.781021	0.00832177	 0.00848963
1.2	1.6	20	25	0.932438	0.00525459	 0.00528231
1.6	2.1	20	25	0.92492	0.00510219	 0.00520615
2.1	2.4	20	25	0.813794	0.0110975	 0.0112687
-2.4	-2.1	25	30	0.835522	0.00769918	 0.00779612
-2.1	-1.6	25	30	0.948104	0.0037667	 0.00398245
-1.6	-1.2	25	30	0.942573	0.00350228	 0.00364831
-1.2	-0.8	25	30	0.793289	0.00673481	 0.00675495
-0.8	-0.3	25	30	0.967251	0.00247463	 0.00254194
-0.3	-0.2	25	30	0.798044	0.0114293	 0.0117183
-0.2	0.2	25	30	0.918183	0.00359632	 0.00367297
0.2	0.3	25	30	0.862394	0.010613	 0.0108722
0.3	0.8	25	30	0.961724	0.00250522	 0.00258823
0.8	1.2	25	30	0.795055	0.00634932	 0.00646913
1.2	1.6	25	30	0.93839	0.00354469	 0.00368008
1.6	2.1	25	30	0.93571	0.00353771	 0.0036673
2.1	2.4	25	30	0.837693	0.00825887	 0.00852528
-2.4	-2.1	30	40	0.878126	0.00390611	 0.00389427
-2.1	-1.6	30	40	0.93989	0.00202073	 0.00201971
-1.6	-1.2	30	40	0.942801	0.00209765	 0.00207003
-1.2	-0.8	30	40	0.805193	0.00317527	 0.00313254
-0.8	-0.3	30	40	0.966036	0.00116728	 0.00116419
-0.3	-0.2	30	40	0.79182	0.00599486	 0.00612862
-0.2	0.2	30	40	0.918601	0.00194524	 0.00195777
0.2	0.3	30	40	0.850771	0.00526838	 0.00533113
0.3	0.8	30	40	0.963493	0.00122137	 0.00123053
0.8	1.2	30	40	0.793013	0.00318358	 0.00319596
1.2	1.6	30	40	0.93588	0.00209555	 0.00210137
1.6	2.1	30	40	0.943579	0.00181311	 0.00184937
2.1	2.4	30	40	0.866233	0.00408547	 0.00409598
-2.4	-2.1	40	60	0.900265	0.0031526	 0.00318092
-2.1	-1.6	40	60	0.943582	0.00145381	 0.00145914
-1.6	-1.2	40	60	0.945571	0.00145381	 0.00145914
-1.2	-0.8	40	60	0.791215	0.00249337	 0.00250966
-0.8	-0.3	40	60	0.962387	0.000947566	 0.00096315
-0.3	-0.2	40	60	0.813149	0.00488435	 0.00494389
-0.2	0.2	40	60	0.917195	0.00167594	 0.00168377
0.2	0.3	40	60	0.844739	0.00427157	 0.00433893
0.3	0.8	40	60	0.961946	0.000956561	 0.000973451
0.8	1.2	40	60	0.792446	0.00251292	 0.00251967
1.2	1.6	40	60	0.938278	0.00158312	 0.00160394
1.6	2.1	40	60	0.946282	5.55848e-05	 5.55848e-05
2.1	2.4	40	60	0.897251	0.00291243	 0.00295106
-2.4	-2.1	60	100	0.92045	0.00772351	 0.00825201
