etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.944663	0.00728725	 0.00794723
-2.1	-1.6	10	13	0.950846	0.0050693	 0.00537332
-1.6	-1.2	10	13	0.97943	0.00456667	 0.00505054
-1.2	-0.8	10	13	0.96758	0.0056329	 0.00588076
-0.8	-0.3	10	13	0.968107	0.00642383	 0.00735605
-0.3	-0.2	10	13	0.834913	0.0463992	 0.0376082
-0.2	0.2	10	13	0.964268	0.00897198	 0.0107648
0.2	0.3	10	13	0.853199	0.0365697	 0.0426623
0.3	0.8	10	13	0.963885	0.00657921	 0.00706
0.8	1.2	10	13	0.952593	0.00630387	 0.00694424
1.2	1.6	10	13	0.98211	0.00344311	 0.00396169
1.6	2.1	10	13	0.952806	0.00485983	 0.00524374
2.1	2.4	10	13	0.936501	0.00757521	 0.00814851
-2.4	-2.1	13	16	0.947099	0.000105884	 0.000105884
-2.1	-1.6	13	16	0.96087	0.00416342	 0.00443639
-1.6	-1.2	13	16	0.98453	0.00256841	 0.00285763
-1.2	-0.8	13	16	0.955717	0.00470132	 0.00502698
-0.8	-0.3	13	16	0.961432	0.00450003	 0.00486328
-0.3	-0.2	13	16	0.842248	0.0224769	 0.0244773
-0.2	0.2	13	16	0.950598	0.0072894	 0.00820373
0.2	0.3	13	16	0.876123	0.0204681	 0.0228803
0.3	0.8	13	16	0.969001	0.00405757	 0.00441251
0.8	1.2	13	16	0.959125	0.00444644	 0.00480438
1.2	1.6	13	16	0.973471	0.00383749	 0.00415019
1.6	2.1	13	16	0.959154	0.0036686	 0.00389241
2.1	2.4	13	16	0.954907	0.00595992	 0.00632989
-2.4	-2.1	16	20	0.950346	0.000208996	 0.000208996
-2.1	-1.6	16	20	0.951787	0.00300182	 0.00305389
-1.6	-1.2	16	20	0.985031	0.00169084	 0.00183398
-1.2	-0.8	16	20	0.955638	0.00321041	 0.00329327
-0.8	-0.3	16	20	0.967045	0.00253433	 0.00257213
-0.3	-0.2	16	20	0.847301	0.013223	 0.0139322
-0.2	0.2	16	20	0.946952	0.00421361	 0.00434682
0.2	0.3	16	20	0.858289	0.0134794	 0.0140557
0.3	0.8	16	20	0.962365	0.00257225	 0.0026917
0.8	1.2	16	20	0.956764	0.00299082	 0.00312642
1.2	1.6	16	20	0.979176	0.00238976	 0.00256847
1.6	2.1	16	20	0.953146	0.00267306	 0.00277975
2.1	2.4	16	20	0.943461	0.00442093	 0.00457434
-2.4	-2.1	20	25	0.957601	0.00247275	 0.00258009
-2.1	-1.6	20	25	0.956747	0.00203458	 0.00195168
-1.6	-1.2	20	25	0.984059	0.00114024	 0.00119716
-1.2	-0.8	20	25	0.961329	0.00194376	 0.00196375
-0.8	-0.3	20	25	0.97036	0.00143458	 0.00145897
-0.3	-0.2	20	25	0.836111	0.00748406	 0.00764679
-0.2	0.2	20	25	0.956952	0.00190112	 0.00195142
0.2	0.3	20	25	0.877742	0.00667745	 0.00681578
0.3	0.8	20	25	0.96837	0.00165992	 0.00165813
0.8	1.2	20	25	0.957233	0.0019127	 0.00196091
1.2	1.6	20	25	0.979004	0.0014548	 0.00142194
1.6	2.1	20	25	0.959836	0.00186965	 0.0018649
2.1	2.4	20	25	0.953664	0.00251746	 0.00261759
