etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	20	0	0	 0
-2.1	-1.6	10	20	0	0	 0
-1.6	-1.2	10	20	0	0	 0
-1.2	-0.8	10	20	0	0	 0
-0.8	-0.3	10	20	0	0	 0
-0.3	-0.2	10	20	0	0	 0
-0.2	0.2	10	20	0	0	 0
0.2	0.3	10	20	0	0	 0
0.3	0.8	10	20	0	0	 0
0.8	1.2	10	20	0	0	 0
1.2	1.6	10	20	0	0	 0
1.6	2.1	10	20	0	0	 0
2.1	2.4	10	20	0	0	 0
-2.4	-2.1	20	21	0.0245056	0.00615977	 0.00557469
-2.1	-1.6	20	21	0.0134398	0.00303941	 0.00273411
-1.6	-1.2	20	21	0	0	 0
-1.2	-0.8	20	21	0	0	 0
-0.8	-0.3	20	21	0	0	 0
-0.3	-0.2	20	21	0	0	 0
-0.2	0.2	20	21	0	0	 0
0.2	0.3	20	21	0	0	 0
0.3	0.8	20	21	0	0	 0
0.8	1.2	20	21	0	0	 0
1.2	1.6	20	21	0.0110747	0.00340219	 0.00298875
1.6	2.1	20	21	0.0176403	0.00309173	 0.00277996
2.1	2.4	20	21	0.0234227	0.00488912	 0.00426419
-2.4	-2.1	21	22	0.13582	0.0103736	 0.0103518
-2.1	-1.6	21	22	0.0988324	0.00750397	 0.00679761
-1.6	-1.2	21	22	0.0789897	0.00624508	 0.00589742
-1.2	-0.8	21	22	0.0596586	0.00556431	 0.00522138
-0.8	-0.3	21	22	0.0557989	0.00505104	 0.00505104
-0.3	-0.2	21	22	0.0420747	0.0110462	 0.00950626
-0.2	0.2	21	22	0.052606	0.00627267	 0.00604018
0.2	0.3	21	22	0.0255841	0.00906624	 0.00748876
0.3	0.8	21	22	0.0539376	0.00477401	 0.00457109
0.8	1.2	21	22	0.0676553	0.00595486	 0.00563146
1.2	1.6	21	22	0.0610103	0.00652237	 0.00628027
1.6	2.1	21	22	0.0988514	0.00653878	 0.00619421
2.1	2.4	21	22	0.120878	0.010663	 0.0103171
-2.4	-2.1	22	23	0.650721	0.0145215	 0.0144572
-2.1	-1.6	22	23	0.746432	0.00937681	 0.00953109
-1.6	-1.2	22	23	0.818977	0.00863058	 0.00862942
-1.2	-0.8	22	23	0.814908	0.00853892	 0.00858927
-0.8	-0.3	22	23	0.886883	0.00613315	 0.00633542
-0.3	-0.2	22	23	0.750724	0.0192	 0.0195306
