etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.916962	0.00883241	 0.00946671
-2.1	-1.6	10	13	0.940153	0.00576512	 0.00615895
-1.6	-1.2	10	13	0.97831	0.00498282	 0.005938
-1.2	-0.8	10	13	0.961437	0.00592372	 0.00660578
-0.8	-0.3	10	13	0.967407	0.00703469	 0.00780407
-0.3	-0.2	10	13	0.777781	0.0416858	 0.045776
-0.2	0.2	10	13	0.953445	0.00981778	 0.0114306
0.2	0.3	10	13	0.852594	0.0378981	 0.0424854
0.3	0.8	10	13	0.961073	0.00791726	 0.00828326
0.8	1.2	10	13	0.944667	0.00720262	 0.00789005
1.2	1.6	10	13	0.970461	0.0053684	 0.00571122
1.6	2.1	10	13	0.955691	0.00556061	 0.00595969
2.1	2.4	10	13	0.954835	0.00942694	 0.00799898
-2.4	-2.1	13	16	0.92834	0.0112751	 0.00729949
-2.1	-1.6	13	16	0.950973	0.00489167	 0.00521399
-1.6	-1.2	13	16	0.980573	0.00333944	 0.00366995
-1.2	-0.8	13	16	0.964289	0.00444774	 0.00473728
-0.8	-0.3	13	16	0.969917	0.00479817	 0.00492525
-0.3	-0.2	13	16	0.837957	0.0233829	 0.0256643
-0.2	0.2	13	16	0.956504	0.00688354	 0.00735805
0.2	0.3	13	16	0.87609	0.0238907	 0.0255358
0.3	0.8	13	16	0.966763	0.00449379	 0.00474007
0.8	1.2	13	16	0.958759	0.00498326	 0.00525261
1.2	1.6	13	16	0.970846	0.00363196	 0.00395542
1.6	2.1	13	16	0.966043	0.00430436	 0.0045214
2.1	2.4	13	16	0.949862	0.00659271	 0.00699624
-2.4	-2.1	16	20	0.94743	0.00451145	 0.00433743
-2.1	-1.6	16	20	0.951352	0.00316822	 0.00327549
-1.6	-1.2	16	20	0.982268	0.00185383	 0.00200375
-1.2	-0.8	16	20	0.959943	0.00334627	 0.00362705
-0.8	-0.3	16	20	0.96574	0.00258811	 0.00271246
-0.3	-0.2	16	20	0.829684	0.0142377	 0.0147357
-0.2	0.2	16	20	0.95119	0.00443646	 0.00456123
0.2	0.3	16	20	0.852536	0.0136067	 0.0140432
0.3	0.8	16	20	0.965704	0.00298996	 0.00464304
0.8	1.2	16	20	0.959805	0.00305411	 0.00319389
1.2	1.6	16	20	0.972061	0.00258838	 0.00248448
1.6	2.1	16	20	0.953982	0.00316805	 0.00331028
2.1	2.4	16	20	0.941654	0.00487544	 0.00508297
-2.4	-2.1	20	25	0.953095	0.00298016	 0.00300569
-2.1	-1.6	20	25	0.948821	0.00193577	 0.00199335
-1.6	-1.2	20	25	0.980546	0.00129122	 0.00135345
-1.2	-0.8	20	25	0.961325	0.0020041	 0.00197708
-0.8	-0.3	20	25	0.969969	0.00162905	 0.00164075
-0.3	-0.2	20	25	0.839675	0.00765572	 0.00775244
-0.2	0.2	20	25	0.954834	0.00218268	 0.00219197
0.2	0.3	20	25	0.866352	0.00729953	 0.00744833
0.3	0.8	20	25	0.968095	0.00154509	 0.00157099
0.8	1.2	20	25	0.959933	0.00199115	 0.00200815
1.2	1.6	20	25	0.976028	0.00150966	 0.00155855
1.6	2.1	20	25	0.957226	0.00216807	 0.00220026
2.1	2.4	20	25	0.949397	0.00312522	 0.00316418
-2.4	-2.1	25	30	0.954783	0.00234312	 0.00239151
-2.1	-1.6	25	30	0.951582	0.00169609	 0.00172998
-1.6	-1.2	25	30	0.984887	0.00101434	 0.00149029
-1.2	-0.8	25	30	0.961543	0.00152233	 0.00152963
-0.8	-0.3	25	30	0.968733	0.00120279	 0.00120392
-0.3	-0.2	25	30	0.840785	0.00496748	 0.00504718
-0.2	0.2	25	30	0.955686	0.00139148	 0.00137928
0.2	0.3	25	30	0.863952	0.00476477	 0.00485728
0.3	0.8	25	30	0.965673	0.00117037	 0.00116742
0.8	1.2	25	30	0.957749	0.00159675	 0.00161173
1.2	1.6	25	30	0.975719	0.00130739	 0.00133014
1.6	2.1	25	30	0.957182	0.00153465	 0.00153898
2.1	2.4	25	30	0.952325	0.00229092	 0.00229134
-2.4	-2.1	30	40	0.960121	0.00123325	 0.00125078
-2.1	-1.6	30	40	0.953713	0.000910857	 0.000915653
-1.6	-1.2	30	40	0.983897	0.000531674	 0.000527849
-1.2	-0.8	30	40	0.959065	0.000752954	 0.00075453
-0.8	-0.3	30	40	0.966873	0.00259126	 0.00258968
-0.3	-0.2	30	40	0.835399	0.00259126	 0.00258968
-0.2	0.2	30	40	0.953784	0.000703755	 0.000706262
0.2	0.3	30	40	0.867712	0.00239648	 0.00240128
0.3	0.8	30	40	0.967144	0.000553018	 0.00055159
0.8	1.2	30	40	0.956652	0.000770476	 0.000771204
1.2	1.6	30	40	0.975991	0.000647166	 0.00064637
1.6	2.1	30	40	0.955834	0.000832373	 0.000826264
2.1	2.4	30	40	0.958738	0.00124544	 0.00126041
-2.4	-2.1	40	60	0.958792	0.0010364	 0.00104426
-2.1	-1.6	40	60	0.951433	0.000639831	 0.000648489
-1.6	-1.2	40	60	0.983391	0.000409275	 0.000408873
-1.2	-0.8	40	60	0.959214	0.000584307	 0.000582958
-0.8	-0.3	40	60	0.966213	0.00045706	 0.000457721
-0.3	-0.2	40	60	0.840013	0.00227801	 0.00228572
-0.2	0.2	40	60	0.953148	0.00059922	 0.0005996
0.2	0.3	40	60	0.868487	0.00201775	 0.00202719
0.3	0.8	40	60	0.964277	0.000462059	 0.000462012
0.8	1.2	40	60	0.956192	0.000566821	 0.000571797
1.2	1.6	40	60	0.975787	0.000493367	 0.000492019
1.6	2.1	40	60	0.955722	0.000644693	 0.000646789
2.1	2.4	40	60	0.957432	0.00104734	 0.00105002
-2.4	-2.1	60	100	0.962344	0.00341657	 0.00356901
-2.1	-1.6	60	100	0.948416	0.00217133	 0.00221912
-1.6	-1.2	60	100	0.980669	0.00143433	 0.00151862
-1.2	-0.8	60	100	0.956857	0.00178751	 0.00184003
-0.8	-0.3	60	100	0.963438	0.00153078	 0.00144044
-0.3	-0.2	60	100	0.822552	0.0071473	 0.00724405
-0.2	0.2	60	100	0.95004	0.00201393	 0.00204539
0.2	0.3	60	100	0.868395	0.0066126	 0.00678411
0.3	0.8	60	100	0.962406	0.00146837	 0.00150416
0.8	1.2	60	100	0.956383	0.00178511	 0.00183828
1.2	1.6	60	100	0.974232	0.00145544	 0.00151577
1.6	2.1	60	100	0.957583	0.00217875	 0.00222613
2.1	2.4	60	100	0.951505	0.00385688	 0.00398479
-2.4	-2.1	100	200	0.943657	0.0155238	 0.0165638
-2.1	-1.6	100	200	0.922062	0.00959902	 0.00869939
-1.6	-1.2	100	200	0.951272	0.00681284	 0.00731209
-1.2	-0.8	100	200	0.954129	0.00551104	 0.00587429
-0.8	-0.3	100	200	0.954654	0.00509908	 0.00537934
-0.3	-0.2	100	200	0.861908	0.0190586	 0.0192557
-0.2	0.2	100	200	0.945649	0.00559158	 0.0120315
0.2	0.3	100	200	0.837805	0.0173641	 0.0185024
0.3	0.8	100	200	0.957966	0.00415758	 0.0044705
0.8	1.2	100	200	0.945496	0.00630958	 0.006709
1.2	1.6	100	200	0.941085	0.00605216	 0.0064897
1.6	2.1	100	200	0.923248	0.00859828	 0.00903535
2.1	2.4	100	200	0.925205	0.0171071	 0.0178696
