etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.866315	0.0130638	 0.0128168
-2.1	-1.6	10	13	0.923471	0.00725002	 0.00761562
-1.6	-1.2	10	13	0.919942	0.00780812	 0.0082253
-1.2	-0.8	10	13	0.928161	0.00819324	 0.00881924
-0.8	-0.3	10	13	0.947597	0.0083338	 0.00904711
-0.3	-0.2	10	13	0.743529	0.0441785	 0.0477935
-0.2	0.2	10	13	0.938817	0.0113024	 0.0129521
0.2	0.3	10	13	0.811716	0.0549919	 0.0620145
0.3	0.8	10	13	0.952572	0.00904964	 0.00985211
0.8	1.2	10	13	0.896956	0.00988471	 0.0106671
1.2	1.6	10	13	0.915266	0.00845851	 0.00903831
1.6	2.1	10	13	0.93194	0.006953	 0.0073193
2.1	2.4	10	13	0.904932	0.019353	 0.0110048
-2.4	-2.1	13	16	0.874551	0.00889394	 0.00931507
-2.1	-1.6	13	16	0.920309	0.00606604	 0.00631704
-1.6	-1.2	13	16	0.946087	0.00576662	 0.00657898
-1.2	-0.8	13	16	0.931617	0.000143005	 0.000143005
-0.8	-0.3	13	16	0.948089	0.00578504	 0.0074627
-0.3	-0.2	13	16	0.79652	0.0258791	 0.0279369
-0.2	0.2	13	16	0.933722	0.00906336	 0.00947541
0.2	0.3	13	16	0.835161	0.0263335	 0.0279586
0.3	0.8	13	16	0.950529	0.00521298	 0.00557041
0.8	1.2	13	16	0.924761	0.00668195	 0.0069793
1.2	1.6	13	16	0.930913	0.0063241	 0.00642456
1.6	2.1	13	16	0.938402	0.00556511	 0.00578446
2.1	2.4	13	16	0.90118	0.00860472	 0.00891189
-2.4	-2.1	16	20	0.90558	0.00578535	 0.00587919
-2.1	-1.6	16	20	0.927239	0.00388259	 0.0040409
-1.6	-1.2	16	20	0.943248	0.00367141	 0.00373244
-1.2	-0.8	16	20	0.929683	0.0046789	 0.0047235
-0.8	-0.3	16	20	0.947388	0.00318752	 0.00331296
-0.3	-0.2	16	20	0.796709	0.0154224	 0.0158477
-0.2	0.2	16	20	0.93546	0.00489736	 0.0050044
0.2	0.3	16	20	0.830924	0.0154021	 0.0159459
