etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.944346	0.00749963	 0.0081628
-2.1	-1.6	10	13	0.95309	0.00554244	 0.00590623
-1.6	-1.2	10	13	0.980263	0.00444419	 0.00497863
-1.2	-0.8	10	13	0.96607	0.00528009	 0.00586344
-0.8	-0.3	10	13	0.966144	0.00729934	 0.00764987
-0.3	-0.2	10	13	0.837834	0.0416849	 0.0369581
-0.2	0.2	10	13	0.964108	0.0090256	 0.0107771
0.2	0.3	10	13	0.855435	0.0360306	 0.0420371
0.3	0.8	10	13	0.963486	0.007055	 0.00704961
0.8	1.2	10	13	0.947723	0.00666936	 0.00733011
1.2	1.6	10	13	0.982181	0.00382129	 0.00433726
1.6	2.1	10	13	0.950795	0.00536957	 0.00556011
2.1	2.4	10	13	0.936998	0.00840964	 0.00923942
-2.4	-2.1	13	16	0.944526	0.005678	 0.00612559
-2.1	-1.6	13	16	0.961445	0.00420746	 0.00444911
-1.6	-1.2	13	16	0.983455	0.00262508	 0.00292137
-1.2	-0.8	13	16	0.956111	0.00464578	 0.00497364
-0.8	-0.3	13	16	0.959599	0.00458542	 0.00493801
-0.3	-0.2	13	16	0.843491	0.0221677	 0.0242779
-0.2	0.2	13	16	0.950606	0.00663737	 0.00725494
0.2	0.3	13	16	0.87691	0.0203579	 0.0227076
0.3	0.8	13	16	0.968886	0.00491005	 0.00519484
0.8	1.2	13	16	0.959361	0.00491005	 0.00519484
1.2	1.6	13	16	0.973119	0.00387297	 0.00420427
1.6	2.1	13	16	0.960029	0.00356008	 0.00377712
2.1	2.4	13	16	0.954259	0.00601884	 0.00637778
-2.4	-2.1	16	20	0.949146	0.00380301	 0.00401361
-2.1	-1.6	16	20	0.951745	0.00297166	 0.00301705
-1.6	-1.2	16	20	0.985058	0.00168013	 0.00181198
-1.2	-0.8	16	20	0.955079	0.00323317	 0.00328301
-0.8	-0.3	16	20	0.967105	0.00249739	 0.00256836
-0.3	-0.2	16	20	0.846384	0.0131808	 0.0138907
