etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	15	0	0	 0
-2.1	-1.6	10	15	0	0	 0
-1.6	-1.2	10	15	0	0	 0
-1.2	-0.8	10	15	0	0	 0
-0.8	-0.3	10	15	0	0	 0
-0.3	-0.2	10	15	0	0	 0
-0.2	0.2	10	15	0	0	 0
0.2	0.3	10	15	0	0	 0
0.3	0.8	10	15	0	0	 0
0.8	1.2	10	15	0	0	 0
1.2	1.6	10	15	0	0	 0
1.6	2.1	10	15	0	0	 0
2.1	2.4	10	15	0	0	 0
-2.4	-2.1	15	16	0.0374638	0.00822224	 0.00721767
-2.1	-1.6	15	16	0.0189302	0.00518673	 0.00470337
-1.6	-1.2	15	16	0	0	 0
-1.2	-0.8	15	16	0	0	 0
-0.8	-0.3	15	16	0	0	 0
-0.3	-0.2	15	16	0	0	 0
-0.2	0.2	15	16	0	0	 0
0.2	0.3	15	16	0	0	 0
0.3	0.8	15	16	0	0	 0
0.8	1.2	15	16	0	0	 0
1.2	1.6	15	16	0	0	 0
1.6	2.1	15	16	0.013512	0.00378187	 0.00318839
2.1	2.4	15	16	0.0114949	0.00673356	 0.00549523
-2.4	-2.1	16	17	0.0795819	0.010738	 0.00984967
-2.1	-1.6	16	17	0.0774519	0.0091758	 0.0084676
-1.6	-1.2	16	17	0.0622286	0.00735629	 0.0068491
-1.2	-0.8	16	17	0.0424874	0.00677001	 0.00637622
-0.8	-0.3	16	17	0.0394371	0.00630026	 0.00570405
-0.3	-0.2	16	17	0	0	 0
-0.2	0.2	16	17	0.0383211	0.00848294	 0.00741665
0.2	0.3	16	17	0.0378457	0.0190752	 0.0143708
0.3	0.8	16	17	0.0450845	0.00650706	 0.00595744
0.8	1.2	16	17	0.0344858	0.00727013	 0.00659054
1.2	1.6	16	17	0.0393402	0.00727682	 0.00665508
1.6	2.1	16	17	0.0661716	0.00704521	 0.00661816
2.1	2.4	16	17	0.092249	0.0120488	 0.0214719
-2.4	-2.1	17	18	0.63661	0.0186588	 0.0189793
-2.1	-1.6	17	18	0.759736	0.011436	 0.0116799
-1.6	-1.2	17	18	0.833465	0.0116423	 0.0118448
-1.2	-0.8	17	18	0.874396	0.010352	 0.0107726
-0.8	-0.3	17	18	0.876184	0.00923552	 0.00965642
-0.3	-0.2	17	18	0.771399	0.0293443	 0.0312018
-0.2	0.2	17	18	0.862114	0.0134023	 0.0134614
0.2	0.3	17	18	0.798712	0.0288584	 0.0305634
0.3	0.8	17	18	0.883189	0.00965185	 0.00915045
0.8	1.2	17	18	0.865636	0.0100196	 0.0105912
1.2	1.6	17	18	0.856269	0.0107724	 0.0111998
1.6	2.1	17	18	0.769684	0.0124288	 0.0120341
2.1	2.4	17	18	0.629533	0.0214065	 0.0204196
-2.4	-2.1	18	19	0.766225	0.0157838	 0.0143545
-2.1	-1.6	18	19	0.870636	0.00846379	 0.00864275
-1.6	-1.2	18	19	0.926423	0.00666779	 0.00707258
-1.2	-0.8	18	19	0.939109	0.00624554	 0.00668918
-0.8	-0.3	18	19	0.936965	0.0060909	 0.00649813
-0.3	-0.2	18	19	0.817067	0.0238263	 0.0258461
-0.2	0.2	18	19	0.914102	0.00971032	 0.0136493
0.2	0.3	18	19	0.812214	0.0241692	 0.0256805
0.3	0.8	18	19	0.943457	0.00577193	 0.00618228
0.8	1.2	18	19	0.92547	0.00727545	 0.00768355
1.2	1.6	18	19	0.918826	0.00705563	 0.00745465
1.6	2.1	18	19	0.873376	0.00902055	 0.00945422
2.1	2.4	18	19	0.788223	0.0179065	 0.014209
-2.4	-2.1	19	20	0.766697	0.0140115	 0.014498
-2.1	-1.6	19	20	0.891335	0.0072975	 0.00749234
-1.6	-1.2	19	20	0.926216	0.00651582	 0.00675402
-1.2	-0.8	19	20	0.927062	0.0063965	 0.00682747
-0.8	-0.3	19	20	0.934868	0.00545127	 0.00570775
-0.3	-0.2	19	20	0.775652	0.0288684	 0.0306433
-0.2	0.2	19	20	0.934091	0.00700983	 0.0076457
0.2	0.3	19	20	0.859159	0.0190931	 0.0208995
0.3	0.8	19	20	0.946242	0.00587272	 0.00664982
0.8	1.2	19	20	0.930763	0.00702983	 0.00733547
1.2	1.6	19	20	0.94251	0.00545691	 0.00578899
1.6	2.1	19	20	0.888685	0.00780286	 0.00809559
2.1	2.4	19	20	0.769388	0.0142604	 0.0147578
-2.4	-2.1	20	25	0.813212	0.00472956	 0.00475494
-2.1	-1.6	20	25	0.897745	0.0026569	 0.00268983
-1.6	-1.2	20	25	0.952422	0.00210809	 0.00212521
-1.2	-0.8	20	25	0.942645	0.00212433	 0.00215503
-0.8	-0.3	20	25	0.943496	0.00180353	 0.0018238
-0.3	-0.2	20	25	0.809366	0.00822167	 0.00831543
-0.2	0.2	20	25	0.925895	0.00242105	 0.00243896
0.2	0.3	20	25	0.839289	0.00702543	 0.00711596
0.3	0.8	20	25	0.94568	0.00188444	 0.00186719
0.8	1.2	20	25	0.93692	0.00228093	 0.00228303
1.2	1.6	20	25	0.944522	0.00217065	 0.00216467
1.6	2.1	20	25	0.909782	0.00265463	 0.00270432
2.1	2.4	20	25	0.813817	0.00525033	 0.00551904
-2.4	-2.1	25	30	0.845209	0.0038031	 0.00359461
-2.1	-1.6	25	30	0.905802	0.00221822	 0.00201635
-1.6	-1.2	25	30	0.951902	0.00152384	 0.00153733
-1.2	-0.8	25	30	0.945436	0.0015938	 0.00157635
-0.8	-0.3	25	30	0.944005	0.00133809	 0.00134103
-0.3	-0.2	25	30	0.809838	0.00521737	 0.00517943
-0.2	0.2	25	30	0.933029	0.00151364	 0.00151115
0.2	0.3	25	30	0.845173	0.00479785	 0.00485637
0.3	0.8	25	30	0.948062	0.00128747	 0.00127569
0.8	1.2	25	30	0.941857	0.00168927	 0.00168996
1.2	1.6	25	30	0.947273	0.001604	 0.00159969
1.6	2.1	25	30	0.915741	0.00203932	 0.00200013
2.1	2.4	25	30	0.853997	0.00372652	 0.00379626
-2.4	-2.1	30	40	0.874758	0.0017968	 0.00180066
-2.1	-1.6	30	40	0.913255	0.00107195	 0.00105679
-1.6	-1.2	30	40	0.94916	0.000848661	 0.000839981
-1.2	-0.8	30	40	0.945511	0.000784809	 0.000786091
-0.8	-0.3	30	40	0.940263	0.000659728	 0.0006599
-0.3	-0.2	30	40	0.80508	0.00257264	 0.00256813
-0.2	0.2	30	40	0.930141	0.000775787	 0.000779398
0.2	0.3	30	40	0.837219	0.00237237	 0.00235602
0.3	0.8	30	40	0.947114	0.00062651	 0.000630192
0.8	1.2	30	40	0.940918	0.000827527	 0.000826963
1.2	1.6	30	40	0.945531	0.000864989	 0.000866397
1.6	2.1	30	40	0.919353	0.00104079	 0.00101679
2.1	2.4	30	40	0.871546	0.00184798	 0.00181901
-2.4	-2.1	40	60	0.894824	0.00149169	 0.00149398
-2.1	-1.6	40	60	0.915463	0.000825835	 0.000827644
-1.6	-1.2	40	60	0.94113	0.000651421	 0.000651001
-1.2	-0.8	40	60	0.943647	0.000629944	 0.000618896
-0.8	-0.3	40	60	0.943141	0.000533134	 0.000533529
-0.3	-0.2	40	60	0.804843	0.00214721	 0.00213977
-0.2	0.2	40	60	0.930477	0.000666699	 0.000668858
0.2	0.3	40	60	0.837265	0.00204086	 0.00204064
0.3	0.8	40	60	0.94629	0.000518364	 0.000519654
0.8	1.2	40	60	0.940959	0.000619109	 0.000620437
1.2	1.6	40	60	0.94203	0.000668611	 0.000659756
1.6	2.1	40	60	0.92188	0.000789602	 0.000785887
2.1	2.4	40	60	0.888906	0.00151159	 0.00151605
