etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.776128	0.013408	 0.0136258
-2.1	-1.6	10	13	0.751722	0.0101574	 0.0102578
-1.6	-1.2	10	13	0.725296	0.0122756	 0.0123593
-1.2	-0.8	10	13	0.676219	0.0142314	 0.014345
-0.8	-0.3	10	13	0.63207	0.0166139	 0.0168038
-0.3	-0.2	10	13	0.632132	0.0524936	 0.0516602
-0.2	0.2	10	13	0.617527	0.0238763	 0.0238268
0.2	0.3	10	13	0.690323	0.0512546	 0.0503549
0.3	0.8	10	13	0.639787	0.015452	 0.0156851
0.8	1.2	10	13	0.682914	0.0142016	 0.0142434
1.2	1.6	10	13	0.7094	0.0124282	 0.012789
1.6	2.1	10	13	0.75973	0.0100664	 0.0102149
2.1	2.4	10	13	0.753953	0.014056	 0.0141112
-2.4	-2.1	13	16	0.815607	0.0105413	 0.0107271
-2.1	-1.6	13	16	0.796045	0.0077047	 0.00784632
-1.6	-1.2	13	16	0.797727	0.00866431	 0.00877676
-1.2	-0.8	13	16	0.728997	0.00976722	 0.00987042
-0.8	-0.3	13	16	0.676513	0.0107632	 0.0107712
-0.3	-0.2	13	16	0.638977	0.037608	 0.0290277
-0.2	0.2	13	16	0.650964	0.0141216	 0.014224
0.2	0.3	13	16	0.64524	0.0295723	 0.0298976
0.3	0.8	13	16	0.693405	0.0103754	 0.010346
0.8	1.2	13	16	0.724988	0.00968176	 0.0097287
1.2	1.6	13	16	0.784835	0.00867291	 0.00880083
1.6	2.1	13	16	0.806414	0.00775719	 0.00788056
2.1	2.4	13	16	0.796556	0.0111745	 0.0115639
-2.4	-2.1	16	20	0.85516	0.00658457	 0.00671956
-2.1	-1.6	16	20	0.850328	0.00463465	 0.00471263
-1.6	-1.2	16	20	0.827926	0.00552205	 0.0056012
-1.2	-0.8	16	20	0.795699	0.00589417	 0.00595221
-0.8	-0.3	16	20	0.755404	0.00579324	 0.00583615
-0.3	-0.2	16	20	0.751334	0.0154194	 0.0156718
-0.2	0.2	16	20	0.72828	0.00829976	 0.00768716
0.2	0.3	16	20	0.688906	0.000582127	 0.000582127
0.3	0.8	16	20	0.757603	0.00576622	 0.00581612
0.8	1.2	16	20	0.790437	0.00600917	 0.0060531
1.2	1.6	16	20	0.82993	0.00536768	 0.00543893
1.6	2.1	16	20	0.849008	0.00471579	 0.00476877
2.1	2.4	16	20	0.839247	0.00689914	 0.00706207
-2.4	-2.1	20	25	0.900696	0.00383035	 0.00390432
-2.1	-1.6	20	25	0.903318	0.00266271	 0.00270059
-1.6	-1.2	20	25	0.87095	0.00324404	 0.00328862
-1.2	-0.8	20	25	0.849568	0.00347671	 0.00351623
-0.8	-0.3	20	25	0.826814	0.00320455	 0.00323642
-0.3	-0.2	20	25	0.802743	0.0082822	 0.00877713
-0.2	0.2	20	25	0.805014	0.003976	 0.00403391
0.2	0.3	20	25	0.808017	0.00814436	 0.00847984
0.3	0.8	20	25	0.828559	0.00319536	 0.00322103
0.8	1.2	20	25	0.847301	0.00345281	 0.00347996
1.2	1.6	20	25	0.881179	0.00319232	 0.00324421
1.6	2.1	20	25	0.898107	0.00275975	 0.00280437
2.1	2.4	20	25	0.893383	0.000188341	 0.000188341
-2.4	-2.1	25	30	0.932742	0.00272567	 0.00278621
-2.1	-1.6	25	30	0.926963	0.0019298	 0.00196674
-1.6	-1.2	25	30	0.915558	0.00224096	 0.00228129
-1.2	-0.8	25	30	0.893248	0.00240521	 0.00242882
-0.8	-0.3	25	30	0.877241	0.00210674	 0.00214748
-0.3	-0.2	25	30	0.867406	0.00473283	 0.00485259
-0.2	0.2	25	30	0.865392	0.00219836	 0.002218
0.2	0.3	25	30	0.872842	0.00472152	 0.00481607
0.3	0.8	25	30	0.882518	0.00203437	 0.00204874
0.8	1.2	25	30	0.890002	0.00263887	 0.00259398
1.2	1.6	25	30	0.915549	0.00221378	 0.00225354
1.6	2.1	25	30	0.928752	0.00190664	 0.00193938
2.1	2.4	25	30	0.928379	0.00270528	 0.00274472
-2.4	-2.1	30	40	0.963081	0.00117581	 0.001185
-2.1	-1.6	30	40	0.961025	0.000816116	 0.000824166
-1.6	-1.2	30	40	0.953114	0.000918331	 0.000924542
-1.2	-0.8	30	40	0.940711	0.000921462	 0.000925686
-0.8	-0.3	30	40	0.93071	0.000786958	 0.0007886
-0.3	-0.2	30	40	0.928098	0.00181938	 0.00184625
-0.2	0.2	30	40	0.923753	0.000879128	 0.000885168
0.2	0.3	30	40	0.924891	0.00183177	 0.0018612
0.3	0.8	30	40	0.933095	0.000771976	 0.000773515
0.8	1.2	30	40	0.940942	0.000923411	 0.000924509
1.2	1.6	30	40	0.952339	0.000923183	 0.000931283
1.6	2.1	30	40	0.96177	0.000809731	 0.000806885
2.1	2.4	30	40	0.962214	0.00115513	 0.00117008
-2.4	-2.1	40	60	0.984292	0.000629824	 0.000642613
-2.1	-1.6	40	60	0.985584	0.000374358	 0.000379284
-1.6	-1.2	40	60	0.982694	0.000396164	 0.000400585
-1.2	-0.8	40	60	0.976412	0.000442073	 0.000445235
-0.8	-0.3	40	60	0.96992	0.000425209	 0.000427581
-0.3	-0.2	40	60	0.964784	0.00106132	 0.00107943
-0.2	0.2	40	60	0.964201	0.000507438	 0.000511089
0.2	0.3	40	60	0.967412	0.0010363	 0.00105319
0.3	0.8	40	60	0.970531	0.000411555	 0.000415338
0.8	1.2	40	60	0.975654	0.00044486	 0.000448567
1.2	1.6	40	60	0.981409	0.000405253	 0.000410068
1.6	2.1	40	60	0.985962	0.000366732	 0.000370766
2.1	2.4	40	60	0.984392	0.000617269	 0.00062836
-2.4	-2.1	60	100	0.991671	0.00156649	 0.00166896
-2.1	-1.6	60	100	0.992274	0.000941298	 0.000990012
-1.6	-1.2	60	100	0.991254	0.000921761	 0.000966667
-1.2	-0.8	60	100	0.988534	0.0010164	 0.00105983
-0.8	-0.3	60	100	0.985634	0.000964974	 0.000997041
-0.3	-0.2	60	100	0.982979	0.00246571	 0.00264743
-0.2	0.2	60	100	0.984784	0.00113728	 0.00117493
0.2	0.3	60	100	0.984168	0.00228596	 0.00246911
0.3	0.8	60	100	0.987634	0.000908892	 0.000944073
0.8	1.2	60	100	0.987918	0.00103928	 0.00107754
1.2	1.6	60	100	0.991603	0.000935184	 0.000988597
1.6	2.1	60	100	0.992937	0.000873768	 0.000924516
2.1	2.4	60	100	0.994753	0.00155861	 0.00168535
-2.4	-2.1	100	200	0.988841	0.00813598	 0.00599833
-2.1	-1.6	100	200	0.992747	0.00255676	 0.00297489
-1.6	-1.2	100	200	0.984353	0.00334574	 0.00334574
-1.2	-0.8	100	200	0.988681	0.00282456	 0.00318264
-0.8	-0.3	100	200	0.989322	0.00227748	 0.00255863
-0.3	-0.2	100	200	0.993174	0.00449468	 0.00586874
-0.2	0.2	100	200	0.983426	0.00322242	 0.00353881
0.2	0.3	100	200	0.995078	0.00408664	 0.00571132
0.3	0.8	100	200	0.992845	0.00207873	 0.00236355
0.8	1.2	100	200	0.990598	0.00260577	 0.00295768
1.2	1.6	100	200	0.997109	0.00186658	 0.00230044
1.6	2.1	100	200	0.994744	0.00251636	 0.00299656
2.1	2.4	100	200	1	0.00119354	 0.00119354
