etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	20	0	0	 0
-2.1	-1.6	10	20	0	0	 0
-1.6	-1.2	10	20	0	0	 0
-1.2	-0.8	10	20	0	0	 0
-0.8	-0.3	10	20	0	0	 0
-0.3	-0.2	10	20	0	0	 0
-0.2	0.2	10	20	0	0	 0
0.2	0.3	10	20	0	0	 0
0.3	0.8	10	20	0	0	 0
0.8	1.2	10	20	0	0	 0
1.2	1.6	10	20	0	0	 0
1.6	2.1	10	20	0	0	 0
2.1	2.4	10	20	0	0	 0
-2.4	-2.1	20	21	0.0240975	0.00490926	 0.00432635
-2.1	-1.6	20	21	0.0121159	0.00247274	 0.0021772
-1.6	-1.2	20	21	0	0	 0
-1.2	-0.8	20	21	0	0	 0
-0.8	-0.3	20	21	0	0	 0
-0.3	-0.2	20	21	0	0	 0
-0.2	0.2	20	21	0	0	 0
0.2	0.3	20	21	0	0	 0
0.3	0.8	20	21	0	0	 0
0.8	1.2	20	21	0	0	 0
1.2	1.6	20	21	0.0106583	0.00310207	 0.00272593
1.6	2.1	20	21	0.0108181	0.00231857	 0.00202407
2.1	2.4	20	21	0.0206513	0.0048252	 0.00435973
-2.4	-2.1	21	22	0.025547	0.00542456	 0.0049617
-2.1	-1.6	21	22	0.0213853	0.00290204	 0.00266739
-1.6	-1.2	21	22	0.0120266	0.00292342	 0.00271661
-1.2	-0.8	21	22	0.0108723	0.00269264	 0.00238854
-0.8	-0.3	21	22	0	0	 0
-0.3	-0.2	21	22	0	0	 0
-0.2	0.2	21	22	0	0	 0
0.2	0.3	21	22	0	0	 0
0.3	0.8	21	22	0	0	 0
0.8	1.2	21	22	0	0	 0
1.2	1.6	21	22	0.0139026	0.00319626	 0.00287832
1.6	2.1	21	22	0.0196692	0.0036178	 0.00334279
2.1	2.4	21	22	0.026063	0.00475041	 0.00424166
-2.4	-2.1	22	23	0.109016	0.00918875	 0.00902067
-2.1	-1.6	22	23	0.0934248	0.00601885	 0.00587017
-1.6	-1.2	22	23	0.0634121	0.00580414	 0.00561544
-1.2	-0.8	22	23	0.0592807	0.00942262	 0.00541244
-0.8	-0.3	22	23	0.0521828	0.00408127	 0.00388716
-0.3	-0.2	22	23	0.049004	0.0102905	 0.00973869
-0.2	0.2	22	23	0.0538687	0.00469706	 0.00440286
0.2	0.3	22	23	0.0583165	0.0123705	 0.0111605
